Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Instrument Type,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.1,Corrigendum Title,Corrigendum Type,View,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Stage
PWD,2020_PWD_34702_1,No/PW/Ksli/19-18313-22d6/2/20,AMP plan for the year 2020-21 for Shaktighat Bandh Road VR116 MRL,Er Rajesh Kumar,Internal,Er Satish Kumar AE Subathu Sh Amar Nath Arora HDM Sh Deepak Walia Supdt Gr-II,Satish Kumar,03-Mar-2020 11:31 AM,03-Mar-2020 11:35 AM,techsummary_50850.pdf (62.58 KB),Finance,Financial Bid Opening Summary,Satish Kumar,03-Mar-2020 01:04 PM,finance_50850.pdf,BOQ Comparative Chart,Technical,Bid Opening Summary,Satish Kumar,03-Mar-2020 10:04 AM,technical_50850.pdf,1.0,150376.0,Asphalt Carpet Construction Company,21-Feb-2020 01:07 PM,Rejected-AOC,accepted,20-Aug-2020 04:19 PM,AOC,"95,100",No,fixed,,EE HPPWD Kasauli,Kasauli,"2,000",EE HPPWD Kasauli,Kasauli,No,1.0,DD - Demand Draft,10-Feb-2020 10:00 AM,29-Feb-2020 11:00 AM,10-Feb-2020 11:00 AM,29-Feb-2020 10:00 AM,NA ,NA ,10-Feb-2020 11:00 AM,29-Feb-2020 10:00 AM,03-Mar-2020 11:35 AM,EE HPPWD Kasauli,EE HPPWD Kasauli,AMP plan for the year 2020-21 for Shaktighat Bandh Road VR116 MRL,AMP plan for the year 2020-21 for Shaktighat Bandh Road VR116 MRL SH P/L renewal coat by providing 30 mm thick bituminous concrete thermoplastic edge line in km 0/0 to 3/0 and 5/0 to 6/0,Please refer Tender documents. ,NA ,"62,52,074",Civil Works,NA ,Tender,75.0,90.0,Kasauli,173204.0,NA ,NA ,NA ,Kasauli,No ,No,1.0,Change of opening date,Date,,PWD,No/PW/Ksli/19-18313-22d6/2/20,2020_PWD_34702_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form (as per Schedule F 6.3),AOC
,,,,,,,,,,,,,,,,,,,,,,2.0,151653.0,DCC BUILDCON PVT. LTD.,28-Feb-2020 12:30 PM,Accepted-AOC,accepted,20-Aug-2020 04:19 PM,AOC,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money Deposit (As per schedule F 6.5),AOC
,,,,,,,,,,,,,,,,,,,,,,3.0,150400.0,Ravinder Kumar Gupta,21-Feb-2020 02:37 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,03-Mar-2020 10:04 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor registration (Refer General rule No.23 and as per invitation of bid),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate (As per Performa given in General rule No.19 ).,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Machinery tools and plants (As per schedule F with reference to clause 18,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No. 8 duly signed (Refer General rule No 26.7).,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The Contractor Shall give affidavit regarding List of both gazette and non gazette HPPWD Employees,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that information furnished with the bid is correct in all respect.,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of GST,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Financial,AOC
