S.No,Instrument Type,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage
1.0,DD - Demand Draft,350.0,EE Paonta Sahib,Paonta Sahib,Yes,04-May-2020 04:30 PM,20-May-2020 11:30 AM,04-May-2020 05:00 PM,19-May-2020 05:00 PM,NA ,NA ,04-May-2020 05:00 PM,19-May-2020 05:00 PM,04-Jun-2020 03:00 PM,"13,600",Yes,fixed,,EE Paonta Sahib,Paonta Sahib,1.0,Fee/PreQual/Technical,.pdf,Cost of tender- indicated in schedule f at sr.no.6.3,PWD,tender/2019-20-10346-95 dt 19.03.2020,2020_PWD_36843_3,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,Executive Engineer,Executive Engineer HPPWD Division Paonta Sahib District Sirmour (HP) 173025,A/R and M/O Khodonwala to Shyampur Manpur Deora Guruwala Singhpura road km.0/0 to 7/170 (SH Providing paving of both side berms in km. 0/365 to 1/0 to combat the dust pollution due to Industrial activities).,A/R and M/O Khodonwala to Shyampur Manpur Deora Guruwala Singhpura road km.0/0 to 7/170 (SH Providing paving of both side berms in km. 0/365 to 1/0 to combat the dust pollution due to Industrial activities).,please refer tender document ,NA ,"6,80,803",Civil Works - Roads,NA ,Tender,90.0,90.0,Paonta Sahib,173025.0,NA ,NA ,NA ,Paonta Sahib,No ,No,AOC,PWD,2020_PWD_36843_3,tender/2019-20-10346-95 dt 19.03.2020,A/R and M/O Khodonwala to Shyampur Manpur Deora Guruwala Singhpura road km.0/0 to 7/170 (SH Providing paving of both side berms in km. 0/365 to 1/0 to combat the dust pollution due to Industrial activities).,Er. R. K. Dhiman,Internal,"Sh. Sanjeet Kumar Sinha Divisional Accountant., Sh. Sanjeev Goel Supdt. Gr.II, Smt. Usha Aggarwal HDM",Dalip Singh Tomar,04-Jun-2020 10:48 AM,04-Jun-2020 03:00 PM,techsummary_54403.pdf (810.56 KB),Er. R.K. Dhiman,Internal,"Sh. Sanjeet Kumar Sinha Divisional Accountant., Sh. Sanjeev Goel Supdt. Gr.II, Smt. Usha Aggarwal HDM",Kishan Lal Chaudhary,05-Aug-2020 11:01 AM,finsummary_54403.pdf (143.79 KB),05-Aug-2020,"INR 680,803",90.0,Kishan Lal Chaudhary,05-Aug-2020 11:04 AM,aoc.pdf (863.00 KB),AOC,1.0,158860.0,Mohabat construction,INR,"745,885",Finance,Fin bid Opening Summary,Kishan Lal Chaudhary,05-Aug-2020 10:54 AM,finance_54403.pdf,BOQ Comparative Chart,1.0,158860.0,Mohabat construction,19-May-2020 12:43 PM,Accepted-AOC,L1,05-Aug-2020 11:04 AM,Technical,Summary,Dalip Singh Tomar,04-Jun-2020 10:22 AM,technical_54403.pdf,AOC
2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest money-indicated in schedule f at sr. No.6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,158834.0,M/S SARVJEET SINGH,19-May-2020 10:43 AM,Rejected-Finance,L3,05-Aug-2020 11:01 AM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors registration- refer general rule sr. No 23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,158623.0,Randhir Singh,17-May-2020 07:32 PM,Rejected-Technical,Not qualified,04-Jun-2020 10:48 AM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration(Refer General Rule No.21)and Permanent account number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,158573.0,RANJEET SINGH,17-May-2020 12:53 PM,Rejected-Technical,Not qualified,04-Jun-2020 10:48 AM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of incomplete works in hand general rule sr. No 28.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,158710.0,SATISH KUMAR,18-May-2020 02:40 PM,Rejected-Finance,L2,05-Aug-2020 11:01 AM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Machinery as schedule F Sr.No.6.19Ref.Cl-No.18 i.e.R.C,purchase bills,ownership/Affidavit hire basis",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,158768.0,WASIM ALI,18-May-2020 04:01 PM,Rejected-Technical,Not qualified,04-Jun-2020 10:48 AM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy of EPF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form no 8 duly signed gen. Rule sr. No 26.7.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of both gazetted and non gazetted officer hppwd employees related to him gen. Rule sr.no.16),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,.pdf,Any other information bidders like to provide.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
