Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,S.No,Instrument Type,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
Er. K. L. Chaudhary,Internal,"Sh. Sanjeet Kumar Sinha Divisional Accountant., Sh. Sanjeev Goel Supdt. Gr.II, Smt. Usha Aggarwal HDM",Kishan Lal Chaudhary,05-Aug-2020 01:03 PM,finsummary_55928.pdf (412.73 KB),PWD,2020_PWD_37870_10,Tender/2019-20-1150-1200dated 26.05.2020,"A/R and M/O residential PWD colony at Paonta Sahib tehsil Paonta Sahib (SH Earth work, C.C. 1,6,12. R,R, masonary, brick work, form work, wood work, grading work for roof treatment, sanitary fitting, tiles work, painting and distempering etc. in typ",05-Aug-2020,"INR 1,154,371",90.0,Kishan Lal Chaudhary,05-Aug-2020 01:04 PM,aoc.pdf (907.00 KB),AOC,1.0,163001.0,FAREED HASHMI,INR,"1,291,508",Er. K. L. Chaudhary,Internal,"Sh. Sanjeet Kumar Sinha Divisional Accountant., Sh. Sanjeev Goel Supdt. Gr.II, Smt. Usha Aggarwal HDM",Dalip Singh Tomar,07-Jul-2020 10:42 AM,07-Jul-2020 04:00 PM,techsummary_55928.pdf (738.78 KB),Technical,Summary,Dalip Singh Tomar,07-Jul-2020 10:40 AM,technical_55928.pdf,1.0,163021.0,DINESH KUMAR GUPTA,17-Jun-2020 04:43 PM,Rejected-Finance,L3,05-Aug-2020 01:03 PM,Finance,Fin Bid Opening Summary,Kishan Lal Chaudhary,05-Aug-2020 01:00 PM,finance_55928.pdf,BOQ Comparative Chart,AOC,1.0,DD - Demand Draft,1.0,Fee/PreQual/Technical,.pdf,Cost of tender- indicated in schedule f at sr.no.6.3,"A/R and M/O residential PWD colony at Paonta Sahib tehsil Paonta Sahib (SH Earth work, C.C. 1,6,12. R,R, masonary, brick work, form work, wood work, grading work for roof treatment, sanitary fitting, tiles work, painting and distempering etc. in typ","A/R and M/O residential PWD colony at Paonta Sahib tehsil Paonta Sahib (SH Earth work, C.C. 1,6,12. R,R, masonary, brick work, form work, wood work, grading work for roof treatment, sanitary fitting, tiles work, painting and distempering etc. in typ",please refer tender document ,NA ,"11,54,371",Civil Works - Buildings,NA ,Tender,90.0,90.0,Paonta Sahib,173025.0,NA ,NA ,NA ,Paonta Sahib,No ,No,"23,000",Yes,fixed,,EE Paonta Sahib,Paonta Sahib,PWD,Tender/2019-20-1150-1200dated 26.05.2020,2020_PWD_37870_10,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,10-Jun-2020 04:30 PM,18-Jun-2020 11:30 AM,10-Jun-2020 05:00 PM,17-Jun-2020 05:00 PM,NA ,NA ,10-Jun-2020 05:00 PM,17-Jun-2020 05:00 PM,07-Jul-2020 04:00 PM,Executive Engineer,Executive Engineer HPPWD Paonta Sahib District Sirmour (HP),500.0,EE Paonta Sahib,Paonta Sahib,Yes,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,163001.0,FAREED HASHMI,17-Jun-2020 02:12 PM,Accepted-AOC,L1,05-Aug-2020 01:04 PM,,,,,,,AOC,2.0,FDR - Fixed Deposit,,,.pdf,Earnest money-indicated in schedule f at sr. No.6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,163055.0,Randhir Singh,17-Jun-2020 03:55 PM,Rejected-Finance,L2,05-Aug-2020 01:03 PM,,,,,,,AOC,,,,,.pdf,Contractors registration- refer general rule sr. No 23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,162928.0,SANCHIT GOEL,17-Jun-2020 08:24 AM,Rejected-Finance,L4,05-Aug-2020 01:03 PM,,,,,,,AOC,,,,,.pdf,GST Registration(Refer General Rule No.21)and Permanent account number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,List of incomplete works in hand general rule sr. No 28.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,"Machinery as per schedule F Sr.No.6.19Ref.Cl- No.18 i.e.R.C,purchase bills,ownership/Affidavit hire",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,Scanned copy of EPF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,Form no 8 duly signed gen. Rule sr. No 26.7.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,List of both gazetted and non gazetted officer hppwd employees related to him gen. Rule sr.no.16),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,Any other information bidders like to provide. All Original affidavits submit with name of work.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
