S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,S.No,Instrument Type,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
1.0,155994.0,NEETA,INR,"1,033,737",Finance,Bid Opening Summary,Satish Kumar,11-May-2020 04:25 PM,finance_52185.pdf,BOQ Comparative Chart,Technical,Bid Opening Summaryy,Satish Kumar,01-May-2020 12:07 PM,technical_52185.pdf,1.0,155901.0,CHANDER MANI,19-Mar-2020 06:26 PM,Rejected-AOC,accepted,24-Aug-2020 05:11 PM,Er Rajesh Kumar,Internal,Er Satish Kumar AE Suabthu Sh Deepak Walia Supdt Gr-II Sh Amar Nath Arora HDM,Satish Kumar,11-May-2020 04:27 PM,finsummary_52185.pdf (55.50 KB),19-Aug-2020,"INR 934,720",90.0,Rajesh Kumar,24-Aug-2020 05:11 PM,AOC153.pdf (396.00 KB),AOC,PWD,2020_PWD_35528_1,No/PW/Ksli/NIT/19-18606-16 dt12/2/20,C/O Missing Culvert on Bhojnager Chakki Ka Mour Road in km 0/0 to 14/0,Er Rajesh Kumar,Internal,Er Satish Kumar Sharma AE Subathu Sh Deepak Walia Supdt Gr-II Sh Amar Nath Arora HDM,Satish Kumar,01-May-2020 12:15 PM,01-May-2020 12:20 PM,techsummary_52185.pdf (64.02 KB),AOC,PWD,No/PW/Ksli/NIT/19-18606-16 dt12/2/20,2020_PWD_35528_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form (as per Schedule F 6.3),1.0,DD - Demand Draft,C/O Missing Culvert on Bhojnager Chakki Ka Mour Road in km 0/0 to 14/0,C/O Missing Culvert on Bhojnager Chakki Ka Mour Road in km 0/0 to 14/0 SH C/O 3.00 meter span RCC slab on Culvert i.e. both side wing wall at Rd 4/685,Please refer Tender documents. ,NA ,"9,34,720",Civil Works,NA ,Tender,90.0,90.0,Kasauli,173204.0,NA ,NA ,NA ,Kasauli,No ,No,"18,700",No,fixed,,EE Kasauli,Kasauli,04-Mar-2020 10:00 AM,21-Mar-2020 11:00 AM,04-Mar-2020 11:00 AM,20-Mar-2020 04:00 PM,NA ,NA ,04-Mar-2020 11:00 AM,20-Mar-2020 04:00 PM,01-May-2020 12:20 PM,EE HPPWD Kasauli,EE HPPWD Kasauli,350.0,EE Kasauli,Kasauli,No,AOC
,,,,,,,,,,,,,,,,2.0,155994.0,NEETA,20-Mar-2020 12:25 PM,Accepted-AOC,accepted,24-Aug-2020 05:11 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,Earnest Money Deposit (As per schedule F 6.5),2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,Contractor registration (Refer General rule No.23 and as per invitation of bid),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,Work done certificate (As per Performa given in General rule No.19 ).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,Machinery tools and plants (As per schedule F with reference to clause 18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,Form No. 8 duly signed (Refer General rule No 26.7).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,The Contractor Shall give affidavit regarding List of both gazette and non gazette HPPWD Employees,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,Affidavit that information furnished with the bid is correct in all respect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,Copy of GST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,2.0,Finance,.xls,Financial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
