Name,Address,S.No,Instrument Type,S.No.1,Corrigendum Title,Corrigendum Type,View,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
Director of Medical Education Assam,"Sixmile, Khanapara, Guwahati, Assam, India",1.0,BC - Bankers Cheque,1.0,Date Extension Notice,Date,,1.0,Fee/PreQual/Technical,.pdf,Fees Details,02-Apr-2018 10:00 AM,02-May-2018 03:30 PM,02-Apr-2018 11:00 AM,02-May-2018 03:00 PM,02-Apr-2018 12:00 PM ,18-Apr-2018 05:00 PM ,02-Apr-2018 12:00 PM,02-May-2018 03:00 PM,14-Jun-2018 11:30 AM,Health and Family Welfare Department||Directorate of Medical Education-HFWD,"DME/82/2018/4921, dated 29-03-2018",2018_HFWD_6631_1,Yes,Open Tender,Supply,Goods,2.0,No,No,Offline,No,No,No,Re-Tender for Supply of Digital Mammography systems X-Ray Machine 300 mA X-Ray Machine 500 mA Portable Colour Doppler Ultrasound ECHOCARDIOGRAPHY MACHINE- HIGH END Anaesthesia Workstation Transport Ventilator Mechanical Ventilator,Re-Tender for Supply of Digital Mammography systems X-Ray Machine 300 mA X-Ray Machine 500 mA Portable Colour Doppler Ultrasound ECHOCARDIOGRAPHY MACHINE- HIGH END Anaesthesia Workstation Transport Ventilator Mechanical Ventilator,As mentioned in tender  ,NA ,"4,35,000",Medical Equipments/Waste,NA ,Rate Contract,365.0,25.0,Medical College Hospitals of Assam,781022.0,NA ,NA ,NA ,Guwahati,No ,No,"5,000",As mentiond in the Re-Tender.,As mentiond in the Re- Tender.,No,"8,700",Yes,percentage,2.0%,As Mentioned in Tender,As Mentioned in Tender,AOC,Prof A K Barman,Internal,,Bhupen Chandra Sarma,15-May-2019 06:55 PM,finsummary_10069.pdf (2757.68 KB),1,35359,ADS DIAGNOSTIC LIMITED,01-May-2018 08:06 PM,Not Admitted-Finance,Price Bid not complied,15-May-2019 06:51 PM,Health and Family Welfare Department||Directorate of Medical Education-HFWD,2018_HFWD_6631_1,"DME/82/2018/4921, dated 29-03-2018",Re-Tender for Supply of Digital Mammography systems X-Ray Machine 300 mA X-Ray Machine 500 mA Portable Colour Doppler Ultrasound ECHOCARDIOGRAPHY MACHINE- HIGH END Anaesthesia Workstation Transport Ventilator Mechanical Ventilator,Finance,Minutes of the Finance Committee Meeting,Bhupen Chandra Sarma,15-May-2019 06:51 PM,finance_10069.pdf,BOQ Comparative Chart,Technical,Ten participant are participated in the bidding process and bid opening committee have accepted all the bid,Bhupen Chandra Sarma,14-May-2018 01:46 PM,technical_10069.pdf,04-Nov-2019,INR 1.0E+7,25.0,Bhupen Chandra Sarma,04-Aug-2020 11:33 AM,ApprovedAnaesthMarc2020.PDF (500.00 KB),Approved rate as per Finance Committee and Technical Committee meeting,Dr F A Talukdar Dr K Harika,Internal,,Sonjib Kumar Kalita,08-Jun-2018 01:01 PM,14-Jun-2018 11:30 AM,techsummary_10069.pdf (2416.35 KB),1.0,35293.0,Vikas Medical Devices,INR,2060800.0,AOC
,,2.0,BG - Bank Guarantee Irrevocable,2.0,Corrigendum Notice,Technical Bid,,,,.pdf,Pre Qualification Criteria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,2,33486,Alliance Scientific,02-May-2018 12:39 PM,Rejected-Technical,As per Technical Committee,08-Jun-2018 01:01 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,3.0,FDR - Fixed Deposit Receipt,,,,,,,.pdf,Technical Details,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,3,35349,Fujifilm India Private Limited,01-May-2018 05:23 PM,Not Admitted-Finance,Price Bid not complied,15-May-2019 06:51 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,4.0,DCR - Deposit at call receipt,,,,,2.0,Finance,.xls,Financial bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,4,34447,KUK MEDSOLUTIONS,18-Apr-2018 04:10 PM,Not Admitted-Finance,Price Bid not complied,15-May-2019 06:51 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,.pdf,Supplementary BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,5,34519,M B Traders,01-May-2018 05:45 PM,Rejected-Finance,As per minutes of the Finance Committee Meeting,15-May-2019 06:55 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,6,35312,M/s Marak Supply and Agencies,01-May-2018 08:28 PM,Rejected-Technical,As per Technical Committee,08-Jun-2018 01:01 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,7,35294,NJD TRADERS,02-May-2018 01:38 PM,Not Admitted-Finance,Price Bid not complied,15-May-2019 06:51 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,8,34314,Recorders and Medicare Systems Pvt. Ltd.,23-Apr-2018 02:53 PM,Rejected-Technical,As per Technical Committee,08-Jun-2018 01:01 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,9,35293,Vikas Medical Devices,30-Apr-2018 05:15 PM,Accepted-AOC,Approved rate as per Finance Committee and Technical Committee meeting,04-Aug-2020 11:33 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,10,35381,WIPRO GE HEALTHCARE PVT. LTD.,02-May-2018 01:57 PM,Not Admitted-Finance,Price Bid not complied,15-May-2019 06:51 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
