Type :,Summary :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Corrigendum Title,Corrigendum Type,View,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No.1,Instrument Type,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Stage
Technical,Bid opening summary,Ajay Kumar Soni,14-Jul-2020 04:30 PM,technical_56982.pdf,1.0,167187.0,Ajay Kumar Sood Engineers and Contractors,13-Jul-2020 03:50 PM,Rejected-AOC,L4,21-Aug-2020 03:26 PM,PWD,2020_PWD_38573_1,SD-III-CD-Tender/2020-21-2361 dated 30-05-2020,Construction of parking at IGMC Shimla Under Smart City Project.,AOC,Construction of parking at IGMC Shimla Under Smart City Project.,Construction of parking at IGMC Shimla Under Smart City Project.,As per Bidding Documents ,NA ,"15,98,59,393",Civil Works,NA ,Tender,120.0,545.0,IGMC Shimla,171001.0,NA ,NA ,NA ,"E. E. SHIMLA DIVISION NO. III, HPPWD, Shimla-3",No ,No,1.0,Fee/PreQual/Technical,.pdf,Cost of tender document as per schedule F (6.3) and Earnest Money as per schedule F (6.5),03-Jul-2020 05:00 PM,14-Jul-2020 11:00 AM,03-Jul-2020 05:00 PM,13-Jul-2020 05:00 PM,NA ,NA ,03-Jul-2020 05:00 PM,13-Jul-2020 05:00 PM,18-Jul-2020 01:00 PM,1.0,Change in Items,Other,,"5,000","E. E. SHIMLA DIVISION NO. III, HPPWD, Shimla-3",Shimla,No,1.0,DD - Demand Draft,"5,00,000",No,fixed,,"E. E. SHIMLA DIVISION NO. III, HPPWD, Shimla-3",Shimla,PWD,SD-III-CD-Tender/2020-21-2361 dated 30-05-2020,2020_PWD_38573_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,"E. E. SHIMLA DIVISION NO. III, HPPWD, Shimla-3","E. E. SHIMLA DIVISION NO. III, HPPWD, Shimla-3",AOC
,,,,,2.0,166962.0,Ashok Kumar Garg,13-Jul-2020 10:32 AM,Rejected-Technical,ok,18-Jul-2020 12:07 PM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor registration as per general Rule 23 and as per invitation of bid.,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,3.0,167150.0,P K Construction Shimla Pvt Ltd,13-Jul-2020 03:07 PM,Rejected-AOC,L2,21-Aug-2020 03:26 PM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration as per General Rule No 21. Copy of GST No./ Copy of Tin No. and Copy of PAN Card.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,4.0,166805.0,rajesh kumar suman,13-Jul-2020 11:54 AM,Rejected-AOC,L3,21-Aug-2020 03:26 PM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,Proof of registration under Employees Provident Funds and Miscellaneous Provision Act. 1952.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,5.0,167141.0,RAM NATH AGGARWAL,13-Jul-2020 02:02 PM,Rejected-AOC,L5,21-Aug-2020 03:26 PM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,HP.PWD Form No-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,6.0,166898.0,Tenzin Construction Co. Pvt. Ltd.,11-Jul-2020 04:55 PM,Accepted-AOC,L1,21-Aug-2020 03:26 PM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit of Gazetted and non-Gazetted HPPWD employees related to him (General Rule No 16).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,"Affidavit of no relative working in PWD, Information furnished in the bid is correct in all respect.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,Proof of Machinery Tools plant and ownership as per sr. No. 6.19 of schedule F Clause 18.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,Minimum Turnover for last Five years as given by CA.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate as per schedule F (6.9) and Work in hand certificate as per schedule F (6.10),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
