Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Instrument Type,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
Finance,Fin bid opened,Sanjiv Kumar Agnihotri,06-Jun-2020 08:10 PM,finance_54690.pdf,BOQ Comparative Chart,1.0,158644.0,SURENDER MOHAN GOVT CONT,INR,"4,394,556",Technical,Tech. bid opened,Sanjiv Kumar Agnihotri,04-Jun-2020 04:29 PM,None,1.0,158579.0,ARUN LATH,18-May-2020 04:27 PM,Rejected-AOC,L-3,03-Aug-2020 08:09 PM,Er Sanjiv Kumar EE,Internal,Supdt HDM AO,Sanjiv Kumar Agnihotri,06-Jun-2020 08:15 PM,finsummary_54690.pdf (100.41 KB),03-Aug-2020,"INR 4,394,556",180.0,Sanjiv Kumar Agnihotri,03-Aug-2020 08:09 PM,Awardleteer.pdf (1123.00 KB),Work Awarded,PWD,2020_PWD_37077_1,PWBGNCBT-I201920 15612-60 dt 29.02.2020 corrigen,Co Bridge at Village Kadahe via Pipli from Jogipanga road Km 0000 to 3500 SH Co 19.75 mtr RCC TBeam bridge at RD 0070,Er Sanjiv Kumar EE,Internal,Supdt HDM AO,Sanjiv Kumar Agnihotri,04-Jun-2020 05:30 PM,06-Jun-2020 10:30 AM,techsummary_54690.pdf (101.98 KB),AOC,"1,500",Executive Engineer,Executive Engineer,No,Co Bridge at Village Kadahe via Pipli from Jogipanga road Km 0000 to 3500 SH Co 19.75 mtr RCC TBeam bridge at RD 0070,Co Bridge at Village Kadahe via Pipli from Jogipanga road Km 0000 to 3500 SH Co 19.75 mtr RCC TBeam bridge at RD 0070,Please refer Tender documents. ,NA ,"30,44,270",Civil Works - Bridges,NA ,Tender,120.0,180.0,Bangana,174307.0,NA ,NA ,NA ,Executive Engineer,No ,No,1.0,DD - Demand Draft,11-May-2020 05:00 PM,19-May-2020 11:30 AM,11-May-2020 05:00 PM,18-May-2020 05:00 PM,NA ,NA ,11-May-2020 05:00 PM,18-May-2020 05:00 PM,06-Jun-2020 10:30 AM,Executive Engineer,Executive Engineer HPPWD Division Bangana,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender ( Indicated in Schedule F),"53,164",No,fixed,,Executive Engineer,Executive Engineer,PWD,PWBGNCBT-I201920 15612-60 dt 29.02.2020 corrigen,2020_PWD_37077_1,Yes,Open Tender,Item Wise,Works,2.0,No,No,Offline,No,No,No,AOC
,,,,,,,,,,,,,,,,2.0,158760.0,SANJIV KUMAR,18-May-2020 03:38 PM,Rejected-AOC,L-2,03-Aug-2020 08:09 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,.pdf,Earnest Money ( Indicated In Schedule F),,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,3.0,158644.0,SURENDER MOHAN GOVT CONT,18-May-2020 01:42 PM,Accepted-AOC,Lowest,03-Aug-2020 08:09 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration ( Refer General Rule No.23 ),,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,G.S.T. No. and latest assessment,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Similar nature Work Done Certificate on prescribed format given in Bidding Document without liquidat,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in hand certificate on prescribed format given in Bidding Document as per General Rule 19,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of Machinery Tool Plant with proof of ownership or legal tie-up and list of laboratory equipmen,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of Both Gazetted and non Gazetted officer HPPWD employees related to him ( General Rule No.16 ),,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit that information furnished with the bid (Name of works is correct in all respect).,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding no litigation with the department,,,,,,,,,,,,,,,,,,,,,AOC
