S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Corrigendum Title,Corrigendum Type,View,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No.1,Instrument Type,Tender Stage
1.0,157607.0,SANSAR CHAND RANA,INR,"1,937,039",Finance,Financial Bid Open Successfully,Sanjiv Kumar,05-Aug-2020 02:44 PM,finance_53911.pdf,BOQ Comparative Chart,Technical,4 Bidders Participated in this tender and 2 Bidders found responsive. Hence tender recommended to open financial bid.,Sanjiv Kumar,21-May-2020 11:56 AM,technical_53911.pdf,1.0,156628.0,Rakesh Kapoor,02-Apr-2020 07:33 PM,Rejected-Finance,Higher Side,05-Aug-2020 02:46 PM,Er SK Sood,Internal,SupdtGII HDM Sr DAO AE Baijnath,Sanjiv Kumar,05-Aug-2020 02:46 PM,finsummary_53911.pdf (127.24 KB),05-Aug-2020,"INR 1,810,416",270.0,Sanjiv Kumar,05-Aug-2020 02:47 PM,AwardHSCBhulana.pdf (232.00 KB),PWD,2020_PWD_36527_1,PWD-BD-NIT-2019-20-22538-87,Construction of Health Sub Center at Bhullana Tehsil,Er S K Sood,Internal,Sr Divisional Account Officder HDM Supdt GII Ae Baijnath,Sanjiv Kumar,21-May-2020 11:57 AM,26-May-2020 02:30 PM,techsummary_53911.pdf (301.80 KB),AOC,Construction of Health Sub Center at Bhullana Tehsil,Construction of Civil Work (Ground floor HSC and Firest Floor Doctors residance Water Supply and Sanitary Installation Construction of Septic Tank and Construction of RWHS etc,Please refer Tender documents. ,NA ,"18,10,416",Civil Works - Buildings,NA ,Tender,120.0,270.0,Baijnath,176125.0,NA ,NA ,NA ,Xen HPPWD Division Baijnath,No ,No,Xen HPPWD Division Baijnath,Xen HPPWD Division Baijnath,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form as Indicated Schedule F,PWD,PWD-BD-NIT-2019-20-22538-87,2020_PWD_36527_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,24-Mar-2020 10:00 AM,05-May-2020 01:00 PM,24-Mar-2020 11:00 AM,05-May-2020 12:00 PM,NA ,NA ,24-Mar-2020 12:00 PM,05-May-2020 12:00 PM,26-May-2020 02:30 PM,500.0,EE Baijnath,Baijanth,No,1.0,extend tenderdate,Date,,"34,700",No,fixed,,EE Baijnath,Baijnath,1.0,DD - Demand Draft,AOC
,,,,,,,,,,,,,,,,2.0,156703.0,RANGIL CHAND,04-Apr-2020 05:22 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,21-May-2020 11:56 AM,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,.pdf,Cost of Earnest Money as Indicated Schedule F,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Others,Other,,,,,,,,2.0,FDR - Fixed Deposit,AOC
,,,,,,,,,,,,,,,,3.0,157607.0,SANSAR CHAND RANA,05-May-2020 11:34 AM,Accepted-AOC,Lower side,05-Aug-2020 02:47 PM,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,4.0,157408.0,Shalabh Awasthi,02-May-2020 11:09 AM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,21-May-2020 11:56 AM,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,.pdf,Valid GST Registration and PAN No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8 duly signed on Judicial Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that no Both Gazatted Non Gazetted officer employee in HPPWD Division Baijnath related him,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking that - arbitration / litigation case with PWD is pending in any court of law.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding information furnished with the bid Name of work is correct in all respect.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,.pdf,Machinery with proof of ownership required as per SBD if hiring affidavit of consent required from o,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,.pdf,Minimum work done amount not less than 40 percent of the estimated cost (without LD) in last 5year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
