Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,S.No,Instrument Type,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage
C/o Link road to village Lower Amroh G.P Amroh Tehsil Bhoranj Distt. Hamirpur,C/O Retaining wall and Cement concrete pavement at RD 0.310 to 0.500 Under BASP,Please refer Tender documents. ,NA ,"7,73,668",Civil Works - Roads,NA ,Tender,120.0,60.0,Bhoranj,176045.0,NA ,NA ,NA ,"HP.PWD., Division Bhoranj",No ,No,350.0,EE HPPWD Division Bhoranj,Bhoranj,Yes,"E.E.HP.PWD.,Bhoranj Division","ExecutiveEngineer, Bhoranj Division, HP.PWD., Bhoranj",1.0,DD - Demand Draft,"15,500",Yes,fixed,,EE HPPWD Division Bhoranj,Bhoranj,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender form DD must be payable at Bhoranj,PWD,C/o Link road to village Lower Amroh G.P Amroh Teh,2020_PWD_35066_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,15-Feb-2020 01:45 PM,25-Feb-2020 11:30 AM,15-Feb-2020 01:45 PM,25-Feb-2020 10:30 AM,NA ,NA ,15-Feb-2020 01:50 PM,25-Feb-2020 10:30 AM,13-Mar-2020 11:30 AM,AOC,1.0,150710.0,Ashok Kumar,24-Feb-2020 04:21 PM,Rejected-AOC,Accept,22-Aug-2020 04:33 PM,Technical,Summary attached,Amar Singh Bhatia,12-Mar-2020 12:54 PM,technical_51426.pdf,1.0,150779.0,M/S RAKESH KUMAR,INR,"919,725",Finance,Summary attached,Amar Singh Bhatia,22-Aug-2020 12:17 PM,None,BOQ Comparative Chart,E.E.PWD Bhoranj Division,Internal,"Supdt. HDM, DAO, A.E.",Amar Singh Bhatia,12-Mar-2020 01:32 PM,13-Mar-2020 11:30 AM,techsummary_51426.pdf (927.39 KB),PWD,2020_PWD_35066_1,C/o Link road to village Lower Amroh G.P Amroh Teh,C/o Link road to village Lower Amroh G.P Amroh Tehsil Bhoranj Distt. Hamirpur,22-Aug-2020,"INR 919,725",60.0,Amar Singh Bhatia,22-Aug-2020 04:33 PM,ALLowerAmroh.PDF (742.00 KB),Award latter attached,"E.E.HP.PWD., Bhoranj Division",Internal,"Supdt. HDM, DAO, A.E.Bhoranj Sub Division",Amar Singh Bhatia,22-Aug-2020 12:24 PM,finsummary_51426.pdf (881.20 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,.pdf,"Earnest Money-Indicated in Schedule F (FDR duly pledged in favour of Executive Engineer, HPPWD., Bh",,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,150779.0,M/S RAKESH KUMAR,24-Feb-2020 07:49 PM,Accepted-AOC,Accept,22-Aug-2020 04:33 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration- Gen. Rules Sr. No 23 and 26.3,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration -Refer Gen. Rules Sr. No 21 and 26.4,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Permanent Account Number (PAN No.),,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Employees Provident Fund Number.,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Proof of, Mandatory Machinery Tool and Plant as per Gen Rules 25 and Schedule F Sr. No.6.19",,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Similar nature Work Done Certificate on prescribed format given in Bidding Document without liquidat,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in hand certificate on prescribed format given in Bidding Document as per General Rule 19,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of Both Gaztted and Non Gaztted officer HPPWD employees related to him (General Rule No.16),,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
