Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Instrument Type,Cover No,Cover,Document Type,Description,Tender Stage
Finance,Award letter,Dinesh Kumar Dhiman,10-Jul-2019 12:42 PM,finance_42480.pdf,BOQ Comparative Chart,1.0,122900.0,M/S SUDHIR KUMAR GOVT CONTRACTOR,INR,"867,870",Technical,bid opening,Dinesh Kumar Dhiman,02-Jul-2019 11:09 AM,technical_42480.pdf,1,122862,Gian chand,25-Jun-2019 07:35 AM,Rejected-Technical,NOT QULIFIED,02-Jul-2019 11:54 AM,10-Aug-2020,"INR 867,870",30.0,Dinesh Kumar Dhiman,10-Aug-2020 04:29 PM,LoharSherwan.pdf (195.00 KB),AOC,Er. DK Dhiman,Internal,"GA, HDM",Dinesh Kumar Dhiman,10-Aug-2020 04:27 PM,finsummary_42480.pdf (195.14 KB),d.K.dhiman,Internal,SUPDTT G.A D.A.O,Dinesh Kumar Dhiman,02-Jul-2019 11:54 AM,02-Jul-2019 11:55 AM,techsummary_42480.pdf (461.50 KB),PWD,2019_PWD_29331_3,No.PWN/CB/GA/E-27-1281-86 dt.31/5/19,Conse of link road to Harizan Basti Loharpura Sherwan kms 0/0 to 1/510,AOC,Conse of link road to Harizan Basti Loharpura Sherwan kms 0/0 to 1/510,const of cc pavement from RD 1/135 to 1/335,Please refer Tender documents. ,NA ,"6,88,124",Civil Works - Roads,NA ,Tender,120.0,30.0,Nurpur,176202.0,NA ,NA ,NA ,Nurpur,No ,No,Executive Engineer,Nurpur Division HPPWD Nurpur,"13,800",No,fixed,,EE Nurpur,Nurpur,14-Jun-2019 11:30 AM,26-Jun-2019 11:30 AM,14-Jun-2019 11:30 AM,25-Jun-2019 04:00 PM,14-Jun-2019 11:30 AM ,25-Jun-2019 04:00 PM ,14-Jun-2019 11:30 AM,25-Jun-2019 04:00 PM,02-Jul-2019 11:55 AM,350.0,EE Nurpur,Nurpur,No,PWD,No.PWN/CB/GA/E-27-1281-86 dt.31/5/19,2019_PWD_29331_3,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,DD - Demand Draft,1.0,Fee/PreQual/Technical,.pdf,Copy of enlistment,AOC
,,,,,,,,,,,,,,,,2,122863,JAKUB DIN GOVT CONTRACTOR,25-Jun-2019 11:03 AM,Rejected-Technical,not qulified,02-Jul-2019 11:54 AM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,.pdf,Earnest money,AOC
,,,,,,,,,,,,,,,,3,122926,MANGAL SINGH GOVT. CONTRACTOR,25-Jun-2019 02:39 PM,Rejected-Technical,NOT QULIFIED,02-Jul-2019 11:54 AM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Tender cost,AOC
,,,,,,,,,,,,,,,,4,122900,M/S SUDHIR KUMAR GOVT CONTRACTOR,25-Jun-2019 12:44 PM,Accepted-AOC,qualified,10-Aug-2020 04:30 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of quantity,AOC
,,,,,,,,,,,,,,,,5,122915,NARENDER SINGH,25-Jun-2019 01:54 PM,Rejected-AOC,qualified,10-Aug-2020 04:30 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,6,122920,NARESH KATOCH,25-Jun-2019 02:07 PM,Rejected-AOC,qualified,10-Aug-2020 04:30 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,7,122928,OTHRE,25-Jun-2019 03:41 PM,Rejected-Technical,NOT QULIFIED,02-Jul-2019 11:54 AM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,8,122866,Rajeshwar Singh,25-Jun-2019 02:12 PM,Rejected-AOC,qualified,10-Aug-2020 04:30 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,9,122871,SALIM MOHAMMAD GOVT.CONTRACTOR,25-Jun-2019 09:47 AM,Rejected-Technical,not qulified,02-Jul-2019 11:54 AM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,10,122933,SANDEEP CHAHAL,25-Jun-2019 03:23 PM,Rejected-AOC,qualified,10-Aug-2020 04:30 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
