Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Cover No,Cover,Document Type,Description,S.No,Instrument Type,EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
"EE,Pahumara Rupahi Division(I),Sarupeta",Internal,"Asst. Executive Engineer(TC), Pahumara Rupahi Division(I),Sarupeta ,Asst.Engineer, Tender Assistant,Accounts Officer",KRISHNAV JYOTI SARMA,06-May-2020 02:59 PM,06-May-2020 03:05 PM,techsummary_24819.pdf (2336.30 KB),Finance,Financial evaluation is under process,KRISHNAV JYOTI SARMA,21-Aug-2020 07:54 PM,,BOQ Comparative Chart,"EE,Pahumara Rupahi Division(I),Sarupeta",Internal,,KRISHNAV JYOTI SARMA,22-Aug-2020 09:38 PM,finsummary_24819.pdf (213.13 KB),Technical,Technical Evaluation is under process,KRISHNAV JYOTI SARMA,06-May-2020 02:24 PM,,1,75219,DIPU SARMA,13-Feb-2020 01:12 PM,Rejected-Finance,Not Admitted,22-Aug-2020 09:38 PM,Irrigation Department||Chief Engineer(Minor Irrigation)-Irrigation Dept,2020_ID_16252_4,PRID_T_7_2019_20_90 Dt 03_02_2020,Restoration of Rupahi FIS under SOPD for the year 2019_20 package 4,22-Aug-2020,INR 1230160.0,30.0,KRISHNAV JYOTI SARMA,22-Aug-2020 09:41 PM,WO.pdf (804.00 KB),AOC,AOC,03-Feb-2020 06:00 PM,13-Feb-2020 03:00 PM,03-Feb-2020 06:10 PM,13-Feb-2020 02:00 PM,NA ,NA ,04-Feb-2020 10:00 AM,13-Feb-2020 02:00 PM,06-May-2020 03:05 PM,Restoration of Rupahi FIS under SOPD for the year 2019_20 package 4,Raising Strengthening of D1 Canal from Ch.4160.00m to Ch.4280.00m,Please refer Tender documents. ,NA ,"12,30,160",Civil Works,NA ,Rate Contract,180.0,30.0,Rupahi,781318.0,NA ,NA ,NA ,"O/o EE,Pahumara Rupahi Division(I),Sarupeta",No ,No,"EE,Pahumara Rupahi Division(I),Sarupeta","O/o EE,Pahumara Rupahi Division(I),Sarupeta",1.0,Fee/PreQual/Technical,.pdf,NIT,1.0,DD - Demand Draft,"24,603",Yes,percentage,2.0%,"EE,Pahumara Rupahi Division(I),Sarupeta",Sarupeta,200.0,"EE,Pahumara Rupahi Division(I),Sarupeta",Sarupeta,No,Irrigation Department||Chief Engineer(Minor Irrigation)-Irrigation Dept,PRID_T_7_2019_20_90 Dt 03_02_2020,2020_ID_16252_4,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,2,75079,GOPESH KALITA,12-Feb-2020 04:15 PM,Rejected-Finance,Not Admitted,22-Aug-2020 09:38 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bid Documents,2.0,BG - Bank Guarantee Irrevocable,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,3,75138,M/S Kusumbar Construction,12-Feb-2020 08:41 PM,Rejected-Technical,Labour licence expired,06-May-2020 02:59 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EMD,3.0,FDR - Fixed Deposit Receipt,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,4,75230,M/s Macrocosm Builders,13-Feb-2020 01:54 PM,Rejected-Technical,No documents of similar works done in Irrigation deptt,06-May-2020 02:59 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Cost of Bid,4.0,DCR - Deposit at call receipt,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,5,74898,NURUL HAQUE,11-Feb-2020 01:28 PM,Rejected-Technical,No documents of similar works done in Irrigation deptt,06-May-2020 02:59 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Pre-Qualification,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,6,75196,Sri Dilip Kumar Deka,13-Feb-2020 11:16 AM,Accepted-AOC,Awarded,22-Aug-2020 09:41 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,7,75173,Sri Manash Jyoti Baishya,13-Feb-2020 06:32 AM,Rejected-Finance,Not Admitted,22-Aug-2020 09:38 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,8,75082,SRI MRINAL SARMA,12-Feb-2020 05:50 PM,Rejected-Finance,Not Admitted,22-Aug-2020 09:38 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,9,75071,Sri Pranab Malakar,12-Feb-2020 03:12 PM,Accepted-AOC,Awarded,22-Aug-2020 09:41 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,10,74985,Utpal Kakati,12-Feb-2020 06:08 PM,Rejected-Technical,No documents of similar works done in Irrigation deptt,06-May-2020 02:59 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
