Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Corrigendum Title,Corrigendum Type,View,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No.1,Instrument Type,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage
AMP plan for the year 2020-21 for Bhatt Ki Hatti Rampur road in km 13/00 to 22/300,AMP plan for the year 2020-21 for Bhatt Ki Hatti Rampur road in km 13/00 to 22/30SH P/L renewal coat by Providing 30 mm thick Bituminous concrete thermoplastic edge line in km 13/00 to 22/300,Please refer Tender documents. ,NA ,"1,00,62,141",Civil Works,NA ,Tender,90.0,90.0,Kasauli,173204.0,NA ,NA ,NA ,EEHPPWDKasauli,No ,No,EE HPPWD Kasauli,EE HPPWDKasauli,PWD,No/PW/ksli/NIT/19-18313-22 dt 6/2/20,2020_PWD_34678_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,Change of closing and opening date,Date,,10-Feb-2020 10:00 AM,29-Feb-2020 11:00 AM,10-Feb-2020 11:00 AM,29-Feb-2020 10:00 AM,NA ,NA ,10-Feb-2020 11:00 AM,29-Feb-2020 10:00 AM,03-Mar-2020 11:30 AM,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form (as per Schedule F 6.3),"5,000",EE Kasauli,Kasauli,No,1.0,DD - Demand Draft,"1,33,200",No,fixed,,EE HPPWD Kasauli,Kasauli,AOC,PWD,2020_PWD_34678_1,No/PW/ksli/NIT/19-18313-22 dt 6/2/20,AMP plan for the year 2020-21 for Bhatt Ki Hatti Rampur road in km 13/00 to 22/300,Er Rajesh Kumar,Internal,Er Satish Kumar AE Subathu Sh Amar Nath Arora HDM Sh Deepak Walia Supdt Gr-II,Satish Kumar,03-Mar-2020 11:26 AM,03-Mar-2020 11:30 AM,techsummary_50796.pdf (62.29 KB),Er Rajesh Kumar,Internal,Er Satish Kumar AE Subathu Sh Amar Nath Arora HDM Sh Deepak Walia Supdt Gr-II,Satish Kumar,03-Mar-2020 12:46 PM,finsummary_50796.pdf (56.32 KB),19-Aug-2020,"INR 10,792,034",90.0,Rajesh Kumar,20-Aug-2020 01:55 PM,AOC.pdf (583.00 KB),AOC,1.0,150374.0,Asphalt Carpet Construction Company,INR,"12,793,518",Finance,Financial Bid Opening Summary,Satish Kumar,03-Mar-2020 12:38 PM,finance_50796.pdf,BOQ Comparative Chart,1.0,150374.0,Asphalt Carpet Construction Company,21-Feb-2020 01:00 PM,Accepted-AOC,accepted,20-Aug-2020 01:56 PM,Technical,Bid Opening Summary,Satish Kumar,02-Mar-2020 05:46 PM,technical_50796.pdf,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money Deposit (As per schedule F 6.5),,,,,2.0,FDR - Fixed Deposit,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2.0,151645.0,DCC BUILDCON PVT. LTD.,INR,"11,069,072",,,,,,,2.0,151645.0,DCC BUILDCON PVT. LTD.,28-Feb-2020 12:18 PM,Accepted-AOC,accepted,20-Aug-2020 01:56 PM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor registration (Refer General rule No.23 and as per invitation of bid),,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,150399.0,Ravinder Kumar Gupta,21-Feb-2020 02:31 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,02-Mar-2020 05:46 PM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate (As per Performa given in General rule No.19 ).,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Machinery tools and plants (As per schedule F with reference to clause 18,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No. 8 duly signed (Refer General rule No 26.7,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The Contractor Shall give affidavit regarding List of both gazette and non gazette HPPWD Employees,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that information furnished with the bid is correct in all respect.,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of GSt,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Financial,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
