Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Instrument Type,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
Er Rajesh Garg Executive Engineer,Internal,Sh Satish Kumar A E Subathu Sh A N Arora HDM Sh Deepak Walia Supdt Gr II,Rajesh Kumar,20-Jun-2020 05:49 PM,finsummary_55573.pdf (206.27 KB),10-Jul-2020,"INR 13,403",90.0,Rajesh Kumar,20-Aug-2020 05:53 PM,AOC95.pdf (419.00 KB),AOC,PWD,2020_PWD_37730_1,No/PW/Ksli/NIT-19- 1157-65 dated23/5/20,C/O link road from tharugarh up mohal chandrayani to samsanghat tharugharh in G P Jangeshu in km 0/0 to 0/650,Er Rajesh Garg Executive Engineer,Internal,Sh Satish Kumar A E Subathu Sh A N Arora HDM Sh Deepak Walia Supdt Gr II,Rajesh Kumar,20-Jun-2020 04:54 PM,20-Jun-2020 05:00 PM,techsummary_55573.pdf (455.46 KB),Finance,Financialbid,Rajesh Kumar,20-Jun-2020 05:42 PM,finance_55573.pdf,BOQ Comparative Chart,1.0,162845.0,Harsh Mehta,INR,"1,499,845",Technical,bidsummary,Rajesh Kumar,20-Jun-2020 03:08 PM,technical_55573.pdf,1.0,162944.0,CHINT RAM SHARMA,17-Jun-2020 01:48 PM,Rejected-AOC,accepted,20-Aug-2020 05:53 PM,AOC,EE HPPWD Kasauli,EE HPPWD Kasauli,PWD,No/PW/Ksli/NIT-19- 1157-65 dated23/5/20,2020_PWD_37730_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,DD - Demand Draft,500.0,EE Kasauli,Kasauli,No,"26,900",No,fixed,,EE Kasauli,Kasauli,04-Jun-2020 10:00 AM,18-Jun-2020 11:00 AM,04-Jun-2020 11:00 AM,17-Jun-2020 04:00 PM,NA ,NA ,04-Jun-2020 11:00 AM,17-Jun-2020 04:00 PM,20-Jun-2020 05:00 PM,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form (as per Schedule F 6.3),C/O link road from tharugarh up mohal chandrayani to samsanghat tharugharh in G P Jangeshu in km 0/0 to 0/650,C/O link road from tharugarh up mohal chandrayani to samsanghat tharugharh in G P Jangeshu in km 0/0 to 0/650 SH C/O R/Wall B/Wall and wire crate under SCCP,Please refer Tender documents. ,NA ,"13,40,392",Civil Works,NA ,Tender,90.0,90.0,Kasauli,173204.0,NA ,NA ,NA ,Kasauli,No ,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,162960.0,Contractor Babu Ram,17-Jun-2020 11:52 AM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,20-Jun-2020 03:08 PM,AOC,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money Deposit (As per schedule F 6.5),,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,162880.0,harry construction and construction,16-Jun-2020 07:45 PM,Rejected-AOC,accepted,20-Aug-2020 05:53 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor registration (Refer General rule No.23 and as per invitation of bid),,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,162845.0,Harsh Mehta,17-Jun-2020 01:28 PM,Accepted-AOC,accepted,20-Aug-2020 05:53 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate (As per Performa given in General rule No.19 ).,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,162595.0,Inder Singh Thakur,15-Jun-2020 04:34 PM,Rejected-AOC,accepted,20-Aug-2020 05:53 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Machinery tools and plants (As per schedule F with reference to clause 18,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,162957.0,M/s Abhi Construction,17-Jun-2020 02:42 PM,Rejected-AOC,accepted,20-Aug-2020 05:53 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No. 8 duly signed (Refer General rule No 26.7).,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,162177.0,Mukesh,11-Jun-2020 04:24 PM,Rejected-AOC,accepted,20-Aug-2020 05:53 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The Contractor Shall give affidavit regarding List of both gazette and non gazette HPPWD Employees,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that information furnished with the bid is correct in all respect,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of GST,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Financial,,,,,,,,,,,,,,,,,,,AOC
