Type :,Summary :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Instrument Type,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,S.No.1,Corrigendum Title,Corrigendum Type,View,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
Technical,BOS,Chaman Singh,22-May-2020 05:55 PM,technical_54664.pdf,1.0,159050.0,Ajay Kumar Sharma,20-May-2020 03:07 PM,Accepted-AOC,Being lowest,21-Aug-2020 11:27 AM,1.0,159050.0,Ajay Kumar Sharma,INR,"21,089,079",Finance,FBOS,Chaman Singh,27-May-2020 04:05 PM,finance_54664.pdf,BOQ Comparative Chart,Chief Engineer(MZ) HPPWD,Internal,Superintending Engineer(D and W)MZ Superintending Engineer 1st Circle Executive Engineer Sundernagar Divn Executive Engineer (D Road) Dy. Contr (F and A)MZ Planning Officer (Road),Chaman Singh,21-Aug-2020 11:19 AM,finsummary_54664.pdf (9793.87 KB),21-Aug-2020,"INR 21,089,079",365.0,Chaman Singh,21-Aug-2020 11:26 AM,AOCOverhea.pdf (9794.00 KB),A.O.C. issue after necessary negotiation.,PWD,2020_PWD_37049_1,PW-SNR-CB-E-Tender/19-291-303 dt 23.04.2020,"Construction of Overhead Foot Bridge at Lalit Chowk, Sundernagar, Distt. Mandi (HP)",Er D R Chauhan Executive Engineer,Internal,Sushil Kumar DAO Gr-I N R Chandel AE Suket Amar Singh HDM Girja Sharma Supdt PMGSY,Chaman Singh,26-May-2020 03:50 PM,27-May-2020 10:30 AM,techsummary_54664.pdf (1963.68 KB),AOC,"5,000",EE Sundernagar,Sundernagar,No,09-May-2020 09:00 AM,21-May-2020 11:00 AM,09-May-2020 09:05 AM,20-May-2020 06:00 PM,NA ,NA ,09-May-2020 09:15 AM,20-May-2020 06:00 PM,27-May-2020 10:30 AM,1.0,DD - Demand Draft,Executive Engineer,Sunder Nagar Division HPPWD,PWD,PW-SNR-CB-E-Tender/19-291-303 dt 23.04.2020,2020_PWD_37049_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,"1,48,000",Yes,fixed,,EE Sundernagar,Sundernagar,1.0,Fee/PreQual/Technical,.pdf,Cost of tender indicated in schedule F,1.0,Estimated Cost and EMD Corrigendum,Other,,"Construction of Overhead Foot Bridge at Lalit Chowk, Sundernagar, Distt. Mandi (HP)",SH Construction of Civil work.,AS per bid document ,NA ,"1,15,26,619",Civil Works - Bridges,NA ,Tender,120.0,365.0,Sundernagar,175018.0,NA ,NA ,NA ,O/O Executive Engineer Sunder Nagar Division HPPWD,No ,No,AOC
,,,,,2.0,159009.0,Parveen Construction,20-May-2020 11:42 AM,Rejected-Technical,Being Non Responsive,26-May-2020 03:50 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The earnest money indicated in schedule F,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,3.0,158932.0,Vijay Kumar Sharma,20-May-2020 02:06 PM,Rejected-AOC,Not Found lowest,21-Aug-2020 11:27 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors registration refer general rules No.23,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration general rules No. 21,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bidding Capacity as per general rules No. 28.2a and work done / in hand as per General Rule No. 19,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List of machinery, tool, plant refer schedule F with reference to clause 18",,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No. 7/8 prefer General Rules No. 26.7,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of both gazetted and non-gazetted HPPWD Employees related to him General Rule No. 16,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that information furnished with the bid is correct in all respect,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Other important documents as specified by the State in proforma of Schedule,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of EPF Registration,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,AOC
