Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Instrument Type,S.No.1,Category,Sub Category,Sub Category Description,Format/File,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
"1,500","Executive Engineer, Electrical Division, HP.PWD Ma",Mandi HP,No,1.0,DD - Demand Draft,1.0,Certificate Details ,Permanent Account Number ,Permanent Account Number Details ,,"Providing and fixing One No. Electric Traction 26 Passenger Elevator with Machine Room in 50 bedded Hospital at Bagsaid, Distt- Mandi H.P","Providing and fixing One No. Electric Traction 26 Passenger Elevator with Machine Room in 50 bedded Hospital at Bagsaid, Distt- Mandi H.P",Please refer to bid document ,NA ,"33,50,000",Electrical Works,NA ,Tender,120.0,180.0,Bagsaid,175035.0,NA ,NA ,NA ,"Electrical Division, HP.PWD Mandi H.P",No ,No,"57,750",No,fixed,,"Executive Engineer, Electrical Division, HP.PWD Ma",Mandi HP,1.0,Fee/PreQual/Technical,.pdf,"COST OF TENDER INDICATED IN SCHEDULE F,","Executive Engineer, Electrical Division, HP.PWD Ma","Executive Engineer, Electrical Division, HP.PWD Mandi",PWD,PW/MED/TA/NIT/ e-notice/19-20-7624-29 dt 18.01.20,2020_PWD_34547_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,03-Feb-2020 01:00 PM,12-Feb-2020 11:30 AM,03-Feb-2020 01:00 PM,12-Feb-2020 10:00 AM,NA ,NA ,03-Feb-2020 01:00 PM,12-Feb-2020 10:00 AM,24-Feb-2020 11:00 AM,AOC,PWD,2020_PWD_34547_1,PW/MED/TA/NIT/ e-notice/19-20-7624-29 dt 18.01.20,"Providing and fixing One No. Electric Traction 26 Passenger Elevator with Machine Room in 50 bedded Hospital at Bagsaid, Distt- Mandi H.P",Er Sanjay Kumar SE,Internal,Er Sanjeev Kumar EE Er D S Patial EE Er Deepak Rawat EO Sh Jeet Ram Supdt,Dalip singh Patial,22-Feb-2020 04:38 PM,24-Feb-2020 11:00 AM,techsummary_50567.pdf (992.63 KB),Er D S Patial EE,Internal,Sh Jai Ram HDM Smt Karuna Sharma Supdt Sh Kapil Soni Sr Asstt,Dalip singh Patial,24-Feb-2020 03:48 PM,finsummary_50567.pdf (493.76 KB),15-Jul-2020,"INR 3,350,000",365.0,Dalip singh Patial,18-Aug-2020 11:34 AM,AOC.pdf (614.00 KB),work awarded to Sharma Electrical and Electronics Company being L1 firm,1.0,148776.0,SHARMA ELECTRICAL AND ELECTRONIC CO.,08-Feb-2020 05:35 PM,Accepted-AOC,work awarded being L1 firm,18-Aug-2020 11:34 AM,Technical,Technical bid summary,Dalip singh Patial,22-Feb-2020 04:36 PM,technical_50567.pdf,Finance,Financial bid summary,Dalip singh Patial,24-Feb-2020 03:42 PM,finance_50567.pdf,BOQ Comparative Chart,1.0,148776.0,SHARMA ELECTRICAL AND ELECTRONIC CO.,INR,"3,350,000",AOC
,,,,2.0,FDR - Fixed Deposit,2.0,Certificate Details ,Sales Tax/VAT ,Sales Tax/VAT ,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Earnest Money INDICATED IN SCHEDULE F,",,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2.0,148770.0,SHARMA ELECTRICAL CO.,08-Feb-2020 05:16 PM,Rejected-Finance,rejected being L2 firm,24-Feb-2020 03:48 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,3.0,Certificate Details ,Bidders Address Format ,Bidders Address Format Details ,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Approved OEM (Lift) as per CPWD manual 2014 or auth. agency of OEM or apprd OEM by Circle shimla,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,4.0,Certificate Details ,Affidavit regarding correctness of bid ,Required in tender document in bidder file 1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Income Tax (PAN) and GST and EPF REGITRATION GENERAL RULES NO. 21,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,5.0,Work Details ,Work Completed Certificate Copies ,Work Completed Certificate Copies ,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"FORM NO 8 duly signed REFER GENERAL RULES NO 26.7,",,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Average financial turnover of last three years as per Technical qualification criteria,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Attested copies of work done certificates as per Technical qualification criteria,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding No gazetted and non-gazetted HPPWD. Employees related to him GENERAL RULES,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that information furnished with the bid is true and correct in all respect.,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Any other documents as specified by the State in performa of schedule,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
