S.No,Bank Name,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
1.0,SBI Bank,1.0,Fee,.pdf,Cost of Tender and EMD,"1,55,747",Yes,percentage,2.0%,"The Executive Engineer,Majuli W.R. Division","Garamur,Majuli",Immediate Measures to recoup flood damaged of country side slope of B/Dyke from Ch. 24th Km. to 28th Km. (Chataikur to Ratanpur area)in the form of back berm under SDRF for 2019-20 (Package 2),Immediate Measures to recoup flood damaged of country side slope of B/Dyke from Ch. 24th Km. to 28th Km. (Chataikur to Ratanpur area)in the form of back berm under SDRF for 2019-20 (Package 2),Please refer Tender documents. ,NA ,"77,87,337",Civil Works,NA ,Tender,180.0,60.0,Majuli,785104.0,NA ,NA ,NA ,Dibrugarh,No ,No,20-Feb-2020 06:00 PM,02-Mar-2020 02:00 PM,20-Feb-2020 06:00 PM,29-Feb-2020 02:00 PM,NA ,NA ,24-Feb-2020 10:00 AM,29-Feb-2020 02:00 PM,03-Jul-2020 11:35 AM,Department of Water Resources||Chief Engineer - DoWR,MAJU/SDRF/CTKR/2019-20/1,2020_DoWR_16691_1,Yes,Open Tender,Works,Works,3.0,No,No,Online,No,No,No,"2,000","The Executive Engineer,Majuli W.R.Division","Garamur,Majuli",No,"Addl. Chief Engineer, UAZ, W.R. Deptt., Dibrugarh","Addl. Chief Engineer, UAZ, W.R. Deptt., Dibrugarh",AOC,"Addl. Chief Engineer, Upper Assam Zone, Water Resources Department, Dibrugarh",Internal,"Additional Chief Engineer, UAZ, W.R. Department, Dibrugarh, Deputy Director, Design and Planning, EE, Majuli W. R. Division, Assistant Executive Engineer (TC), O/o the ACE, UAZ, WRD",Joy Sekhar Chakraborty,03-Jul-2020 11:30 AM,03-Jul-2020 11:35 AM,techsummary_25426.pdf (754.58 KB),1.0,76422.0,UJJALA SHARMA,INR,6249199.0,Technical,Financial Bid of the successful bidders may be opened.,Joy Sekhar Chakraborty,03-Jul-2020 11:28 AM,technical_25426.pdf,"Addl. Chief Engineer, Upper Assam Zone, Water Resources Department, Dibrugarh",Internal,"ACE,UAZ/DIRECTOR/DY.DIRECTOR/EE/AEE,CONCERNED/A.O./TECH.ASSTT.WITH DSC",Shamim Akhtar Laskar,06-Aug-2020 11:49 AM,finsummary_25426.pdf (755.12 KB),Department of Water Resources||Chief Engineer - DoWR,2020_DoWR_16691_1,MAJU/SDRF/CTKR/2019-20/1,Immediate Measures to recoup flood damaged of country side slope of B/Dyke from Ch. 24th Km. to 28th Km. (Chataikur to Ratanpur area)in the form of back berm under SDRF for 2019-20 (Package 2),1,76862,DEBAJIT BARUAH,29-Feb-2020 11:21 AM,Not Admitted-PreQual/Technical,Not Complied with technical specification,03-Jul-2020 11:28 AM,Finance,Updated CS may be prepared,Joy Sekhar Chakraborty,03-Jul-2020 01:59 PM,,BOQ Comparative Chart,06-Aug-2020,INR 7787337.64,60.0,Shamim Akhtar Laskar,06-Aug-2020 11:52 AM,RATANPURPK-2.pdf (936.00 KB),Immediate Measures to recoup flood damaged of country side slope of B/Dyke from Ch. 24th Km. to 28th Km. (Chataikur to Ratanpur area)in the form of back berm under SDRF for 2019-20 (Package 2),AOC
,,2.0,PreQual/Technical,.pdf,Technical Document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,76681,DIBYA SARMAH,28-Feb-2020 02:02 PM,Rejected-AOC,NOT QUALIFIED FOR AOC,06-Aug-2020 11:52 AM,,,,,,,,,,,,,,AOC
,,3.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,76881,Dipali Saikia,29-Feb-2020 11:40 AM,Not Admitted-PreQual/Technical,Not Complied with technical specification,03-Jul-2020 11:28 AM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,76837,Mr. Uma Kanta Lahan,28-Feb-2020 05:15 PM,Rejected-AOC,NOT QUALIFIED FOR AOC,06-Aug-2020 11:52 AM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,76468,PABITRA DOLEY,29-Feb-2020 12:54 PM,Not Admitted-PreQual/Technical,Not Complied with technical specification,03-Jul-2020 11:28 AM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,76854,PRADIP HAZARIKA,29-Feb-2020 01:04 PM,Rejected-AOC,NOT QUALIFIED FOR AOC,06-Aug-2020 11:52 AM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,76706,pulin borgohain,29-Feb-2020 09:39 AM,Rejected-AOC,NOT QUALIFIED FOR AOC,06-Aug-2020 11:52 AM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,76653,SARBESWAR SAIKIA,29-Feb-2020 11:27 AM,Rejected-AOC,NOT QUALIFIED FOR AOC,06-Aug-2020 11:52 AM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,76909,Sri Madan Khanikar,29-Feb-2020 11:36 AM,Rejected-AOC,NOT QUALIFIED FOR AOC,06-Aug-2020 11:52 AM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,76422,UJJALA SHARMA,25-Feb-2020 12:47 AM,Accepted-AOC,PROPER,06-Aug-2020 11:52 AM,,,,,,,,,,,,,,AOC
