Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Instrument Type,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage
Periodical renewal on link road to Ludder Manwin Sulgwan road etc.,SH Providing and laying 30mm thick bitumen concrete on various roads for the year 2020-21 AMP,Please refer Tender documents. ,NA ,"1,05,23,943",Civil Works - Roads,NA ,Tender,120.0,30.0,Bhoranj,176045.0,NA ,NA ,NA ,HPPWD Bhoranj Division,No ,No,"1,37,800",Yes,fixed,,EE. HPPWD Bhoranj Diviion,Bhoranj,07-Feb-2020 12:35 PM,17-Feb-2020 11:30 AM,07-Feb-2020 12:35 PM,17-Feb-2020 10:30 AM,NA ,NA ,07-Feb-2020 12:40 PM,17-Feb-2020 10:30 AM,13-Mar-2020 11:30 AM,PWD,Periodical renewal on link road to Ludder Manwin S,2020_PWD_34672_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,"E.E. HP.PWD.,Bhoranj Division","ExecutiveEngineer, Bhoranj Division, HP.PWD.,Bhoranj",1.0,Fee/PreQual/Technical,.pdf,Cost of Tender form DD must be payable at Bhoranj,"5,000",EE. HPPWD Bhoranj Diviion,Bhoranj,Yes,1.0,DD - Demand Draft,AOC,1.0,149496.0,DEEPAK JOSHI,16-Feb-2020 11:19 AM,Rejected-AOC,Accept,22-Aug-2020 02:34 PM,Technical,Summary attached,Amar Singh Bhatia,12-Mar-2020 01:00 PM,technical_50787.pdf,Finance,Summary Attached,Amar Singh Bhatia,16-Mar-2020 04:27 PM,None,BOQ Comparative Chart,1.0,149422.0,S.S.Chauhans Construction Private Limted,INR,"12,684,212",EE Bhoranj,Internal,Supdt.HDM DAO A.E.,Amar Singh Bhatia,12-Mar-2020 01:17 PM,13-Mar-2020 11:30 AM,techsummary_50787.pdf (980.35 KB),PWD,2020_PWD_34672_1,Periodical renewal on link road to Ludder Manwin S,Periodical renewal on link road to Ludder Manwin Sulgwan road etc.,22-Aug-2020,"INR 12,684,212",30.0,Amar Singh Bhatia,22-Aug-2020 02:34 PM,AwardletterLuddMan.PDF (1648.00 KB),Award letter attached,E.E.HPPWD Bhoranj Division,Internal,"Supdt. HDM, DAO, A.E.Bhoranj Sub Division",Amar Singh Bhatia,22-Aug-2020 02:29 PM,finsummary_50787.pdf (881.20 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Earnest Money-Indicated in Schedule F (FDR duly pledged in favour of Executive Engineer, HPPWD., Bh",,,,,2.0,FDR - Fixed Deposit,AOC,2.0,149422.0,S.S.Chauhans Construction Private Limted,16-Feb-2020 11:46 AM,Accepted-AOC,Accept,22-Aug-2020 02:34 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration- Gen. Rules Sr. No 23 and 26.3,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration -Refer Gen. Rules Sr. No 21 and 26.4,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Labour License,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Permanent Account Number (PAN No.),,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Employees Provident Fund Number.,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Proof of, Mandatory Machinery Tool and Plant as per Gen Rules 25 and Schedule F Sr. No.6.19",,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Similar nature Work Done Certificate on prescribed format given in Bidding Document without liquidat,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in hand certificate on prescribed format given in Bidding Document as per General Rule 19,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
