S.No,Instrument Type,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No.1,Corrigendum Title,Corrigendum Type,View,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,S.No,Revocation Title,Revocation Description,Published Date,Document Name,Document Size(in KB),Revocated To,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,S.No.2,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage
1.0,DD - Demand Draft,"Director of Mdical Education , ASSAM","Director of Medical Education, Assam, Guwahati-22","5,000",As mentiond in the E-Tender.,As mentiond in the E- Tender.,No,"5,00,000",No,fixed,,As mentiond in the E-Tender.,As mentiond in the E-Tender.,1.0,Fee/PreQual/Technical,.pdf,Pre Qualification,31-May-2019 10:00 AM,03-Jul-2019 03:00 PM,31-May-2019 10:00 AM,03-Jul-2019 02:00 PM,NA ,NA ,13-Jun-2019 12:00 PM,03-Jul-2019 02:00 PM,29-Aug-2019 09:00 AM,1.0,Date Extension Notice,Date,,Health and Family Welfare Department||Directorate of Medical Education-HFWD,DME/TB/117/2019/7039 DATED 28/05/2019,2019_HFWD_12892_1,Yes,Open Tender,Supply,Goods,2.0,No,Yes,Offline,No,No,No,Supply installation of various Equipment/instruments related to TB Chest Department for all Medical College Hospitals of Assam,Supply installation of various Equipment/instruments related to TB Chest Department for all Medical College Hospitals of Assam,Please refer Tender documents. ,NA ,"1,00,00,000",Medical Equipments/Waste,NA ,Tender,365.0,25.0,Medical College Hospitals and SCI Assam,781032.0,"Director of Medical Education, Assam ","Director of Medical Education, Assam, Guwahati-22 ",10-Jun-2019 11:00 AM ,"Director of Medical Education Assam, Khanapara,",No ,No,AOC,1.0,Corrigendum for Revocation,"Corrigendum for Revocation- due to re upload of the Minutes of Technical Committee, as one of the minutes inadvertently missing.",28-Aug-2019 05:52 PM,TechMinutes_TB.PDF ,1111.25,Technical Opening,Dr. Jogesh Sarma,Internal,,Kalpana Saikia,28-Aug-2019 06:08 PM,29-Aug-2019 09:00 AM,techsummary_20235.pdf (1693.56 KB),Technical,Bids open and seen,Kalpana Saikia,28-Aug-2019 06:01 PM,technical_20235.pdf,1,61101,Alliance Scientific,03-Jul-2019 01:45 PM,Rejected-Finance,As per Finance Committee Meeting,17-Oct-2019 06:31 PM,03-Aug-2020,INR 1.0E+7,25.0,Bhupen Chandra Sarma,03-Aug-2020 08:17 PM,Approvedlist115_7047_117_7039.PDF (1755.00 KB),Approved list as per Minutes of Finance committee meeting and Technical Committee,1.0,61111.0,M/s Marak Supply and Agencies,INR,110880.0,Finance,Minutes of the Special Committee Meeting and Finance Committee Meeting,Bhupen Chandra Sarma,17-Oct-2019 06:02 PM,finance_20235.pdf,BOQ Comparative Chart,Prof A K Barman,Internal,,Bhupen Chandra Sarma,17-Oct-2019 06:31 PM,finsummary_20235.pdf (1371.71 KB),Health and Family Welfare Department||Directorate of Medical Education-HFWD,2019_HFWD_12892_1,DME/TB/117/2019/7039 DATED 28/05/2019,Supply installation of various Equipment/instruments related to TB Chest Department for all Medical College Hospitals of Assam,AOC
2.0,BC - Bankers Cheque,,,,,,,,,,,,,,,.pdf,Technical Bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,2,60830,Friends Agencies,03-Jul-2019 12:44 PM,Rejected-Finance,As per Finance Committee Meeting,17-Oct-2019 06:31 PM,,,,,,,,2.0,61115.0,NJD TRADERS,INR,483840.0,,,,,,,,,,,,,,,,,AOC
3.0,BG - Bank Guarantee Irrevocable,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,3,61136,MAINDEOR ENTERPRISE,03-Jul-2019 01:26 PM,Not Admitted-Finance,Not qualified for AOC,17-Oct-2019 06:02 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
4.0,FDR - Fixed Deposit Receipt,,,,,,,,,,,,,,,.pdf,SBOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,4,61110,M B Traders,02-Jul-2019 08:39 PM,Not Admitted-Finance,Not qualified for AOC,17-Oct-2019 06:02 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,5,60735,Medisure Inc,03-Jul-2019 12:17 PM,Not Admitted-Finance,Not qualified for AOC,17-Oct-2019 06:02 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,6,61111,M/s Marak Supply and Agencies,03-Jul-2019 01:52 PM,Accepted-AOC,Approved list as per Minutes of Finance committee meeting and Technical Committee,03-Aug-2020 08:17 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,7,61115,NJD TRADERS,03-Jul-2019 02:03 AM,Accepted-AOC,Approved list as per Minutes of Finance committee meeting and Technical Committee,03-Aug-2020 08:17 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,8,60892,Schiller Healthcare India Pvt LTd,03-Jul-2019 01:05 PM,Rejected-Technical,As per Minutes of Technical Commiittee,28-Aug-2019 06:08 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,9,61132,SHIKHA SURGICALS,03-Jul-2019 12:18 PM,Rejected-Finance,As per Finance Committee Meeting,17-Oct-2019 06:31 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,10,61122,Shree Medical Projects,03-Jul-2019 12:16 PM,Not Admitted-Finance,Not qualified for AOC,17-Oct-2019 06:02 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
