Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Instrument Type,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
06-May-2020 10:00 AM,21-May-2020 11:00 AM,06-May-2020 11:00 AM,20-May-2020 04:00 PM,NA ,NA ,06-May-2020 11:00 AM,20-May-2020 04:00 PM,22-May-2020 12:40 PM,PWD,No/PW/Ksli/NIT-20-175-85 dated 27/4/20,2020_PWD_36957_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,EE HPPWD Kasauli,EE HPPWD Kasauli,500.0,EE Kasauli,Kasauli,No,1.0,DD - Demand Draft,Restoration of rain damges on Goela Bazar adjoining road,Restoration of rain damges on Goela Bazar adjoining road SH P/F 80mm paaver block interlocking tiles pavement from at various Rds under MMGSY,Please refer Tender documents. ,NA ,"21,31,133",Civil Works,NA ,Tender,90.0,60.0,Kasauli,173204.0,NA ,NA ,NA ,Kasauli,No ,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form (as per Schedule F 6.3),"39,500",No,fixed,,EE Kasauli,Kasauli,AOC,Finance,Financial bid opening summary,Satish Kumar,23-May-2020 11:35 AM,finance_54528.pdf,BOQ Comparative Chart,1.0,158901.0,YashPal,INR,"2,663,037",1.0,158898.0,BALRAJ SINGH GOVT CONTRACTOR,19-May-2020 08:43 PM,Rejected-AOC,accepted,20-Aug-2020 05:33 PM,Technical,Bid Opening summary,Satish Kumar,22-May-2020 12:28 PM,technical_54528.pdf,PWD,2020_PWD_36957_1,No/PW/Ksli/NIT-20-175-85 dated 27/4/20,Restoration of rain damges on Goela Bazar adjoining road,Er Rajesh Kumar,Internal,Er Satish Kumar AE Subathu Sh Deepak walia Supdt Gr-II Sh Amar Nath Arora HDM,Satish Kumar,22-May-2020 12:37 PM,22-May-2020 12:40 PM,techsummary_54528.pdf (65.68 KB),Er Rajesh kumar,Internal,Er Satish kumar AE Subathu Sh Deepak Walia Supdt Gr-II Sh Amar Nath Arora HDM,Satish Kumar,23-May-2020 11:39 AM,finsummary_54528.pdf (55.93 KB),03-Jul-2020,"INR 2,131,133",90.0,Rajesh Kumar,20-Aug-2020 05:32 PM,AOC72.pdf (347.00 KB),AOC,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money Deposit (As per schedule F 6.5),,,,,,,AOC,,,,,,,,,,,,2.0,158871.0,Harsh Mehta,20-May-2020 01:46 PM,Rejected-Technical,Non responsive,22-May-2020 12:37 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor registration (Refer General rule No.23 and as per invitation of bid),,,,,,,AOC,,,,,,,,,,,,3.0,159039.0,LALIT VERMA,20-May-2020 01:31 PM,Rejected-AOC,accepted,20-Aug-2020 05:33 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate (As per Performa given in General rule No.19 ).,,,,,,,AOC,,,,,,,,,,,,4.0,159071.0,Ravi kant Verma,20-May-2020 03:33 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,22-May-2020 12:28 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Machinery tools and plants (As per schedule F with reference to clause 18,,,,,,,AOC,,,,,,,,,,,,5.0,159019.0,Vikram Thakur,20-May-2020 12:12 PM,Rejected-AOC,accepted,20-Aug-2020 05:33 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No. 8 duly signed (Refer General rule No 26.7).,,,,,,,AOC,,,,,,,,,,,,6.0,158901.0,YashPal,20-May-2020 10:41 AM,Accepted-AOC,accepted,20-Aug-2020 05:33 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The Contractor Shall give affidavit regarding List of both gazette and non gazette HPPWD Employees,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that information furnished with the bid is correct in all respect,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of GST,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Financial,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
