Name,Address,S.No,Corrigendum Title,Corrigendum Type,View,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No.1,Category,Sub Category,Sub Category Description,Format/File,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No.2,Instrument Type,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage
"Managing Director, AUWSSB","OFFICE OF THE MANAGING DIRECTOR, ASSAM URBAN WATER SUPPLY AND SEWERAGE BOARD, AMRITPUR PATH, GANESHGURI, GUWAHATI- 6",1.0,Corrigendum Regarding Technical Bid,Technical Bid,,1.0,Fee/PreQual/Technical,.pdf,Tender Fee and EMD,"Execution, Testing, Commissioning of all system component of Doom Dooma Town Water Supply scheme","Execution, Testing, Commissioning of all system component of Doom Dooma Town Water Supply scheme (with surface water source from River Doom Dooma) including 2 (two) month trial run after commissioning for providing 2.36 MLD (24x7) treated water",Please refer Tender documents. ,NA ,"8,50,15,000",Civil Works - Water Works,NA ,Tender,120.0,540.0,Doom Dooma Town,786151.0,NA ,NA ,NA ,"AMRITPUR PATH, GANESHGURI, GUWAHATI- 6",No ,No,10-Apr-2019 11:00 AM,15-May-2019 12:00 PM,10-Apr-2019 06:00 PM,14-May-2019 02:00 PM,NA ,NA ,07-May-2019 11:00 AM,14-May-2019 02:00 PM,14-Jun-2019 12:00 PM,1,General Certificate ,PAN ,Permanent Account Number ,,Urban Development Department||Assam Urban Water Supply and Sewerage Board-UDD,UWS (T)-1072/2000/Pt-III/396,2019_UDD_11595_2,Yes,Open Tender,Item Wise,Works,2.0,No,No,Offline,No,No,No,"17,00,300",Yes,percentage,2.0%,"Managing Director, AUWSSB","Guwahati, Assam",1.0,DD - Demand Draft,"9,000","Managing Director, AUWSSB","Guwahati, Assam",No,AOC,"Dr.Numal Momin,MLA,Chairman,AUWSSB.",External,"1.Shri Ranjit Hazarika, ACS, MD, AUWSSB 2.Shri Lohit Pathak SE,PHED 3.Shri Balwant Singh,EE,PWD(B) 4.Shri Dinesh Ch. Saharia, AFS 5. Shri Azizur Rahman.CE, AUWSSB",Gobinda choudhury,16-Jul-2019 05:15 PM,finsummary_20040.pdf (4704.42 KB),Finance,All the bidders are accepted for Financial Evaluation.,Gobinda choudhury,15-Jun-2019 02:18 PM,finance_20040.pdf,BOQ Comparative Chart,26-Jul-2019,INR 8.5015E+7,540.0,Gobinda choudhury,11-Aug-2020 02:46 PM,DoomDooma.pdf (6754.00 KB),"Execution, testing commissioning of all system component of Doom Dooma Town Water Supply scheme (with surface water source from River Doom Dooma) including 2 (two) month trial run after commissioning",1.0,59942.0,Metcon Water Systems Pvt. Ltd.,INR,78839391.0,"Sri. Ranjit Hazarika, ACS, Managing Director",Internal,"1.Sri Azizur Rahman.CE,2.Sri Deep Bora, EE, .3.Sri Indra Mohan Sharma, AEE(i/c) ,4.Sri Gobinda ChoudharyAE, 5. Pankaj Bora AE 6. Sri Aditya Yadav, AE, 7.Smti Lipika Das,JE, 8.Smti Deepali Deur,JE, 9.",Gobinda choudhury,11-Jun-2019 03:20 PM,14-Jun-2019 12:00 PM,techsummary_20040.pdf (5020.45 KB),Technical,All the bidders are accepted for technical evaluation.,Gobinda choudhury,21-May-2019 04:20 PM,,1.0,59942.0,Metcon Water Systems Pvt. Ltd.,14-May-2019 12:34 PM,Accepted-AOC,L1 bidder rate accepted,11-Aug-2020 02:46 PM,Urban Development Department||Assam Urban Water Supply and Sewerage Board-UDD,2019_UDD_11595_2,UWS (T)-1072/2000/Pt-III/396,"Execution, Testing, Commissioning of all system component of Doom Dooma Town Water Supply scheme",AOC
,,,,,,,,.pdf,"Tender Document, Experience, etc as per bid document",,,,,,,,,,,,,,,,,,,,,,,,,,,,2,General Certificate ,Goods and Service Tax ,Goods and Service Tax Registration Certificate ,,,,,,,,,,,,,,,,,,,,,,2.0,BC - Bankers Cheque,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,59939.0,P.G. Construction,13-May-2019 05:20 PM,Rejected-Finance,Financially Non Responsive,16-Jul-2019 05:15 PM,,,,,AOC
,,,,,,2.0,Finance,.xls,Financial Bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,General Certificate ,Trade License ,Latest Trade License Copy ,,,,,,,,,,,,,,,,,,,,,,3.0,SS - Small Savings Instrument,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,59979.0,PRABHAT DUTTA,14-May-2019 01:58 PM,Rejected-Technical,Technically Non-Responsive,11-Jun-2019 03:20 PM,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,General Certificate ,Company Details ,"Partnership Deed, Co-Operative Society By Law,MOA,Company Registration Certificates,JV Consortium,Year of Incorporation Certificates ",,,,,,,,,,,,,,,,,,,,,,4.0,BG - Bank Guarantee Irrevocable,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,59952.0,Pulin Borgohain and Keshab Dutta JV,14-May-2019 01:38 PM,Rejected-Finance,Financially Non Responsive,16-Jul-2019 05:15 PM,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,General Certificate ,Solvency Certificate ,Solvency Certificate ,,,,,,,,,,,,,,,,,,,,,,5.0,FDR - Fixed Deposit Receipt,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,General Certificate ,Other Certificates ,As Mentioned In The Tender Document ,,,,,,,,,,,,,,,,,,,,,,6.0,DCR - Deposit at call receipt,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,P/L and Balance Sheet ,Year 1 ,Y1 Profit and Loss Statement and Balance Sheet ,,,,,,,,,,,,,,,,,,,,,,7.0,IPO - Indian Postal Order,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,P/L and Balance Sheet ,Year 2 ,Y2 Profit and Loss Statement and Balance Sheet ,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,P/L and Balance Sheet ,Year 3 ,Y3 Profit and Loss Statement and Balance Sheet ,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,P/L and Balance Sheet ,Year 4 ,Y4 Profit and Loss Statement and Balance Sheet ,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
