Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Instrument Type,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No.1,Corrigendum Title,Corrigendum Type,View,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
"5,000",EE Paonta Sahib,Paonta Sahib,Yes,"2,00,000",Yes,fixed,,EE Paonta Sahib,Paonta Sahib,PWD,tender/2019-20-9175-9224 dated 25.02.2020,2020_PWD_35789_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,DD - Demand Draft,"Construction of link road from Gatta Pathar to Jhivar Basti Khera GP Patliyon km 0/0 to 1/765. (SH Construction of 5/7 mtrs wide road, providing and laying sub base, Base and 2 cm thick premix carpet surfacing in km 0/0 to 1/765) under NABARD RIDF","Construction of link road from Gatta Pathar to Jhivar Basti Khera GP Patliyon km 0/0 to 1/765. (SH Construction of 5/7 mtrs wide road, providing and laying sub base, Base and 2 cm thick premix carpet surfacing in km 0/0 to 1/765) under NABARD RIDF",Please refer tender document ,NA ,"1,66,14,394",Civil Works - Roads,NA ,Tender,90.0,540.0,Paonta Sahib,173025.0,NA ,NA ,NA ,Paonta Sahib,No ,No,1.0,Fee/PreQual/Technical,.pdf,Cost of tender- indicated in schedule f at sr.no.6.3,Executive Engineer,Executive Engineer HPPWD Division Paonta Sahib District Sirmour HP,06-Mar-2020 04:30 PM,01-Apr-2020 11:30 AM,06-Mar-2020 05:00 PM,31-Mar-2020 05:00 PM,NA ,NA ,06-Mar-2020 05:00 PM,31-Mar-2020 05:00 PM,13-May-2020 03:00 PM,1.0,Corrigendum,Date,,AOC,1.0,156570.0,Lal Singh Chauhan Contractor,31-Mar-2020 03:33 PM,Rejected-Technical,Not qualified,13-May-2020 01:16 PM,Technical,Summary,Dalip Singh Tomar,13-May-2020 01:12 PM,technical_52567.pdf,Finance,fin bid opening summary,Kishan Lal Chaudhary,31-Aug-2020 02:45 PM,finance_52567.pdf,BOQ Comparative Chart,1.0,156562.0,Rashid Ali Civil Contractor,INR,"24,517,562",PWD,2020_PWD_35789_1,tender/2019-20-9175-9224 dated 25.02.2020,"Construction of link road from Gatta Pathar to Jhivar Basti Khera GP Patliyon km 0/0 to 1/765. (SH Construction of 5/7 mtrs wide road, providing and laying sub base, Base and 2 cm thick premix carpet surfacing in km 0/0 to 1/765) under NABARD RIDF",Er. R. K. Dhiman,Internal,"Sh. Sanjeet Kumar Sinha Divisional Accountant., Sh. Sanjeev Goel Supdt. Gr.II, Smt. Usha Aggarwal HDM",Dalip Singh Tomar,13-May-2020 01:16 PM,13-May-2020 03:00 PM,techsummary_52567.pdf (1327.49 KB),Er. R.K. Dhiman,Internal,"Sh. Sanjeet Kumar Sinha Divisional Accountant., Sh. Sanjeev Goel Supdt. Gr.II, Smt. Usha Aggarwal HDM",Kishan Lal Chaudhary,31-Aug-2020 02:47 PM,finsummary_52567.pdf (491.96 KB),31-Aug-2020,"INR 16,614,394",540.0,Kishan Lal Chaudhary,31-Aug-2020 02:49 PM,aoc.pdf (1177.00 KB),AOC,AOC
,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest money-indicated in schedule f at sr. No.6.5,,,,,,,,,,,,,,,,AOC,2.0,156556.0,Manoj Chawla,30-Mar-2020 04:38 PM,Rejected-Technical,Not qualified,13-May-2020 01:16 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors registration- refer general rule sr. No 23,,,,,,,,,,,,,,,,AOC,3.0,156566.0,mohdjaseem,31-Mar-2020 12:02 PM,Rejected-Finance,L2,31-Aug-2020 02:48 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration(Refer General Rule No.21)and Permanent account number,,,,,,,,,,,,,,,,AOC,4.0,156568.0,M/S SARVJEET SINGH,31-Mar-2020 12:37 PM,Rejected-Technical,Not qualified,13-May-2020 01:16 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy of 40 percent work done certificate for similar nature of work,,,,,,,,,,,,,,,,AOC,5.0,156562.0,Rashid Ali Civil Contractor,31-Mar-2020 08:16 AM,Accepted-AOC,L1,31-Aug-2020 02:50 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of incomplete works in hand general rule sr. No 28.1,,,,,,,,,,,,,,,,AOC,6.0,156561.0,viney kumar sharma,31-Mar-2020 08:49 AM,Rejected-Technical,Not qualified,13-May-2020 01:16 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bidding Capacity/C.A. annual report.,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of machinery toolplants as perschedule FSr.No. 6.19Ref.Cl No.18 ownership/hire basis a/w proof.,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy of EPF,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form no 8 duly signed gen. Rule sr. No 26.7.,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of both gazatted and non gazatted officer hppwd employees related to him gen. Rule sr.no.16),,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Any other information bidders like to provide.,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
