S.No,Instrument Type,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage
1.0,DD - Demand Draft,1.0,Fee/PreQual/Technical,.pdf,Cost of tender document in shape of D.D. as per SBD.,"26,700",No,fixed,,EE Palampur,EE Palampur,Periodical Maintenance of GOPALPUR TO MAJHETLY ROAD under (PMGSY Road) (HP0402VR009119302) (AMP 2020-21) Phase-I,Providing and Laying 30 mm thick Bitumen Concrete with Paver finisher in Km 0/800 to 1/500),Please refer Tender documents. ,NA ,"13,32,770",Civil Works - Roads,NA ,Tender,120.0,60.0,Palampur,176061.0,NA ,NA ,NA ,Palampur,No ,No,Executive Engineer,HPPWD Division Palampur,500.0,EE Palampur,EE Palampur,No,PWD,16332-382 HPPWD Palampur,2020_PWD_34589_5,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,05-Feb-2020 03:40 PM,15-Feb-2020 11:30 AM,05-Feb-2020 03:45 PM,15-Feb-2020 11:00 AM,NA ,NA ,05-Feb-2020 03:50 PM,15-Feb-2020 11:00 AM,03-Mar-2020 02:00 PM,AOC,1.0,149305.0,M/s Kamala Enterprises,INR,"1,720,424",Finance,SUMMARY,Manish Sehgal,19-Aug-2020 10:37 AM,finance_50639.pdf,BOQ Comparative Chart,1.0,149305.0,M/s Kamala Enterprises,14-Feb-2020 11:46 AM,Accepted-AOC,L1,19-Aug-2020 10:42 AM,Technical,SUMMARY,Vijay Kumar Verma,03-Mar-2020 11:19 AM,technical_50639.pdf,Er. M.R.Rana,Internal,"Er Sanjay Sood, AE Gopalpur, Er Manoj Sood AE to EE, Sh. Rajesh Sood Sr DAO, Sh Sunil Dutt Supdt, Sh Manoj Kumar HDM",Vijay Kumar Verma,03-Mar-2020 11:53 AM,03-Mar-2020 02:00 PM,techsummary_50639.pdf (956.63 KB),PWD,2020_PWD_34589_5,16332-382 HPPWD Palampur,Periodical Maintenance of GOPALPUR TO MAJHETLY ROAD under (PMGSY Road) (HP0402VR009119302) (AMP 2020-21) Phase-I,19-Aug-2020,"INR 1,332,760",60.0,Manish Sehgal,19-Aug-2020 10:42 AM,File0001.PDF (1368.00 KB),AOC,Er. M.R. Rana,Internal,"Er Sanjay Sood, AE Gopalpur, Er Manoj Sood AE to EE, Sh. Rajesh Sood Sr DAO, Sh Sunil Dutt Supdt, Sh Manoj Kumar HDM",Manish Sehgal,19-Aug-2020 10:40 AM,finsummary_50639.pdf (599.96 KB),AOC
2.0,FDR - Fixed Deposit,,,.pdf,Earnest money/Bid Security in shape of F.D.R. as per SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,2.0,149454.0,Sanjeev,15-Feb-2020 06:45 AM,Rejected-Finance,L2,19-Aug-2020 10:41 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,.pdf,Contractor Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,.pdf,GST Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,.pdf,Work done certificate as per SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,.pdf,Affidavit that the information submitted with the bid are true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,.pdf,Affidavit regarding near relative working in the PWD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,.pdf,List of machinery and Equipment as per SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,.pdf,Form 7/8 duly signed by the Contractor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,.pdf,Employee Provident Fund( EPF) registration number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
