Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Instrument Type,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,S.No.1,Revocation Title,Revocation Description,Published Date,Document Name,Document Size(in KB),Revocated To,S.No.2,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage
PWD,No/PW/Ksli/NIT-19- 637-47 dated14/5/20,2020_PWD_37275_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,EE HPPWD Kasauli,EE HPPWD Kasauli,"65,500",No,fixed,,EE Kasauli,Kasauli,1.0,DD - Demand Draft,"1,500",EE Kasauli,Kasauli,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form (as per Schedule F 6.3),27-May-2020 10:00 AM,11-Jun-2020 11:00 AM,27-May-2020 11:00 AM,10-Jun-2020 04:00 PM,NA ,NA ,27-May-2020 11:00 AM,10-Jun-2020 04:00 PM,16-Jun-2020 09:00 AM,C/O 25.00 meter span steel truss foot bridge over chaha khad on foot path from Chaha to shilu kalana,C/O 25.00 meter span steel truss foot bridge over chaha khad on foot path from Chaha to shilu kalana G.P. Jangeshu in dist solan HP,Please refer Tender documents. ,NA ,"38,66,450",Civil Works,NA ,Tender,90.0,360.0,kasauli,173204.0,NA ,NA ,NA ,Kasauli,No ,No,AOC,1.0,161945.0,Sanjay Kumar,09-Jun-2020 07:13 PM,Accepted-AOC,accepted,24-Aug-2020 05:17 PM,Technical,bid summary,Satish Kumar,15-Jun-2020 08:14 PM,technical_54925.pdf,1.0,revoke corrigendum,corrigendum,15-Jun-2020 07:37 PM,Corrigendum.pdf ,145.21,Technical Opening,1.0,161945.0,Sanjay Kumar,INR,"5,411,662",Finance,finacial summary,Rajesh Kumar,17-Jun-2020 03:31 PM,finance_54925.pdf,BOQ Comparative Chart,Er Rajesh Garg Executive Engineer,Internal,sh Satish Kumar AE Subathu Sh A N Arora HDM Sh Deepak walia Supdt G-II,Satish Kumar,15-Jun-2020 08:19 PM,16-Jun-2020 09:00 AM,techsummary_54925.pdf (453.17 KB),PWD,2020_PWD_37275_1,No/PW/Ksli/NIT-19- 637-47 dated14/5/20,C/O 25.00 meter span steel truss foot bridge over chaha khad on foot path from Chaha to shilu kalana,19-Aug-2020,"INR 3,866,450",360.0,Rajesh Kumar,24-Aug-2020 05:16 PM,AOC152.pdf (414.00 KB),AOC,Er Rajesh Garg Executive Engineer,Internal,Sh Satish Kumar AE Subathu Sh A N Arora HDM Sh Deepak Walia Supdt Gr-II,Rajesh Kumar,17-Jun-2020 03:40 PM,finsummary_54925.pdf (206.47 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,.pdf,Earnest Money Deposit (As per schedule F 6.5),,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,162061.0,Vikram Thakur,10-Jun-2020 01:22 PM,Rejected-AOC,accepted,24-Aug-2020 05:17 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor registration (Refer General rule No.23 and as per invitation of bid),,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3.0,161821.0,VINAYAK SOOD,10-Jun-2020 10:36 AM,Rejected-AOC,accepted,24-Aug-2020 05:17 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate (As per Performa given in General rule No.19 ).,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,4.0,162065.0,Vinay Thakur,10-Jun-2020 01:40 PM,Rejected-AOC,accepted,24-Aug-2020 05:17 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Machinery tools and plants (As per schedule F with reference to clause 18,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,5.0,162011.0,YOG RAJ SHARMA,10-Jun-2020 08:06 AM,Rejected-Technical,Non-responsive,15-Jun-2020 08:19 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No. 8 duly signed (Refer General rule No 26.7).,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The Contractor Shall give affidavit regarding List of both gazette and non gazette HPPWD Employees,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that information furnished with the bid is correct in all respect.,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of GST,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Finaical,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
