Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,S.No,Instrument Type,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
13-Aug-2020,"INR 978,696",90.0,Suresh Kumar Walia,20-Aug-2020 10:57 AM,Award.pdf (237.00 KB),Award,Dr Suresh Kumar walia,Internal,Er JN SHarma AE Ajit Kumar Supdt Gr II Suraj Parkash DAO Ashok Kumar TA,Suresh Kumar Walia,25-Jul-2020 10:57 AM,finsummary_56571.pdf (195.89 KB),Dr Suresh Kumar walia,Internal,Er Ankit Ajit Kumar Supdt Gr II Suraj Parkash DAO Ashok Kumar TA,Suresh Kumar Walia,21-Jul-2020 01:04 PM,24-Jul-2020 11:00 AM,techsummary_56571.pdf (735.54 KB),PWD,2020_PWD_38290_5,PWD Civil Work -1408-1437-Tanda,Construction of link road to village Kchrehar road Km 0/000 to 1/200 in Distt Kangra (HP) Telecom Deposit (SH-Providing and laying interlocking pavers block in Km 0/000 to 0/600).,Technical,Sum,Suresh Kumar Walia,21-Jul-2020 12:59 PM,technical_56571.pdf,1.0,166546.0,AKSHAY KAPOOR,09-Jul-2020 05:35 AM,Rejected-Technical,Not Fulfill criteria,21-Jul-2020 01:05 PM,1.0,166529.0,Kapil Sharma,INR,"978,696",Finance,Sum,Suresh Kumar Walia,25-Jul-2020 10:54 AM,finance_56571.pdf,BOQ Comparative Chart,AOC,1.0,DD - Demand Draft,Executive Engineer,EE HP PWD Division Tanda at Nagrota Bagwan,Construction of link road to village Kchrehar road Km 0/000 to 1/200 in Distt Kangra (HP) Telecom Deposit (SH-Providing and laying interlocking pavers block in Km 0/000 to 0/600).,Construction of link road to village Kchrehar road Km 0/000 to 1/200 in Distt Kangra (HP) Telecom Deposit (SH-Providing and laying interlocking pavers block in Km 0/000 to 0/600).,Please refer Tender documents. ,NA ,"8,25,585",Civil Works - Roads,NA ,Tender,120.0,90.0,Tanda,176002.0,NA ,NA ,NA ,EE HP PWD Division Tanda at Nagrota Bagwan,No ,No,22-Jun-2020 06:00 PM,10-Jul-2020 11:30 AM,22-Jun-2020 06:00 PM,09-Jul-2020 05:00 PM,NA ,NA ,22-Jun-2020 06:00 PM,09-Jul-2020 05:00 PM,24-Jul-2020 11:00 AM,1.0,Fee/PreQual/Technical,.pdf,Cost of tender form in Shape of DD as per SBD,PWD,PWD Civil Work -1408-1437-Tanda,2020_PWD_38290_5,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,"16,550",No,fixed,,Executive Engineer HP PWD Tanda,Tanda at Nagrota Bagwan,350.0,Executive Engineer HP PWD Tanda,Kangra,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,166463.0,ASHISH KUMAR GOVT CONTRACTOR,08-Jul-2020 02:42 PM,Rejected-Technical,Not Fulfill criteria,21-Jul-2020 01:05 PM,,,,,,,,,,,,AOC,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money in shape of FDR as per SBD,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,166512.0,Bhag Singh,08-Jul-2020 04:35 PM,Rejected-AOC,Lowest 4,20-Aug-2020 10:58 AM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of Registration,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,166529.0,Kapil Sharma,08-Jul-2020 05:12 PM,Accepted-AOC,Lowest 1,20-Aug-2020 10:58 AM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,166564.0,PARDEEP KUMAR,09-Jul-2020 01:20 PM,Rejected-AOC,Lowest 5,20-Aug-2020 10:58 AM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,PAN No,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,166461.0,parveen kumar,08-Jul-2020 01:27 PM,Rejected-AOC,Lowest3,20-Aug-2020 10:58 AM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8 duly signed on Judicial Paper,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,166393.0,Rahul,09-Jul-2020 07:57 AM,Rejected-Technical,Not Fulfill criteria,21-Jul-2020 01:05 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that the information submitted with bid namely ( ) are true and correct,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,166650.0,Tilak,09-Jul-2020 01:37 PM,Rejected-AOC,Lowest 2,20-Aug-2020 10:58 AM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Under taking that no arbitration/litigation with PWD is pending in any court of Law,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding near relative working in the PWD and no relation gazetted,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate as per SBD,,,,,,,,,,,,,,,,,,,,,,,,,AOC
