Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Instrument Type,S.No.1,Corrigendum Title,Corrigendum Type,View,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Name,Address,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
10-Feb-2020 10:00 AM,29-Feb-2020 11:00 AM,10-Feb-2020 11:00 AM,29-Feb-2020 10:00 AM,NA ,NA ,10-Feb-2020 11:00 AM,29-Feb-2020 10:00 AM,03-Mar-2020 11:40 AM,500.0,EE Kasauli,Kasauli,No,1.0,DD - Demand Draft,1.0,Change of Closing and opening date,Date,,PWD,No/PW/ksli/NIT20 18313-22dt6/2/20,2020_PWD_34686_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,AMP plan for the year 2020-21 for Garkhal Subathu road VR127 MRL,"AMP plan for the year 2020-21 for Garkhal Subathu road VR127 MRL SH P/L renewal coat by providing 30 mm thick Bitumenious Concrete , thermoplastic edge line in km 2/00 to 3/0 and 6/0 to 7/0 under PMGSY",Please refer Tender documents. ,NA ,"20,82,086",Civil Works,NA ,Tender,75.0,90.0,Kasauli,173204.0,NA ,NA ,NA ,Kasauli,No ,No,"38,800",No,fixed,,EE Kasauli,Kasauli,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form (as per Schedule F 6.3),EE HPPWD kasauli,EE HPPWDkasauli,AOC,PWD,2020_PWD_34686_1,No/PW/ksli/NIT20 18313-22dt6/2/20,AMP plan for the year 2020-21 for Garkhal Subathu road VR127 MRL,Er Rajesh Kumar,Internal,Er Satish Kumar AE Subathu Sh Amar Nath Arora HDM Sh Deepak Walia Supdt Gr-II,Satish Kumar,03-Mar-2020 11:35 AM,03-Mar-2020 11:40 AM,techsummary_50818.pdf (62.84 KB),Er Rajesh Kumar,Internal,Er Satish Kumar AE Subathu Sh Amar Nath Arora HDM Sh Deepak Walia Supdt GR-II,Satish Kumar,03-Mar-2020 12:56 PM,finsummary_50818.pdf (56.31 KB),30-Apr-2020,"INR 2,082,086",90.0,Rajesh Kumar,20-Aug-2020 03:27 PM,AOC8.pdf (404.00 KB),AOC,1.0,150361.0,Asphalt Carpet Construction Company,21-Feb-2020 12:37 PM,Rejected-AOC,accepted,20-Aug-2020 03:27 PM,Technical,Bid Opening Summary,Satish Kumar,02-Mar-2020 05:57 PM,technical_50818.pdf,Finance,Financial Bid Opening Summary,Satish Kumar,03-Mar-2020 12:54 PM,finance_50818.pdf,BOQ Comparative Chart,1.0,151650.0,DCC BUILDCON PVT. LTD.,INR,"2,307,074",AOC
,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money Deposit (As per schedule F 6.5),,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2.0,151650.0,DCC BUILDCON PVT. LTD.,28-Feb-2020 12:22 PM,Accepted-AOC,accepted,20-Aug-2020 03:27 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor registration (Refer General rule No.23 and as per invitation of bid),,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,3.0,150390.0,Ravinder Kumar Gupta,21-Feb-2020 02:10 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,02-Mar-2020 05:57 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate (As per Performa given in General rule No.19 ).,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Machinery tools and plants (As per schedule F with reference to clause 18,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No. 8 duly signed (Refer General rule No 26.7).,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The Contractor Shall give affidavit regarding List of both gazette and non gazette HPPWD Employees,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that information furnished with the bid is correct in all respect.,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of GST,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Financial,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
