Type :,Summary :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,S.No,Instrument Type,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No.1,Corrigendum Title,Corrigendum Type,View,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
Technical,Bid opening Summary,Jeet Singh Thakur,19-May-2020 06:41 PM,technical_53293.pdf,1.0,157735.0,Des Raj and Co.,06-May-2020 03:06 PM,Rejected-AOC,l7,10-Aug-2020 01:10 PM,1.0,157678.0,Kailash Chand Thakur,INR,"12,613,136",Finance,Bid opening Summary,Jeet Singh Thakur,09-Jun-2020 03:06 PM,finance_53293.pdf,BOQ Comparative Chart,10-Aug-2020,"INR 10,445,539",365.0,Jeet Singh Thakur,10-Aug-2020 01:09 PM,1.AOC.5192782020simili.pdf (634.00 KB),"Construction of Link road Simli to Fatehpur Km. 0/0 to 6/580 Formation Cutting, Breast walls , Cross Drainage including 1 No. 6.00 Mtr. Span slab culvert in Km. 0/0 to 2/500",EE,Internal,Assistant Engineer Superintendent and senior assistant,Jeet Singh Thakur,27-Jul-2020 04:36 PM,finsummary_53293.pdf (210.04 KB),EE,Internal,Assistant Engineer Superintendent and Senior Assistant,Jeet Singh Thakur,19-May-2020 06:49 PM,23-May-2020 11:30 AM,techsummary_53293.pdf (1030.58 KB),PWD,2020_PWD_36172_1,No. PWC-WA-II/Contract/17149-248 dated 3.3.2020,"Construction of Link road Simli to Fatehpur Km. 0/0 to 6/580 Formation Cutting, Breast walls , Cross Drainage including 1 No. 6.00 Mtr. Span slab culvert in Km. 0/0 to 2/500",AOC,1.0,DD - Demand Draft,12-Mar-2020 01:00 PM,08-May-2020 11:30 AM,12-Mar-2020 01:00 PM,06-May-2020 05:00 PM,NA ,NA ,12-Mar-2020 01:00 PM,06-May-2020 05:00 PM,23-May-2020 11:30 AM,"Executive Engineer, Chamba Division HPPWD Chamba","Executive Engineer, Chamba Division HPPWD Chamba","1,37,000",No,fixed,,"Executive Engineer, Chamba Division HPPWD Chamba",Chamba,1.0,Corrigendum,Date,,"Construction of Link road Simli to Fatehpur Km. 0/0 to 6/580 Formation Cutting, Breast walls , Cross Drainage including 1 No. 6.00 Mtr. Span slab culvert in Km. 0/0 to 2/500","Construction of Link road Simli to Fatehpur Km. 0/0 to 6/580 Formation Cutting, Breast walls , Cross Drainage including 1 No. 6.00 Mtr. Span slab culvert in Km. 0/0 to 2/500",Please refer Tender documents. ,NA ,"1,04,45,539",Civil Works - Roads,NA ,Tender,90.0,365.0,Chamba,176310.0,NA ,NA ,NA ,"Executive Engineer, Chamba Division HPPWD Chamba",No ,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form (as per Schedule F),"5,000","Executive Engineer, Chamba Division HPPWD Chamba",Chamba,No,PWD,No. PWC-WA-II/Contract/17149-248 dated 3.3.2020,2020_PWD_36172_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,AOC
,,,,,2.0,157736.0,Dildar Ali,06-May-2020 03:22 PM,Rejected-AOC,l6,10-Aug-2020 01:10 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money Deposit (As per schedule F),,,,,,,,,,,,,,,,,,,AOC
,,,,,3.0,157678.0,Kailash Chand Thakur,06-May-2020 03:25 PM,Accepted-AOC,l1,10-Aug-2020 01:10 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor registration (Refer General rule No.23),,,,,,,,,,,,,,,,,,,AOC
,,,,,4.0,156440.0,Manesh Mehta,24-Mar-2020 07:31 PM,Rejected-AOC,l4,10-Aug-2020 01:10 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration (Refer General rule No.21),,,,,,,,,,,,,,,,,,,AOC
,,,,,5.0,156434.0,NAVID ALI SHAH,02-Apr-2020 11:41 AM,Rejected-AOC,l2,10-Aug-2020 01:10 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in hand certificate (As per Performa given in General rule No.19,,,,,,,,,,,,,,,,,,,AOC
,,,,,6.0,155900.0,RAJ SINGH GOVT CONTRACTOR,19-Mar-2020 06:06 PM,Rejected-AOC,l5,10-Aug-2020 01:10 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Machinery tools and plants,,,,,,,,,,,,,,,,,,,AOC
,,,,,7.0,157729.0,R P Dhiman,06-May-2020 03:15 PM,Rejected-AOC,l3,10-Aug-2020 01:10 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No. 8 duly signed by the contractor,,,,,,,,,,,,,,,,,,,AOC
,,,,,8.0,156424.0,Sharma Constructions,24-Mar-2020 01:18 PM,Rejected-Technical,Non-Responsive,19-May-2020 06:49 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The Contractor Shall give affidavit regarding List of both gazette and non gazette HPPWD Employees,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that information furnished with the bid is correct in all respect.,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work experience as per clause 28.2 b of general and direction and as per schedule F..,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of PAN No.,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Annual Turnover in last five years from CA,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bid Capacity,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding no litigation with the department,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of Technical staff,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,AOC
