Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,S.No,Instrument Type,EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No.1,Category,Sub Category,Sub Category Description,Format/File,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage
Construction of Road and Bridge,Balance work for Upgradation Improvement of Jowai Natrang Khanduli Baithalangso Road under NEC 11th Five Year Plan Programme Ch. 38th to 50.00Km including construction of RCC Br. No 47/3 and 47/4,Please refer Tender documents. ,NA ,"5,21,91,000",Civil Works,NA ,Tender,180.0,540.0,Karbianglong,781003.0,NA ,NA ,NA ,Office of the Chief Engineer PWD BR and NEC,No ,No,Chief Engineer PWD BR and NEC,Chandmari Guwahati3,1.0,DD - Demand Draft,"10,44,056",Yes,fixed,,Chief Engineer PWD Border Roads and NEC Works,Chandmari Guwahati3,1,Balance Sheet ,Year 1 ,Year 1 Balance Sheet ,,"10,000",Empowerd Officer ASRB,Chandmari Guwahati3,No,Public Works Roads Department||CE (Border Roads and NEC Works) - PWD||NEC Roads and Bridge Cell - PWD,CE/NEC/BR/5/2011/Pt-III/32,2017_PWD_1935_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Press Notice,17-Mar-2017 10:30 AM,27-Mar-2017 11:00 AM,17-Mar-2017 10:30 AM,24-Mar-2017 04:30 PM,17-Mar-2017 10:30 AM ,24-Mar-2017 10:30 AM ,17-Mar-2017 10:30 AM,24-Mar-2017 04:30 PM,25-Apr-2017 04:35 PM,AOC,Finance,Admitted,RANJEET DUTTA,04-Aug-2020 08:05 PM,finance_3153.pdf,BOQ Comparative Chart,Technical,Verified,ANIRUDDHA NAG,25-Apr-2017 04:21 PM,technical_3153.pdf,Dibyajyoti Saharia,Internal,,ANIRUDDHA NAG,25-Apr-2017 04:33 PM,25-Apr-2017 04:35 PM,techsummary_3153.pdf (2204.14 KB),31-Aug-2020,INR 52190432,540.0,RANJEET DUTTA,31-Aug-2020 08:25 PM,3A_Purbanchal.pdf (84.00 KB),Admitted,1.0,11119.0,M/s Agam Construction,23-Mar-2017 09:15 PM,Rejected-Finance,REJECTED,31-Aug-2020 08:24 PM,Chief Engineer PWD,Internal,Chief Engineer PWD,RANJEET DUTTA,31-Aug-2020 08:24 PM,finsummary_3153.pdf (84.35 KB),1.0,10931.0,M/s Purbanchal Suppliers & Contractors,INR,64174062.0,Public Works Roads Department||CE (Border Roads and NEC Works) - PWD||NEC Roads and Bridge Cell - PWD,2017_PWD_1935_1,CE/NEC/BR/5/2011/Pt-III/32,Construction of Road and Bridge,AOC
,,,,,,,,,,,,,,,,,,,,2.0,BC - Bankers Cheque,,,,,,,2,Balance Sheet ,Year 2 ,Year 2 Balance Sheet ,,,,,,,,,,,,,,,,,,,,,,.pdf,SBD,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,10931.0,M/s Purbanchal Suppliers & Contractors,23-Mar-2017 04:10 PM,Accepted-AOC,Admitted,31-Aug-2020 08:25 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,3.0,SS - Small Savings Instrument,,,,,,,3,Balance Sheet ,Year 3 ,Year 3 Balance Sheet ,,,,,,,,,,,,,,,,,,,,2.0,Finance,.pdf,FOB,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,4.0,BG - Bank Guarantee Irrevocable,,,,,,,4,Balance Sheet ,Year 4 ,Year 4 Balance Sheet ,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,5.0,FDR - Fixed Deposit Receipt,,,,,,,5,Balance Sheet ,Year 5 ,Year 5 Balance Sheet ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,6.0,DCR - Deposit at call receipt,,,,,,,6,Dept Certificate ,PWD ,Registration certificate with PWD ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,General Certificate ,IT ,Income Tax certificate ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,General Certificate ,VAT ,VAT certificate ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,General Certificate ,Solvency ,Solvency Certificate ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,General Certificate ,Workdone ,Work Done certificate ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
