Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,Tender Stage,EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,S.No,Instrument Type,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
CE PWD (Bldg),Internal,,Chandana Basumatary,11-Nov-2019 04:26 PM,11-Nov-2019 04:30 PM,techsummary_21806.pdf (231.09 KB),CE PWD (Bldg),Internal,,Mridul Talukdar,10-Aug-2020 01:05 PM,finsummary_21806.pdf (1754.38 KB),Technical,Summary,Mridul Talukdar,14-Oct-2019 01:10 PM,technical_21806.pdf,1.0,65680.0,MANASH KAGTI AND ASSOCIATES,INR,6839717.0,Finance,Work Order,Mridul Talukdar,10-Aug-2020 11:47 AM,finance_21806.pdf,BOQ Comparative Chart,1,65395,Archtech Consultants Pvt. Ltd.,09-Oct-2019 05:36 PM,Rejected-Technical,Non-Responsive,11-Nov-2019 04:26 PM,Public Works Building and NH Department||Chief Engineer-Building - PWBNH,2019_PWBNH_14177_1,EOI_Sualkuchi_Engineering College,"Consultancy services for the work Construction of New Engineering College at Sualkuchi, Assam during the year 2019-20 under SOPD-ODS.",10-Aug-2020,INR 6839717.0,60.0,Mridul Talukdar,10-Aug-2020 01:07 PM,WO_Sualkuchi.pdf (1754.00 KB),AOC,"2,65,400",Yes,fixed,,"EE, PWD, Guwahati Building Division-II, Guwahati-6",Guwahati,1.0,Fee/PreQual/Technical,.pdf,DOCUMENT COST,Public Works Building and NH Department||Chief Engineer-Building - PWBNH,EOI_Sualkuchi_Engineering College,2019_PWBNH_14177_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,"Consultancy services for the work Construction of New Engineering College at Sualkuchi, Assam during the year 2019-20 under SOPD-ODS.","Consultancy services for the work Construction of New Engineering College at Sualkuchi, Assam during the year 2019-20 under SOPD-ODS.",Please refer Tender documents. ,NA ,"1,32,65,525",Architecture/Interior Design,NA ,Tender,180.0,60.0,Sualkuchi,781103.0,"O/O The CE, PWD (Bldg), Assam, Chandmari, Ghy-3 ","O/O The CE, PWD (Bldg), Assam, Chandmari, Ghy-3 ",03-Oct-2019 11:30 AM ,"O/O The CE, PWD (Bldg), Assam, Chandmari, Ghy-3",No ,No,"6,700",Assam State Road Board Maintenance (Road) Fund,Guwahati,No,"CE, PWD (Bldg), Assam, Chandmari, Ghy-3","O/O The CE, PWD (Bldg), Assam, Chandmari, Ghy-3",1.0,DD - Demand Draft,17-Sep-2019 10:00 AM,11-Oct-2019 04:00 PM,18-Sep-2019 03:00 PM,10-Oct-2019 02:00 PM,NA ,NA ,18-Sep-2019 03:00 PM,10-Oct-2019 02:00 PM,11-Nov-2019 04:30 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,65649,INGRAIN,10-Oct-2019 04:59 AM,Rejected-Technical,Non-Responsive,11-Nov-2019 04:26 PM,,,,,,,,,,,AOC,,,,,,,,,.pdf,BID SECURITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,BC - Bankers Cheque,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,65674,INTEGRA VENTURES,10-Oct-2019 12:32 PM,Rejected-AOC,L2,10-Aug-2020 01:07 PM,,,,,,,,,,,AOC,,,,,,,,,.pdf,BIDDING DOCUMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,BG - Bank Guarantee Irrevocable,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,65680,MANASH KAGTI AND ASSOCIATES,10-Oct-2019 01:10 PM,Accepted-AOC,Work Order Issued,10-Aug-2020 01:07 PM,,,,,,,,,,,AOC,,,,,,,,,.pdf,TECHNICAL QUALIFICATIONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,FDR - Fixed Deposit Receipt,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,65654,MJ CONSULTANCY,10-Oct-2019 10:27 AM,Rejected-Technical,Non-Responsive,11-Nov-2019 04:26 PM,,,,,,,,,,,AOC,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,65599,Muralage,07-Oct-2019 06:01 PM,Rejected-AOC,L1,10-Aug-2020 01:07 PM,,,,,,,,,,,AOC,,,,,,,,,.pdf,Financial Proposal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,65667,Radiant,10-Oct-2019 12:08 PM,Rejected-AOC,L4,10-Aug-2020 01:07 PM,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,65584,Renaissance Arch Consultant Pvt Ltd,10-Oct-2019 01:01 PM,Rejected-Technical,Non-Responsive,11-Nov-2019 04:26 PM,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,65474,Space Ace,09-Oct-2019 05:19 PM,Rejected-AOC,L5,10-Aug-2020 01:07 PM,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,65638,VYOM,09-Oct-2019 08:04 PM,Rejected-Technical,Non-Responsive,11-Nov-2019 04:26 PM,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
