S.No,Corrigendum Title,Corrigendum Type,View,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No.1,Instrument Type,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage
1.0,Change of closing date and opening,Date,,"1,02,300",No,fixed,,EE HPPWDKasauli,Kasauli,1.0,DD - Demand Draft,10-Feb-2020 10:00 AM,29-Feb-2020 11:00 AM,10-Feb-2020 11:00 AM,29-Feb-2020 10:00 AM,NA ,NA ,10-Feb-2020 11:00 AM,29-Feb-2020 10:00 AM,03-Mar-2020 11:10 AM,PWD,No/PW/Ksli/19-18313-22d6/2/20,2020_PWD_34706_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,"2,000",EEHPPWDKasauli,Kasauli,No,EE HPPWDKasauli,EE HPPWDKasauli,Annual Maintenance Plan for the year 2020-21 for Sukhi Johari Kanda Katal Ka Bag road VR068,Annual Maintenance Plan for the year 2020-21 for Sukhi Johari Kanda Katal Ka Bag road (VR068)Km 0/00 to 15/00 link road to GSSS Dharampur HP1104VR016848101 in Km 0/00 to 0/850 SH Providing and laying renewal coat by providing 30mm thick,Please refer Tender documents. ,NA ,"69,74,039",Civil Works,NA ,Tender,75.0,90.0,Kasauli,173204.0,NA ,NA ,NA ,Kasauli,No ,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form (as per Schedule F 6.3),AOC,Er Rajesh Kumar,Internal,Er Satish Kumar AE Subathu Sh Amar Nath Arora HDM Sh Deepak Walia Supdt Gr-II,Satish Kumar,03-Mar-2020 11:08 AM,03-Mar-2020 11:10 AM,techsummary_50854.pdf (62.59 KB),PWD,2020_PWD_34706_1,No/PW/Ksli/19-18313-22d6/2/20,Annual Maintenance Plan for the year 2020-21 for Sukhi Johari Kanda Katal Ka Bag road VR068,19-Aug-2020,"INR 6,974,039",90.0,Rajesh Kumar,20-Aug-2020 02:43 PM,AOC150.pdf (363.00 KB),AOC,Er Rajesh Kumar,Internal,Er Satish Kumar AE Subathu Sh Amar Nath Arora HDM Sh Deepak Walia Supdt Gr-II,Satish Kumar,03-Mar-2020 01:31 PM,finsummary_50854.pdf (56.39 KB),1.0,151651.0,DCC BUILDCON PVT. LTD.,INR,"7,449,449",Finance,Financial Bid Opening Summaryy,Satish Kumar,03-Mar-2020 01:29 PM,finance_50854.pdf,BOQ Comparative Chart,1.0,150370.0,Asphalt Carpet Construction Company,21-Feb-2020 12:51 PM,Rejected-AOC,accepted,20-Aug-2020 02:43 PM,Technical,Bid Opening Summary,Satish Kumar,03-Mar-2020 10:25 AM,technical_50854.pdf,AOC
,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money Deposit (As per schedule F 6.5),AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,151651.0,DCC BUILDCON PVT. LTD.,28-Feb-2020 12:26 PM,Accepted-AOC,accepted,20-Aug-2020 02:43 PM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor registration (Refer General rule No.23 and as per invitation of bid),AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,150395.0,Ravinder Kumar Gupta,21-Feb-2020 02:23 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,03-Mar-2020 10:25 AM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate (As per Performa given in General rule No.19 ).,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Machinery tools and plants (As per schedule F with reference to clause 18,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No. 8 duly signed (Refer General rule No 26.7).,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The Contractor Shall give affidavit regarding List of both gazette and non gazette HPPWD Employees,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that information furnished with the bid is correct in all respect.,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of GST,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Finanial,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
