Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Instrument Type,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage
1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form (indicated in Schedule F),"59,500",Yes,fixed,,EE Rampur,Rampur,"1,500",EE Rampur,Rampur,Yes,1.0,DD - Demand Draft,Periodical Renewal on Rohru Sungri Bhali Taklech Nogli road Km. 27.000 to 80.000 for the year 2020.21,"SH P.L G.III and 30mm thick bituminous concrete surfacing, edge stip in Km. 36.000 to 38.000 and 41.000 to 43.000",Please refer Tender documents. ,NA ,"34,63,402",Civil Works - Water Works,NA ,Tender,90.0,NA ,Rampur,172001.0,NA ,NA ,NA ,EE Rampur,No ,No,EE Rampur,EE Rampur B and R Division HPPWD Rampur,PWD,RMP/TA-2020-301-03 dated 30.04.2020,2020_PWD_37128_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,14-May-2020 11:00 AM,26-May-2020 11:00 AM,14-May-2020 11:00 AM,26-May-2020 09:00 AM,14-May-2020 11:00 AM ,26-May-2020 09:00 AM ,14-May-2020 11:00 AM,26-May-2020 09:00 AM,27-May-2020 03:00 PM,AOC,1.0,159396.0,Laiq Ram Chauhan,26-May-2020 08:26 AM,Rejected-AOC,second lowest,18-Aug-2020 01:24 PM,Technical,proceeding,Sandeep Sobti,27-May-2020 02:10 PM,technical_54757.pdf,Finance,Proceeding,Sandeep Sobti,18-Aug-2020 01:18 PM,finance_54757.pdf,BOQ Comparative Chart,1.0,159394.0,Suresh Kumar,INR,"5,374,739",Er. S.K. Sobti,Internal,"DAO, Supt.",Sandeep Sobti,27-May-2020 02:27 PM,27-May-2020 03:00 PM,techsummary_54757.pdf (293.49 KB),PWD,2020_PWD_37128_1,RMP/TA-2020-301-03 dated 30.04.2020,Periodical Renewal on Rohru Sungri Bhali Taklech Nogli road Km. 27.000 to 80.000 for the year 2020.21,18-Aug-2020,"INR 3,463,402",60.0,Sandeep Sobti,18-Aug-2020 01:23 PM,suresh43.00.pdf (641.00 KB),Award letter,Er. S.K. Sobiti,Internal,DAO Supdt,Sandeep Sobti,18-Aug-2020 01:21 PM,finsummary_54757.pdf (293.49 KB),AOC
,,.pdf,Earnest Money Deposit (indicated in Schedule F),,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,159394.0,Suresh Kumar,26-May-2020 07:42 AM,Accepted-AOC,first lowest,18-Aug-2020 01:24 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Contractors Registration (Refer General Rule No 23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,GST registration (Refer General Rule No 21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Permanent Account Number (PAN),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Work Done Certificate of similar nature and detail of ongoing works (Refer General Rule No 19),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,"List of Machinery, Tool, Plant (Refer Schedule F with reference to Clause 18)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Registration under Employees Provident Funds and Miscellaneous Provision act 1952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
