Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Instrument Type,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage
Executive Engineer,HPPWD Division Palampur,06-Feb-2020 01:20 PM,15-Feb-2020 11:30 AM,06-Feb-2020 01:25 PM,15-Feb-2020 11:00 AM,NA ,NA ,06-Feb-2020 01:30 PM,15-Feb-2020 11:00 AM,03-Mar-2020 02:00 PM,PWD,16332-382 HPPWD Palampur,2020_PWD_34589_15,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,"12,500",No,fixed,,EE Palampur,EE Palampur,350.0,EE Palampur,EE Palampur,No,1.0,Fee/PreQual/Technical,.pdf,Cost of tender document in shape of D.D. as per SBD.,Periodical Maintenance of PAROUR KHAS TO DHAROT ROAD under (Rural Road) (HP0402VR014419303) (AMP 2020-21) Phase-I,Providing and Laying 30 mm thick Bitumen Concrete with Paver finisher in Km 2/000 to 2/750),Please refer Tender documents. ,NA ,"6,21,348",Civil Works - Roads,NA ,Tender,120.0,60.0,Palampur,176061.0,NA ,NA ,NA ,Palampur,No ,No,1.0,DD - Demand Draft,AOC,Finance,SUMMARY,Manish Sehgal,19-Aug-2020 02:43 PM,finance_50724.pdf,BOQ Comparative Chart,Er. M.R.Rana,Internal,"Er Sanjay Sood, AE Gopalpur, Er Manoj Sood AE to EE, Sh. Rajesh Sood Sr DAO, Sh Sunil Dutt Supdt, Sh Manoj Kumar HDM",Vijay Kumar Verma,03-Mar-2020 11:44 AM,03-Mar-2020 02:00 PM,techsummary_50724.pdf (965.27 KB),Technical,SUMMARY,Vijay Kumar Verma,03-Mar-2020 11:31 AM,technical_50724.pdf,1.0,149339.0,M/s Kamala Enterprises,14-Feb-2020 11:27 AM,Accepted-AOC,l1,19-Aug-2020 02:49 PM,PWD,2020_PWD_34589_15,16332-382 HPPWD Palampur,Periodical Maintenance of PAROUR KHAS TO DHAROT ROAD under (Rural Road) (HP0402VR014419303) (AMP 2020-21) Phase-I,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest money/Bid Security in shape of F.D.R. as per SBD,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,AOC,,,,,,,,,,,,,,,,,,,2.0,149577.0,Sanjeev,15-Feb-2020 07:08 AM,Rejected-Finance,L2,19-Aug-2020 02:46 PM,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate as per SBD,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that the information submitted with the bid are true,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding near relative working in the PWD,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of machinery and Equipment as per SBD,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form 7/8 duly signed by the Contractor,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Employee Provident Fund( EPF) registration number,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
