S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Category,Sub Category,Sub Category Description,Format/File,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.1,Instrument Type,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
1.0,124845.0,Krishana Traders,INR,"831,589",Finance,Financial bid summary,Dalip singh Patial,25-Jul-2019 04:30 PM,finance_43379.pdf,BOQ Comparative Chart,Technical,technical bid summary,Dalip singh Patial,24-Jul-2019 11:05 AM,technical_43379.pdf,1.0,124845.0,Krishana Traders,17-Jul-2019 04:20 PM,Accepted-AOC,work awarded being L1,18-Aug-2020 12:01 PM,15-Jul-2020,"INR 831,589",365.0,Dalip singh Patial,18-Aug-2020 12:01 PM,AOC.pdf (534.00 KB),work awarded to Krishna Traders being L1 contractor,Er Dalip Singh Patial EE,Internal,Sh Jai Ram HDM Smt Karuna Sharma Supdt Sh Yadvinder Kumar Sr Asstt,Dalip singh Patial,25-Jul-2019 04:38 PM,finsummary_43379.pdf (316.37 KB),Er Dalip singh Patial EE,Internal,Sh. Jai Ram HDM Smt. Karuna Sharma Superintendent Sh Yadvinder Kumar Sr Asstt,Dalip singh Patial,24-Jul-2019 11:17 AM,24-Jul-2019 11:45 AM,techsummary_43379.pdf (390.03 KB),PWD,2019_PWD_30060_1,PW/MED/TA/ e-notice/19-20-1810-16 dt 25.06.19,"Construction of Police Station Building at Padhar, Distt.- Mandi HP SH Providing E.I therein",AOC,10-Jul-2019 10:00 AM,19-Jul-2019 11:30 AM,10-Jul-2019 10:00 AM,19-Jul-2019 10:00 AM,NA ,NA ,10-Jul-2019 10:00 AM,19-Jul-2019 10:00 AM,24-Jul-2019 11:45 AM,1.0,Certificate Details ,Permanent Account Number ,Permanent Account Number Details ,,PWD,PW/MED/TA/ e-notice/19-20-1810-16 dt 25.06.19,2019_PWD_30060_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,Fee/PreQual/Technical,.pdf,COST OF TENDER INDICATED IN SCHEDULE F,"16,100",No,fixed,,Executive Engineer Electrical Division HPPWD Mand,Mandi HP,Executive Engineer Electrical Division HPPWD Mand,Executive Engineer Electrical Division HPPWD Mandi,"Construction of Police Station Building at Padhar, Distt.- Mandi HP SH Providing E.I therein","Construction of Police Station Building at Padhar, Distt.- Mandi HP SH Providing E.I therein",Please refer to NIT and bid document ,NA ,"8,04,682",Electrical Works,NA ,Tender,120.0,365.0,Padhar,176121.0,NA ,NA ,NA ,Electrical Division HPPWD Mandi H.P,No ,No,1.0,DD - Demand Draft,350.0,Executive Engineer Electrical Division HPPWD Mand,Mandi HP,No,AOC
,,,,,,,,,,,,,,,,2.0,125144.0,LAL SINGH CONTRACTOR,18-Jul-2019 06:38 PM,Rejected-Finance,Rejected being L2 contractor,25-Jul-2019 04:38 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,2.0,Certificate Details ,Sales Tax/VAT ,Sales Tax/VAT ,,,,,,,,,,,,,,,,,,.pdf,EARNEST MONEY INDICATED IN SHEDULE F,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,AOC
,,,,,,,,,,,,,,,,3.0,125075.0,RAJNISH THAKUR,18-Jul-2019 04:08 PM,Rejected-Technical,Bid non responsive and disqualified,24-Jul-2019 11:17 AM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,3.0,Certificate Details ,Bidders Address Format ,Bidders Address Format Details ,,,,,,,,,,,,,,,,,,.pdf,Valid CONTRACTOR REGISTRATION (Electrical) in appropriate Class B or C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,4.0,Certificate Details ,Affidavit regarding correctness of bid ,Required in tender document in bidder file 1 ,,,,,,,,,,,,,,,,,,.pdf,Valid Electrical license REFER GENERAL RULES NO 23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Income Tax (PAN) and GST REGITRATION GENERAL RULES NO. 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"FORM NO 8 duly signed REFER GENERAL RULES NO 26.7,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding No gazetted and non-gazetted HPPWD. Employees related to him GENERAL RULES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that information furnished with the bid is true and correct in all respect.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Any other documents as specified by the State in performa of schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
