S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,S.No,Instrument Type,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.1,Category,Sub Category,Sub Category Description,Format/File,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Stage
1.0,166641.0,MOHAN LAL,INR,"898,320",Finance,Summary uploaded.,Mahesh Rana,22-Jul-2020 03:52 PM,finance_56435.pdf,BOQ Comparative Chart,Technical,Detailed Bid opening summary uploaded,Mahesh Rana,14-Jul-2020 02:30 PM,technical_56435.pdf,1,166621,Anil Kumar,09-Jul-2020 11:11 AM,Rejected-Technical,General Rule reference 26.6 of SBD,22-Jul-2020 01:43 PM,31-Jul-2020,"INR 899,758",90.0,Mahesh Rana,03-Aug-2020 11:02 AM,AOC58.pdf (355.00 KB),Work Awarded to contactor vide this office letter No. 1838-47 dt. 30.07.2020,"Er. Mahesh Rana, EE",Internal,1. Sh. Inder Singh DHD 2. Er. Tehal Singh AE,Mahesh Rana,31-Jul-2020 10:32 AM,finsummary_56435.pdf (276.59 KB),"Er. Mahesh Rana, EE",Internal,"Er. Tehal Singh, AE, Sh. Inder Singh, DHD",Mahesh Rana,22-Jul-2020 01:43 PM,22-Jul-2020 03:00 PM,techsummary_56435.pdf (336.89 KB),PWD,2020_PWD_38219_1,PW/PNH/AB/Tender/2019- 882-89 dt. 16.06.2020,Restoration of rain damages on Sainj Luhari Anni Jalori Banjar Aut road NH 305 km. 53.0 to 97.0 SH Construction of PCC Retaining wall with Toe wall at RD 58.135 to 58.145 in the State of Himachal Pradesh against NDRF Funds.,AOC,1.0,DD - Demand Draft,"18,000",No,fixed,,Executive Engineer NH Division HPPWD Pandoh,Pandoh,350.0,Executive Engineer NH Divn. HPPWD Pandoh,Pandoh,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender for (as per Schedule-F),Restoration of rain damages on Sainj Luhari Anni Jalori Banjar Aut road NH 305 km. 53.0 to 97.0 SH Construction of PCC Retaining wall with Toe wall at RD 58.135 to 58.145 in the State of Himachal Pradesh against NDRF Funds.,Restoration of rain damages on Sainj Luhari Anni Jalori Banjar Aut road NH 305 km. 53.0 to 97.0 SH Construction of PCC Retaining wall with Toe wall at RD 58.135 to 58.145 in the State of Himachal Pradesh against NDRF Funds.,Please refer Tender documents. ,NA ,"8,99,758",Civil Works,NA ,Tender,120.0,90.0,Ghayagi,175123.0,NA ,NA ,NA ,Eexecutive Engineer NH Divn. HPPWD Pandoh,No ,No,1.0,Certificate Details ,Permanent Account Number ,Permanent Account Number Details ,,19-Jun-2020 05:00 PM,10-Jul-2020 11:30 AM,19-Jun-2020 05:00 PM,09-Jul-2020 06:00 PM,NA ,NA ,19-Jun-2020 05:00 PM,09-Jul-2020 06:00 PM,22-Jul-2020 03:00 PM,PWD,PW/PNH/AB/Tender/2019- 882-89 dt. 16.06.2020,2020_PWD_38219_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,Executive Engineer,Executive Engineer NH Divn. HPPWD Pandoh,AOC
,,,,,,,,,,,,,,,,2,166302,CONTRACTOR,07-Jul-2020 02:22 PM,Rejected-Technical,General Rule reference 26.6 of SBD,22-Jul-2020 01:43 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,BG - Bank Guarantee,,,,,,,,,,,,,.pdf,Earnest Money deposit (as Schedule-F.,,,,,,,,,,,,,,,,,,,2.0,Certificate Details ,Affidavit regarding correctness of bid ,Required in tender document in bidder file 1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,3,166377,Devinder Kumar,07-Jul-2020 08:26 PM,Rejected-Finance,L3,31-Jul-2020 10:32 AM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3.0,FDR - Fixed Deposit,,,,,,,,,,,,,.pdf,Contractors Registration (Refer General Rules No 23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,4,166664,Dev Raj Contractor,09-Jul-2020 02:28 PM,Rejected-Technical,General Rule reference 26.6 of SBD,22-Jul-2020 01:43 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,.pdf,GST Registration (General Rules No 21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,5,166697,GANESH DUTT,09-Jul-2020 04:48 PM,Rejected-Technical,General Rule reference 26.6 of SBD,22-Jul-2020 01:43 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,.pdf,Work Done Certificate (as per Performa given in General Rule No-19 Countersigned by EE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,6,166336,Harish Kumar,07-Jul-2020 07:30 PM,Rejected-Finance,L4,31-Jul-2020 10:32 AM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,.pdf,"List Of Machinery, Tool, Plant,(Refer Schedule F With Reference To Clause 18)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,7,166706,KARAM SINGH,09-Jul-2020 05:51 PM,Rejected-Technical,General Rule reference 26.6 of SBD,22-Jul-2020 01:43 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,.pdf,List Of Both Gazetted And Non-Gazetted Hppwd Employees Related To Him (General Rule No 16),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,8,166641,MOHAN LAL,09-Jul-2020 02:12 PM,Accepted-AOC,L1 Bidder,03-Aug-2020 11:02 AM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,.pdf,Proof of Registration under EPF and miscellaneous provision Act 1952.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,9,166682,PRAKASH CHAND,09-Jul-2020 04:20 PM,Rejected-Technical,General Rule reference 26.6 of SBD,22-Jul-2020 01:43 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,2.0,Finance,.xls,BoQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,10,166576,thakur singh govt contractor,08-Jul-2020 09:52 PM,Rejected-Technical,General Rule reference 26.6 of SBD,22-Jul-2020 01:43 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
