Type :,Summary :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Instrument Type,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Stage
Technical,Summary,Dalip Singh Tomar,01-Jul-2020 05:03 PM,technical_55835.pdf,1.0,162787.0,Basti Ram,16-Jun-2020 02:13 PM,Rejected-Finance,L2,31-Aug-2020 02:37 PM,Finance,Fin bid opening summary,Kishan Lal Chaudhary,31-Aug-2020 02:30 PM,finance_55835.pdf,BOQ Comparative Chart,1.0,162995.0,WASIM ALI,INR,"642,135",Er. K.L. Chaudhary,Internal,"Sh. Sanjeet Kumar Sinha Divisional Accountant., Sh. Sanjeev Goel Supdt. Gr.II, Smt. Usha Aggarwal HDM",Kishan Lal Chaudhary,31-Aug-2020 02:37 PM,finsummary_55835.pdf (503.42 KB),31-Aug-2020,"INR 575,139",90.0,Kishan Lal Chaudhary,31-Aug-2020 02:38 PM,aoc.pdf (880.00 KB),AOC,PWD,2020_PWD_37870_2,Tender/2019-20-1150-1200dated 26.05.2020,A/R and M/O Salwala to Puruwala km. 0/0 to 2/0 (SH Providing paving of both side berms in km. 0/700 to 1/300 to combat the dust pollution due to Industrial activities).,Er. K. L. Chaudhary,Internal,"Sh. Sanjeet Kumar Sinha Divisional Accountant., Sh. Sanjeev Goel Supdt. Gr.II, Smt. Usha Aggarwal HDM",Dalip Singh Tomar,01-Jul-2020 05:16 PM,02-Jul-2020 11:05 AM,techsummary_55835.pdf (841.71 KB),AOC,350.0,EE Paonta Sahib,Paonta Sahib,Yes,PWD,Tender/2019-20-1150-1200dated 26.05.2020,2020_PWD_37870_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,"11,500",Yes,fixed,,EE Paonta Sahib,Paonta Sahib,1.0,DD - Demand Draft,Executive Engineer,Executive Engineer HPPWD Paonta Sahib District Sirmour (HP),09-Jun-2020 04:30 PM,18-Jun-2020 11:30 AM,09-Jun-2020 05:00 PM,17-Jun-2020 05:00 PM,NA ,NA ,09-Jun-2020 05:00 PM,17-Jun-2020 05:00 PM,02-Jul-2020 11:05 AM,A/R and M/O Salwala to Puruwala km. 0/0 to 2/0 (SH Providing paving of both side berms in km. 0/700 to 1/300 to combat the dust pollution due to Industrial activities).,A/R and M/O Salwala to Puruwala km. 0/0 to 2/0 (SH Providing paving of both side berms in km. 0/700 to 1/300 to combat the dust pollution due to Industrial activities).,please refer tender document ,NA ,"5,75,139",Civil Works - Roads,NA ,Tender,90.0,90.0,Paonta Sahib,173025.0,NA ,NA ,NA ,Paonta Sahib,No ,No,1.0,Fee/PreQual/Technical,.pdf,Cost of tender- indicated in schedule f at sr.no.6.3,AOC
,,,,,2.0,162945.0,Budh Raj Singh,17-Jun-2020 10:53 AM,Rejected-Finance,L7,31-Aug-2020 02:37 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest money-indicated in schedule f at sr. No.6.5,AOC
,,,,,3.0,163015.0,DINESH KUMAR GUPTA,17-Jun-2020 03:56 PM,Rejected-Finance,L8,31-Aug-2020 02:37 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors registration- refer general rule sr. No 23,AOC
,,,,,4.0,162402.0,Manoj Chawla,16-Jun-2020 09:40 PM,Rejected-Technical,Not Qualified,01-Jul-2020 05:16 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration(Refer General Rule No.21)and Permanent account number,AOC
,,,,,5.0,163037.0,Mohabat construction,17-Jun-2020 03:11 PM,Rejected-Finance,L4,31-Aug-2020 02:37 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of incomplete works in hand general rule sr. No 28.1,AOC
,,,,,6.0,162887.0,M/S SARVJEET SINGH,16-Jun-2020 08:51 PM,Rejected-Finance,L6,31-Aug-2020 02:37 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Machinery as per schedule F Sr.No.6.19Ref.Cl- No.18 i.e.R.C,purchase bills,ownership/Affidavit hire",AOC
,,,,,7.0,162929.0,Randhir Singh,17-Jun-2020 08:27 AM,Rejected-Finance,L3,31-Aug-2020 02:37 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy of EPF,AOC
,,,,,8.0,162876.0,RANJEET SINGH,16-Jun-2020 07:36 PM,Rejected-Finance,L5,31-Aug-2020 02:37 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form no 8 duly signed gen. Rule sr. No 26.7.,AOC
,,,,,9.0,162995.0,WASIM ALI,17-Jun-2020 01:27 PM,Accepted-AOC,L1,31-Aug-2020 02:39 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of both gazetted and non gazetted officer hppwd employees related to him gen. Rule sr.no.16),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Any other information bidders like to provide. All Original affidavits submit with name of work.,AOC
