Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,Cover No,Cover,Document Type,Description,S.No,Instrument Type,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
Finance,Bid opening summary,Sudhir Kumar Gupta,27-Jun-2020 03:54 PM,finance_55387.pdf,BOQ Comparative Chart,1.0,160480.0,Manishsharma,INR,"1,446,157",Technical,Bid opening summary,Sudhir Kumar Gupta,22-Jun-2020 04:37 PM,technical_55387.pdf,1.0,160440.0,KULDEEP KUMAR VERMA,02-Jun-2020 01:07 PM,Rejected-Technical,Not ok,22-Jun-2020 04:39 PM,31-Aug-2020,"INR 988,029",15.0,Sudhir Kumar Gupta,31-Aug-2020 06:23 PM,BadmainSectionAOC.pdf (223.00 KB),AOC,Er Sudhir Kumar Gupta EE,Internal,ShPremRajMeenDAO ShRamSawaroopSupdt ShSureshKumarVermaHDM,Sudhir Kumar Gupta,31-Aug-2020 06:20 PM,finsummary_55387.pdf (75.75 KB),Sudhir Kumar Gupta,Internal,Prem Raj Meen DAO Ram Sawroop Superintendent Suresh Kumar Verma HDM Harish Singh Clerk,Sudhir Kumar Gupta,22-Jun-2020 04:39 PM,22-Jun-2020 04:45 PM,techsummary_55387.pdf (246.38 KB),PWD,2020_PWD_37582_6,PW.SRDD-CB-CTR-2019-20 1080 DT 11.05.2020,A/R and M/O various road under Suni Sub Division Section Badmain,AOC,1.0,Fee/PreQual/Technical,.pdf,Cost Of Tender (Indicated In Schedule F),1.0,DD - Demand Draft,"20,000",No,fixed,,EE Dhami,Dhami,A/R and M/O various road under Suni Sub Division Section Badmain,SH Providing Patch Work in Badmain Ghaini Road Km. 0/00 to 6/500 and Link Road to village Neen Km. 0/00 to 2/00,Please refer Tender documents. ,NA ,"9,88,029",Civil Works - Roads,NA ,Tender,120.0,15.0,Dhami,171103.0,NA ,NA ,NA ,SE 4th Circle Shimla,No ,No,500.0,EE Dhami,Dhami,No,EE Dhami,SHIMLA RURAL DIVISION HPPWD DHAMI,27-May-2020 02:35 PM,03-Jun-2020 11:00 AM,27-May-2020 02:35 PM,02-Jun-2020 05:00 PM,NA ,NA ,27-May-2020 02:35 PM,02-Jun-2020 05:00 PM,22-Jun-2020 04:45 PM,PWD,PW.SRDD-CB-CTR-2019-20 1080 DT 11.05.2020,2020_PWD_37582_6,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,AOC
,,,,,,,,,,,,,,,,2.0,160480.0,Manishsharma,02-Jun-2020 02:27 PM,Accepted-AOC,L1,31-Aug-2020 06:24 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,The Earnest Money (Indicated In Schedule F),2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,3.0,160476.0,PANKAJ THAKUR,02-Jun-2020 02:13 PM,Rejected-Technical,Not ok,22-Jun-2020 04:39 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Contractors Registration (Refer General Rules No 23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,4.0,160530.0,SUDHEER VERMA,02-Jun-2020 04:28 PM,Rejected-Finance,L2,31-Aug-2020 06:21 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,GST Registration (General Rules No 21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Work In Hand As Per General Rule 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,"List Of Machinery, Tool, Plant(Refer Schedule F With Reference To Clause 18)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Form No 8 (Refer General Rules No.26.7),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,List Of Both Gazetted And Non-Gazetted Hppwd Employees Related To Him (General Rule No 16),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Affidavit That Information Furnished With The Bid Is Correct In All Respect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Proof of Registration under Employees Provident Funds(Refer General Rule 25 A),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
