Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Instrument Type,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,S.No.1,Corrigendum Title,Corrigendum Type,View,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
19-Aug-2020,"INR 9,402,950",250.0,Rohit Raj Kiran,19-Aug-2020 03:59 PM,AOC-CHANGO-BRIDGE.pdf (903.00 KB),AWARD OF CONTRACT,Er. R. K. Chandla EE Mech Div Dhalli,Internal,"Er. Rohit Raj Kiran AE Mech. Sh. Brij Lal CHD, Sh Rajesh Kumar Supdt GrII, Sh Mahesh Shandil HDM, Smt Sheela Thakur Sr Ass. Acc",Rakesh Kumar Sharma,19-Jun-2020 01:23 PM,finsummary_53704.pdf (127.34 KB),Er. R. K. Chandla EE Mech Div Dhalli,Internal,"Er. Rohit Raj Kiran AE Mech. Sh. Brij Lal CHD, Sh Rajesh Kumar Supdt GrII, Sh Mahesh Shandil HDM, Smt Sheela Thakur Sr Ass. Acc.",Rohit Thakur,11-Jun-2020 03:25 PM,15-Jun-2020 03:00 PM,techsummary_53704.pdf (830.62 KB),PWD,2020_PWD_36414_1,PW/MDS/CB/Tender Bridge/2019-20-5630-35 dt.13.3.20,Construction of 75.00 Mtr. Span Through Type Steel Truss Bridge over Spiti river at Chango,Technical,TECHNICAL BID OPENING SUMMARY,Rohit Thakur,20-May-2020 03:21 PM,technical_53704.pdf,1.0,158444.0,CANTILEVER CONSTRUCTIONS PRIVATE LIMITED,19-May-2020 12:16 PM,Accepted-AOC,L-1 BIDDER,19-Aug-2020 03:59 PM,1.0,158444.0,CANTILEVER CONSTRUCTIONS PRIVATE LIMITED,INR,"8,649,000",Finance,FINANCIAL BID OPENING SUMMARY,Rakesh Kumar Sharma,19-Jun-2020 01:20 PM,finance_53704.pdf,BOQ Comparative Chart,AOC,EE Mechanical Division Dhalli,Mechanical Division HPPWD Dhalli,Construction of 75.00 Mtr. Span Through Type Steel Truss Bridge over Spiti river at Chango,"SH Launching/Erection of 75.00 Mtr. Span Through Type Steel Truss Bridge including Riveting, Red Oxide Painting, etc. and P/F of Bearings in position",Please refer Tender documents. ,NA ,"94,02,950",Civil Works - Bridges,Steel Truss Bridge ,Tender,120.0,250.0,Dhalli,171012.0,NA ,NA ,NA ,DHALLI,No ,No,1.0,DD - Demand Draft,PWD,PW/MDS/CB/Tender Bridge/2019-20-5630-35 dt.13.3.20,2020_PWD_36414_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,21-Mar-2020 05:00 PM,20-May-2020 03:00 PM,21-Mar-2020 05:00 PM,20-May-2020 01:00 PM,NA ,NA ,21-Mar-2020 05:00 PM,20-May-2020 01:00 PM,15-Jun-2020 03:00 PM,"2,000",EE Mechanical Div Dhalli,Shimla,No,1.0,Fee/PreQual/Technical,.pdf,Appropriate Contractor class certificate Refer Mandatory Terms and Condition No.1,1.0,Change In Dates,Date,,"1,26,600",No,fixed,,EE Mechanical Div Dhalli,Shimla,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,158829.0,VIJAY KAPOOR CONSTRUCTIONS,19-May-2020 09:57 AM,Rejected-AOC,NOT L-1 BIDDER,19-Aug-2020 03:59 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of T and P/Machinery available Refer Mandatory Terms and Condition No.2,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,158832.0,Vinay Thakur,19-May-2020 11:00 AM,Rejected-Technical,Non-Responsive,11-Jun-2020 03:25 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of experience of 2 No. works of similar kind Refer Mandatory Terms and Conditions No. 3,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of cost of bridge works done during last three years Refer Mandatory Terms and Conditions No. 4,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of GST Registration certificate and PAN Number Refer Mandatory Terms and Conditions No. 5,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Declaration of Non-Blacklisting of the firm/company Refer Mandatory Terms and Conditions No. 6,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Documentary proof for Mandatory Terms and Conditions No.7,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof of Earnest Money and Tender Document Fee Refer Terms and Condition No. 1 and 2,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking with effect to correctness of Bids duly signed Refer Terms and Condition No. 13,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Acceptance of Mandatory and General Terms/conditions duly signed Refer Terms and Condition No. 14,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificates of works Refer Terms and Condition No. 12,,,,,,,,,,,AOC
