Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Name,Address,S.No,Corrigendum Title,Corrigendum Type,View,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.1,Instrument Type,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
XEN Rahul Sood,Internal,HDM DAO Supdt.,Rahul Sood,13-Mar-2020 04:09 PM,finsummary_50434.pdf (721.83 KB),19-Aug-2020,"INR 6,155,971",360.0,Rahul Sood,19-Aug-2020 07:52 PM,1915-22.PDF (1771.00 KB),PWD,2020_PWD_34463_2,BHNR -EA-Tender/2019- 9806-11 dated 27.01.2020,C.O Govt. High School building at Themgarang SH. C/O building portion WS and S.I septic tank and rain harvesting tank,XEN Rahul Sood,Internal,HDM DAO Supdt Gr-II,Pramod Kumar,13-Mar-2020 03:46 PM,13-Mar-2020 03:50 PM,techsummary_50434.pdf (720.27 KB),Technical,opening summary,Pramod Kumar,13-Mar-2020 03:40 PM,technical_50434.pdf,1.0,148378.0,DARJE SUKH NEGI,15-Feb-2020 12:16 PM,Rejected-AOC,Due to L5,19-Aug-2020 07:53 PM,1.0,149062.0,RAKESH KUMAR,INR,"9,836,998",Finance,summary,Rahul Sood,13-Mar-2020 04:03 PM,finance_50434.pdf,BOQ Comparative Chart,AOC,"2,000",EE Bhabanagar,Sungra/Bhabangar,Yes,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form,Executive Engineer,Karchham Division HPPWD Bhabangar,1.0,revoke the AOC,AOC,,PWD,BHNR -EA-Tender/2019- 9806-11 dated 27.01.2020,2020_PWD_34463_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,DD - Demand Draft,"94,000",No,fixed,,EE Bhabanagar,Sungra/Bhabanagar,03-Feb-2020 10:00 AM,17-Feb-2020 11:00 AM,03-Feb-2020 10:30 AM,15-Feb-2020 05:00 PM,NA ,NA ,03-Feb-2020 10:30 AM,15-Feb-2020 05:00 PM,13-Mar-2020 03:50 PM,C.O Govt. High School building at Themgarang SH. C/O building portion WS and S.I septic tank and rain harvesting tank,C.O Govt. High School building at Themgarang SH. C/O building portion WS and S.I septic tank and rain harvesting tank,Please refer Tender documents. ,NA ,"61,55,971",Civil Works - Buildings,NA ,Tender,120.0,360.0,Themgarang,172115.0,NA ,NA ,NA ,Bhabanagar,No ,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,149372.0,JAGAT SINGH MEHTA,15-Feb-2020 02:29 PM,Rejected-AOC,Due to L3,19-Aug-2020 07:53 PM,,,,,,,,,,,,AOC,,,,,,,.pdf,Earnest Money Deposit,,,,,,,,,,,,,,,,,,,,,2.0,BC - Bankers Cheque,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,149615.0,Kailash Negi,15-Feb-2020 02:00 PM,Rejected-AOC,Due to L2,19-Aug-2020 07:53 PM,,,,,,,,,,,,AOC,,,,,,,.pdf,Contractors Registration,,,,,,,,,,,,,,,,,,,,,3.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,149431.0,M/S BHIM SINGH NEGI CONTRACTOR,15-Feb-2020 01:34 PM,Rejected-AOC,Due to L6,19-Aug-2020 07:53 PM,,,,,,,,,,,,AOC,,,,,,,.pdf,GST Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,149624.0,NISHANT CHAARAS CONT.,15-Feb-2020 12:49 PM,Rejected-Technical,Non Responsive,13-Mar-2020 03:46 PM,,,,,,,,,,,,AOC,,,,,,,.pdf,Permanent Account Number (PAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,149228.0,PYARE LAL,12-Feb-2020 07:27 PM,Rejected-AOC,Due to L4,19-Aug-2020 07:53 PM,,,,,,,,,,,,AOC,,,,,,,.pdf,Work Done Certificate of similar nature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,149062.0,RAKESH KUMAR,15-Feb-2020 03:12 PM,Accepted-AOC,awarded,19-Aug-2020 07:53 PM,,,,,,,,,,,,AOC,,,,,,,.pdf,work in hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,Financial reports for the last five years balance sheet profit and loss statement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,EPF Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,2.0,Finance,.xls,Bill of Quantities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
