Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,S.No,Instrument Type,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
20-Aug-2020,"INR 1,922,822",365.0,Suresh Kumar Walia,22-Aug-2020 12:37 PM,Award.pdf (236.00 KB),Award,Dr Suresh Kumar walia,Internal,Er JN SHarma AE Ajit Kumar Supdt Gr II Suraj Parkash DAO Ashok TA,Suresh Kumar Walia,25-Jul-2020 11:06 AM,finsummary_56808.pdf (191.56 KB),Dr Suresh Kumar walia,Internal,Er JAnkit AE Ajit Kumar Supdt Gr II Suraj Parkash DAO Ashok Kumar TA,Suresh Kumar Walia,21-Jul-2020 01:19 PM,24-Jul-2020 11:00 AM,techsummary_56808.pdf (551.75 KB),PWD,2020_PWD_38458_2,PWD Civil Work -2450-80-Tanda,"Performance based routine maintenance of Samloti Sarotri road (HP0408VR0091) Km 0/000 to 4/600 , Nihargalu Bhatti to Jalot (HP0408VR0057) KM 3/000 to 14/000 and Nihargalu (Upperli Kothian) to Barana road (HP0408VR0091) Km 0/000 to 4/600).",1.0,167437.0,Kulbir Kumar,INR,"1,922,822",Finance,Sum,Suresh Kumar Walia,25-Jul-2020 11:04 AM,finance_56808.pdf,BOQ Comparative Chart,Technical,Sum,Suresh Kumar Walia,21-Jul-2020 01:17 PM,technical_56808.pdf,1.0,167437.0,Kulbir Kumar,14-Jul-2020 03:19 PM,Accepted-AOC,Lowest 1,22-Aug-2020 12:37 PM,AOC,1.0,DD - Demand Draft,30-Jun-2020 05:00 PM,16-Jul-2020 11:30 AM,30-Jun-2020 05:00 PM,15-Jul-2020 05:00 PM,NA ,NA ,30-Jun-2020 05:00 PM,15-Jul-2020 05:00 PM,24-Jul-2020 11:00 AM,"Performance based routine maintenance of Samloti Sarotri road (HP0408VR0091) Km 0/000 to 4/600 , Nihargalu Bhatti to Jalot (HP0408VR0057) KM 3/000 to 14/000 and Nihargalu (Upperli Kothian) to Barana road (HP0408VR0091) Km 0/000 to 4/600).","Performance based routine maintenance of Samloti Sarotri road (HP0408VR0091) Km 0/000 to 4/600 , Nihargalu Bhatti to Jalot (HP0408VR0057) KM 3/000 to 14/000 and Nihargalu (Upperli Kothian) to Barana road (HP0408VR0091) Km 0/000 to 4/600).",Please refer Tender documents. ,NA ,"18,61,036",Civil Works - Roads,NA ,Tender,120.0,365.0,Tanda,176002.0,NA ,NA ,NA ,EE HP PWD Division Tanda at Nagrota Bagwan,No ,No,Executive Engineer,EE HP PWD Division Tanda at Nagrota Bagwan,500.0,Executive Engineer HP PWD Tanda,Kangra,No,1.0,Fee/PreQual/Technical,.pdf,Cost of tender form in Shape of DD as per SBD,PWD,PWD Civil Work -2450-80-Tanda,2020_PWD_38458_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,"35,420",No,fixed,,Executive Engineer HP PWD Tanda,Tanda at Nagrota Bagwan,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,166396.0,Rahul,14-Jul-2020 10:48 PM,Rejected-AOC,Lowest 2,22-Aug-2020 12:37 PM,AOC,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money in shape of FDR as per SBD,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,167726.0,Shadil Thakur,15-Jul-2020 03:35 PM,Rejected-AOC,Lowest 3,22-Aug-2020 12:37 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,PAN No,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8 duly signed on Judicial Paper,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate as per SBD,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that the information submitted with bid namely ( ) are true and correct,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding near relative working in the PWD and no relation gazetted,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,under taking that no arbitration/litigation with PWD is pending in any court of Law,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EPF No.,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of Machinery and Technical Staff as per SBD with proof,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor registration,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,AOC
