Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,S.No,Instrument Type,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage
1.0,Fee/PreQual/Technical,.pdf,Cost of tender- indicated in schedule f at sr.no.6.3,"C/O Commandant office Home Guard 4th Battalian at Paonta Sahib, Distt.","C/O Commandant office Home Guard 4th Battalian at Paonta Sahib, Distt. Sirmour (HP). (SH C/o building portion, providing water supply and sanitary installation alongwith septic tank and soak pit and C/o rain water harvesting tank)",please refer tender document ,NA ,"41,72,515",Civil Works - Buildings,NA ,Tender,90.0,270.0,Paonta Sahib,173025.0,NA ,NA ,NA ,Paonta Sahib,No ,No,Executive Engineer,Executive Engineer HPPWD Division Paonta Sahib District Sirmour (HP) 173025,1.0,DD - Demand Draft,08-May-2020 04:30 PM,20-May-2020 11:30 AM,08-May-2020 05:00 PM,19-May-2020 05:00 PM,NA ,NA ,08-May-2020 05:00 PM,19-May-2020 05:00 PM,04-Jun-2020 03:30 PM,"70,100",Yes,fixed,,EE Paonta Sahib,Paonta Sahib,"2,000",EE Paonta Sahib,Paonta Sahib,Yes,PWD,tender/2019-20-10346-95 dt 19.03.2020,2020_PWD_36843_9,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,AOC,1.0,158817.0,hement,18-May-2020 10:14 PM,Rejected-Technical,Not qualified,04-Jun-2020 11:34 AM,Technical,summary,Dalip Singh Tomar,04-Jun-2020 10:42 AM,technical_54638.pdf,1.0,158488.0,MANOJ BHARDWAJ,INR,"4,739,544",Finance,Fin bid opening Summary,Kishan Lal Chaudhary,05-Aug-2020 11:09 AM,finance_54638.pdf,BOQ Comparative Chart,Er. R. K. Dhiman,Internal,"Sh. Sanjeet Kumar Sinha Divisional Accountant., Sh. Sanjeev Goel Supdt. Gr.II, Smt. Usha Aggarwal HDM",Dalip Singh Tomar,04-Jun-2020 11:34 AM,04-Jun-2020 03:30 PM,techsummary_54638.pdf (801.31 KB),PWD,2020_PWD_36843_9,tender/2019-20-10346-95 dt 19.03.2020,"C/O Commandant office Home Guard 4th Battalian at Paonta Sahib, Distt.",05-Aug-2020,"INR 4,172,512",270.0,Kishan Lal Chaudhary,05-Aug-2020 11:17 AM,aoc.pdf (930.00 KB),AOC,Er. R.K. Dhiman,Internal,"Sh. Sanjeet Kumar Sinha Divisional Accountant., Sh. Sanjeev Goel Supdt. Gr.II, Smt. Usha Aggarwal HDM",Kishan Lal Chaudhary,05-Aug-2020 11:13 AM,finsummary_54638.pdf (139.11 KB),AOC
,,.pdf,Earnest money-indicated in schedule f at sr. No.6.5,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,158668.0,LAL SINGH CHAUHAN,18-May-2020 12:22 PM,Rejected-Finance,L3,05-Aug-2020 11:13 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Contractors registration- refer general rule sr. No 23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3.0,158488.0,MANOJ BHARDWAJ,15-May-2020 07:26 PM,Accepted-AOC,L1,05-Aug-2020 11:17 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,GST Registration(Refer General Rule No.21)and Permanent account number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,4.0,158857.0,Nikhil,19-May-2020 01:33 PM,Rejected-Finance,L2,05-Aug-2020 11:13 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,List of incomplete works in hand general rule sr. No 28.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,5.0,158878.0,WASIM ANSARI,19-May-2020 02:51 PM,Rejected-Technical,Not qualified,04-Jun-2020 11:34 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,"Machinery as schedule F Sr.No.6.19Ref.Cl-No.18 i.e.R.C,purchase bills,ownership/Affidavit hire basis",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Scanned copy of EPF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Form no 8 duly signed gen. Rule sr. No 26.7.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,List of both gazetted and non gazetted officer hppwd employees related to him gen. Rule sr.no.16),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Any other information bidders like to provide.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
