S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage,Name,Address,S.No,Category,Sub Category,Sub Category Description,Format/File,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.1,Instrument Type,Tender Stage
1.0,11118.0,M/s Agam Construction,23-Mar-2017 08:58 PM,Rejected-Finance,Rejected,31-Aug-2020 08:18 PM,Finance,Admitted,RANJEET DUTTA,31-Aug-2020 08:15 PM,finance_3151.pdf,BOQ Comparative Chart,Chief Engineer PWD,Internal,Chief Engineer PWD,RANJEET DUTTA,31-Aug-2020 08:18 PM,finsummary_3151.pdf (79.72 KB),Technical,verified,ANIRUDDHA NAG,25-Apr-2017 04:28 PM,technical_3151.pdf,Dibyajyoti Saharia,Internal,,ANIRUDDHA NAG,25-Apr-2017 04:34 PM,25-Apr-2017 04:35 PM,techsummary_3151.pdf (2413.88 KB),1.0,11162.0,Tazuddin Ahmed,INR,75709099.0,Public Works Roads Department||CE (Border Roads and NEC Works) - PWD||NEC Roads and Bridge Cell - PWD,2017_PWD_1932_1,CE/NEC/BR/5/2011/Pt-III/32,Construction of Road and Bridge Work,31-Aug-2020,INR 69201363,540.0,RANJEET DUTTA,31-Aug-2020 08:20 PM,Taz_2A.pdf (80.00 KB),Admitted,AOC,Chief Engineer PWD B Roads and NEC,Chandmari Guwahati3,1,Balance Sheet ,Year 1 ,Year 1 Balance Sheet ,,17-Mar-2017 10:30 AM,27-Mar-2017 11:00 AM,17-Mar-2017 10:30 AM,24-Mar-2017 04:30 PM,17-Mar-2017 10:30 AM ,24-Mar-2017 10:30 AM ,17-Mar-2017 10:30 AM,24-Mar-2017 04:30 PM,25-Apr-2017 04:35 PM,Construction of Road and Bridge Work,Balance Work for Upgradation Improvement of Jowai Natrang Khanduli Baithalangso Road under NEC 11th Five Year Plan Programme Ch. 21st to 31Km including construction of RCC Bridge No 27/2 and 31/4,Please refer Tender documents. ,NA ,"6,92,14,000",Civil Works,NA ,Tender,180.0,540.0,Karbi Anglong,781003.0,NA ,NA ,NA ,Office of the Chief Engineer PWD B R and NEC,No ,No,"10,000",Empowered Officer ASRB,Chandmari,No,1.0,Fee/PreQual/Technical,.pdf,Press Notice,"13,84,274",Yes,fixed,,Chief Engineer PWD Border Roads and NEC Works,Chandmari,Public Works Roads Department||CE (Border Roads and NEC Works) - PWD||NEC Roads and Bridge Cell - PWD,CE/NEC/BR/5/2011/Pt-III/32,2017_PWD_1932_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,DD - Demand Draft,AOC
2.0,10934.0,M/s Purbanchal Suppliers & Contractors,23-Mar-2017 04:09 PM,Rejected-Finance,Rejected,31-Aug-2020 08:18 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,2,Balance Sheet ,Year 2 ,Year 2 Balance Sheet ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,SBD,,,,,,,,,,,,,,,,,,,,,2.0,BC - Bankers Cheque,AOC
3.0,11162.0,Tazuddin Ahmed,24-Mar-2017 03:46 PM,Accepted-AOC,Admitted,31-Aug-2020 08:20 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,3,Balance Sheet ,Year 3 ,Year 3 Balance Sheet ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.pdf,FOB,,,,,,,,,,,,,,,,,,,,,3.0,SS - Small Savings Instrument,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,4,Balance Sheet ,Year 4 ,Year 4 Balance Sheet ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,4.0,BG - Bank Guarantee Irrevocable,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,5,Balance Sheet ,Year 5 ,Year 5 Balance Sheet ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,FDR - Fixed Deposit Receipt,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,6,Dept Certificate ,PWD ,Registration certificate with PWD ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,DCR - Deposit at call receipt,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,7,General Certificate ,IT ,Income Tax certificate ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,8,General Certificate ,VAT ,VAT certificate ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,9,General Certificate ,Solvency ,Solvency Certificate ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,10,General Certificate ,Workdone ,Work Done certificate ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,11,Machineries ,Machineries Details ,Machineries Details Description ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,12,Manpower ,Manpower Details ,Manpower Details Description ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
