Type :,Summary :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,S.No,Instrument Type,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
Technical,Bid Opening Summary,Kamal Singh Pal,03-Jan-2020 12:11 PM,technical_41019.pdf,1.0,118968.0,Bharat Bhushan Govt. Contractor,18-Mar-2019 05:43 PM,Rejected-Technical,Non Responsive,17-Feb-2020 03:10 PM,Finance,Bid Opening Summary,Yogesh Sharma,07-Aug-2020 11:27 AM,finance_41019.pdf,BOQ Comparative Chart,1.0,119439.0,Ramesh Chand,INR,"953,777",Er JC Kanungo,Internal,Er JC Kanungo Suptt DAO DHD TA,Yogesh Sharma,07-Aug-2020 11:32 AM,finsummary_41019.pdf (17.94 KB),07-Aug-2020,"INR 953,777",180.0,Yogesh Sharma,07-Aug-2020 11:38 AM,65.pdf (266.00 KB),AOC,PWD,2019_PWD_28524_2,PW.CHD.CB-E-9/18-19 15243-15342 DT 25.2.19,C/O Dhurla to Chitrkut Km. 0/0 to 3/500,Er KS Pal,Internal,Suptt DAO DHD TA,Kamal Singh Pal,17-Feb-2020 03:10 PM,17-Feb-2020 03:15 PM,techsummary_41019.pdf (228.48 KB),AOC,PWD,PW.CHD.CB-E-9/18-19 15243-15342 DT 25.2.19,2019_PWD_28524_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,EE Chopal,HPPWD CHOPAL,1.0,DD - Demand Draft,"18,000",No,fixed,,EE Chopal,Chopal,C/O Dhurla to Chitrkut Km. 0/0 to 3/500,SH C/O 5/7 mtr wide essential formtion cutting essentinl X-drainage work and essential soling in Between Km. RDs. 0/0 to 3/500,Please refer Tender documents. ,NA ,"8,95,000",Civil Works - Roads,NA ,Tender,90.0,180.0,Chopal,171211.0,NA ,NA ,NA ,Chopal,No ,No,1.0,Fee/PreQual/Technical,.pdf,Cost Of Tender (Indicated In Schedule F),16-Mar-2019 12:30 PM,23-Mar-2019 11:00 AM,16-Mar-2019 12:30 PM,22-Mar-2019 05:00 PM,NA ,NA ,16-Mar-2019 12:30 PM,22-Mar-2019 05:00 PM,17-Feb-2020 03:15 PM,500.0,EE Chopal,Chopal,No,AOC
,,,,,2.0,119440.0,BHARAT SINGH CHAUHAN,21-Mar-2019 02:18 PM,Rejected-AOC,Rejected,07-Aug-2020 11:38 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The Earnest Money (Indicated In Schedule F),,,,,,,,,,,,,,AOC
,,,,,3.0,119438.0,Mamta Diwan,21-Mar-2019 02:58 PM,Rejected-Technical,Non Responsive,17-Feb-2020 03:10 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration (Refer General Rules No 23),,,,,,,,,,,,,,AOC
,,,,,4.0,119439.0,Ramesh Chand,22-Mar-2019 04:51 PM,Accepted-AOC,Accepted,07-Aug-2020 11:38 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration (General Rules No 21),,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List Of Machinery, Tool, Plant(Refer Schedule F With Reference To Clause 18)",,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8 (Refer General Rules No.26.7),,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List Of Both Gazetted And Non-Gazetted Hppwd Employees Related To Him (General Rule No 16),,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit That Information Furnished With The Bid Is Correct In All Respect,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof of Registration under Employees Provident Funds(Refer General Rule 25 A),,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Other Important Documents As Specified By The State In Proforma Of Schedule,,,,,,,,,,,,,,AOC
