S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Instrument Type,Tender Stage
1.0,74907.0,Sri Jayanta Das,INR,967133.89,"EE,Pahumara Rupahi Division(I),Sarupeta",Internal,"Asst. Executive Engineer(TC), Pahumara Rupahi Division(I),Sarupeta ,Asst.Engineer, Tender Assistant,Accounts Officer",KRISHNAV JYOTI SARMA,06-May-2020 02:53 PM,06-May-2020 02:55 PM,techsummary_24817.pdf (2336.30 KB),Irrigation Department||Chief Engineer(Minor Irrigation)-Irrigation Dept,2020_ID_16252_2,PRID_T_7_2019_20_90 Dt 03_02_2020,Restoration of Rupahi FIS under SOPD for the year 2019_20 package 2,Technical,Technical Evaluation is under process,KRISHNAV JYOTI SARMA,06-May-2020 02:31 PM,,1,75218,DIPU SARMA,13-Feb-2020 12:59 PM,Rejected-Finance,Not Admitted,23-Aug-2020 12:44 AM,"EE,Pahumara Rupahi Division(I),Sarupeta",Internal,,KRISHNAV JYOTI SARMA,23-Aug-2020 12:44 AM,finsummary_24817.pdf (242.96 KB),Finance,Financial evaluation is under process,KRISHNAV JYOTI SARMA,21-Aug-2020 07:53 PM,,BOQ Comparative Chart,23-Aug-2020,INR 2147999.0,60.0,KRISHNAV JYOTI SARMA,23-Aug-2020 12:48 AM,WO.pdf (746.00 KB),AOC,AOC,Irrigation Department||Chief Engineer(Minor Irrigation)-Irrigation Dept,PRID_T_7_2019_20_90 Dt 03_02_2020,2020_ID_16252_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,"42,960",Yes,percentage,2.0%,"EE,Pahumara Rupahi Division(I),Sarupeta",Sarupeta,1.0,Fee/PreQual/Technical,.pdf,NIT,400.0,"EE,Pahumara Rupahi Division(I),Sarupeta",Sarupeta,No,"EE,Pahumara Rupahi Division(I),Sarupeta","O/o EE,Pahumara Rupahi Division(I),Sarupeta",Restoration of Rupahi FIS under SOPD for the year 2019_20 package 2,Raising Strengthening of D1 Canal from Ch.3800.00m to Ch.4040.00m,Please refer Tender documents. ,NA ,"21,47,999",Civil Works,NA ,Rate Contract,180.0,60.0,Rupahi,781318.0,NA ,NA ,NA ,"O/o EE,Pahumara Rupahi Division(I),Sarupeta",No ,No,03-Feb-2020 06:00 PM,13-Feb-2020 03:00 PM,03-Feb-2020 06:10 PM,13-Feb-2020 02:00 PM,NA ,NA ,04-Feb-2020 10:00 AM,13-Feb-2020 02:00 PM,06-May-2020 02:55 PM,1.0,DD - Demand Draft,AOC
2.0,75074.0,GOPESH KALITA,INR,966051.78,,,,,,,,,,,,,,,,,2,75074,GOPESH KALITA,12-Feb-2020 03:53 PM,Accepted-AOC,Awarded,23-Aug-2020 12:48 AM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bid Documents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,BG - Bank Guarantee Irrevocable,AOC
,,,,,,,,,,,,,,,,,,,,,3,74993,M/S J. G. Associatates,12-Feb-2020 04:43 PM,Rejected-Finance,Not Admitted,23-Aug-2020 12:44 AM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,.pdf,EMD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,FDR - Fixed Deposit Receipt,AOC
,,,,,,,,,,,,,,,,,,,,,4,75147,M/S Kusumbar Construction,12-Feb-2020 09:20 PM,Rejected-Technical,Labour licence expired,06-May-2020 02:53 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,.pdf,Cost of Bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,DCR - Deposit at call receipt,AOC
,,,,,,,,,,,,,,,,,,,,,5,75195,RABIUL ISLAM,13-Feb-2020 11:10 AM,Rejected-Technical,No documents of similar works done in Irrigation deptt,06-May-2020 02:53 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,.pdf,Pre-Qualification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,6,75234,Rafizul Hoque,13-Feb-2020 01:46 PM,Rejected-Finance,Not Admitted,23-Aug-2020 12:44 AM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,7,75048,Sri Dimbeswar Mazumdar,12-Feb-2020 12:43 PM,Rejected-Finance,Not Admitted,23-Aug-2020 12:44 AM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,8,75154,Sri Haren Chandra Borah,12-Feb-2020 09:42 PM,Rejected-Finance,Not Admitted,23-Aug-2020 12:44 AM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,9,75065,Sri Himanuj Saharia,13-Feb-2020 12:07 PM,Rejected-Finance,Not Admitted,23-Aug-2020 12:44 AM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,10,74907,Sri Jayanta Das,11-Feb-2020 01:30 PM,Accepted-AOC,Awarded,23-Aug-2020 12:48 AM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
