Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Instrument Type,Cover No,Cover,Document Type,Description,S.No.1,Category,Sub Category,Sub Category Description,Format/File,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.2,Corrigendum Title,Corrigendum Type,View,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
Technical,All the bidders are accepted for technical evaluation.,Gobinda choudhury,21-May-2019 04:13 PM,technical_20038.pdf,"Sri. Ranjit Hazarika, ACS, Managing Director",Internal,"1.Sri Azizur Rahman.CE,2.Sri Deep Bora, EE, .3.Sri Indra Mohan Sharma, AEE(i/c) ,4.Sri Gobinda ChoudharyAE, 5. Pankaj Bora AE 6. Sri Aditya Yadav, AE, 7.Smti Lipika Das,JE, 8.Smti Deepali Deur,JE,",Gobinda choudhury,11-Jun-2019 03:23 PM,14-Jun-2019 12:00 PM,techsummary_20038.pdf (5020.45 KB),1.0,59981.0,Habibur Rahman,14-May-2019 01:40 PM,Rejected-Finance,Financially Non Responsive,16-Jul-2019 05:11 PM,1.0,59958.0,Probin Dihingia,INR,36727560.0,26-Jul-2019,INR 4.4226E+7,540.0,Chandrakanta Singha,04-Aug-2020 03:13 PM,Raha.pdf (6634.00 KB),"Execution, Testing commissioning of all system component of Raha Town Water Supply scheme (with Ground Water source by installing DTW) including 2 (two) month trial run after commissioning for provid",Finance,All the bidders are accepted for Financial Evaluation.,Gobinda choudhury,15-Jun-2019 02:22 PM,finance_20038.pdf,BOQ Comparative Chart,Urban Development Department||Assam Urban Water Supply and Sewerage Board-UDD,2019_UDD_11587_2,UWS (T)-1072/2000/Pt-III/396,"Execution, Testing, Commissioning of all system component of Raha Town Water Supply scheme","Dr.Numal Momin,MLA,Chairman,AUWSSB.",External,"1.Shri Ranjit Hazarika, ACS, MD, AUWSSB 2.Shri Lohit Pathak SE,PHED 3.Shri Balwant Singh,EE,PWD(B) 4.Shri Dinesh Ch. Saharia, AFS 5. Shri Azizur Rahman.CE, AUWSSB",Gobinda choudhury,16-Jul-2019 05:11 PM,finsummary_20038.pdf (4704.42 KB),AOC,10-Apr-2019 11:00 AM,15-May-2019 12:00 PM,10-Apr-2019 06:00 PM,14-May-2019 02:00 PM,NA ,NA ,07-May-2019 11:00 AM,14-May-2019 02:00 PM,14-Jun-2019 12:00 PM,"Execution, Testing, Commissioning of all system component of Raha Town Water Supply scheme","Execution, Testing, Commissioning of all system component of Raha Town Water Supply scheme (with Ground Water source by installing DTW) including 2 (two) month trial run after commissioning for providing 1.35 MLD (24x7) treated water",Please refer Tender documents. ,NA ,"4,42,26,000",Civil Works - Water Works,NA ,Tender,120.0,540.0,"Raha Town, Assam",782105.0,NA ,NA ,NA ,"AMRITPUR PATH, GANESHGURI, GUWAHATI- 6",No ,No,"8,84,520",Yes,percentage,2.0%,"Managing Director, AUWSSB","Guwahati, Assam",1.0,DD - Demand Draft,1.0,Fee/PreQual/Technical,.pdf,Tender Fee and EMD,1,General Certificate ,PAN ,Permanent Account Number ,,"Managing Director, AUWSSB","OFFICE OF THE MANAGING DIRECTOR, ASSAM URBAN WATER SUPPLY AND SEWERAGE BOARD, AMRITPUR PATH, GANESHGURI, GUWAHATI- 6",Urban Development Department||Assam Urban Water Supply and Sewerage Board-UDD,UWS (T)-1072/2000/Pt-III/396,2019_UDD_11587_2,Yes,Open Tender,Item Wise,Works,2.0,No,No,Offline,No,No,No,1.0,Corrigendum Regarding Technical Bid,Technical Bid,,"5,000","Managing Director, AUWSSB","Guwahati, Assam",No,AOC
,,,,,,,,,,,,2.0,59940.0,M/S FARMCO (INDIA),13-May-2019 01:46 AM,Rejected-Technical,Technically Non-Responsive,11-Jun-2019 03:23 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,BC - Bankers Cheque,,,.pdf,"Tender Document, Experience, etc as per bid document",2,General Certificate ,Goods and Service Tax ,Goods and Service Tax Registration Certificate ,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,3.0,59959.0,M/S LAXMI AND NARAYAN CONSTRUCTION CO.,14-May-2019 07:23 AM,Rejected-Technical,Technically Non-Responsive,11-Jun-2019 03:23 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,SS - Small Savings Instrument,2.0,Finance,.xls,Financial Bid,3,General Certificate ,Trade License ,Latest Trade License Copy ,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,4.0,59958.0,Probin Dihingia,14-May-2019 02:44 AM,Accepted-AOC,L1 bidder Rate accepted,04-Aug-2020 03:13 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,BG - Bank Guarantee Irrevocable,,,,,4,General Certificate ,Company Details ,"Partnership Deed, Co-Operative Society By Law,MOA,Company Registration Certificates,JV Consortium,Year of Incorporation Certificates ",,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,FDR - Fixed Deposit Receipt,,,,,5,General Certificate ,Solvency Certificate ,Solvency Certificate ,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,DCR - Deposit at call receipt,,,,,6,General Certificate ,Other Certificates ,As Mentioned In The Tender Document ,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,IPO - Indian Postal Order,,,,,7,P/L and Balance Sheet ,Year 1 ,Y1 Profit and Loss Statement and Balance Sheet ,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,P/L and Balance Sheet ,Year 2 ,Y2 Profit and Loss Statement and Balance Sheet ,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,P/L and Balance Sheet ,Year 3 ,Y3 Profit and Loss Statement and Balance Sheet ,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,P/L and Balance Sheet ,Year 4 ,Y4 Profit and Loss Statement and Balance Sheet ,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
