Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,S.No,Instrument Type,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
Finance,SUMMARY,Manish Sehgal,19-Aug-2020 12:22 PM,finance_50635.pdf,BOQ Comparative Chart,1.0,149302.0,M/s Kamala Enterprises,INR,"1,211,577",Technical,Summary,Vijay Kumar Verma,03-Mar-2020 11:06 AM,technical_50635.pdf,1.0,149302.0,M/s Kamala Enterprises,14-Feb-2020 11:56 AM,Accepted-AOC,L1,19-Aug-2020 12:29 PM,19-Aug-2020,"INR 938,576",60.0,Manish Sehgal,19-Aug-2020 12:29 PM,File0001.PDF (1357.00 KB),AOC,Er. M.R. Rana,Internal,"Er Sanjay Sood, AE Gopalpur, Er Manoj Sood AE to EE, Sh. Rajesh Sood Sr DAO, Sh Sunil Dutt Supdt, Sh Manoj Kumar HDM",Manish Sehgal,19-Aug-2020 12:25 PM,finsummary_50635.pdf (629.51 KB),Er. M.R.Rana,Internal,"Er Sanjay Sood, AE Gopalpur, Er Manoj Sood AE to EE, Sh. Rajesh Sood Sr DAO, Sh Sunil Dutt Supdt, Sh Manoj Kumar HDM",Vijay Kumar Verma,03-Mar-2020 11:08 AM,03-Mar-2020 02:00 PM,techsummary_50635.pdf (934.15 KB),PWD,2020_PWD_34589_2,16332-382 HPPWD Palampur,Periodical Maintenance of LINK ROAD TO VILLAGE GHARTHOON under (PMGSY Road) (HP0402VR006719301) (AMP 2020-21) Phase-I,AOC,1.0,DD - Demand Draft,05-Feb-2020 03:00 PM,15-Feb-2020 11:30 AM,05-Feb-2020 03:05 PM,15-Feb-2020 11:00 AM,NA ,NA ,05-Feb-2020 03:10 PM,15-Feb-2020 11:00 AM,03-Mar-2020 02:00 PM,350.0,EE Palampur,EE Palampur,No,Executive Engineer,HPPWD Division Palampur,Periodical Maintenance of LINK ROAD TO VILLAGE GHARTHOON under (PMGSY Road) (HP0402VR006719301) (AMP 2020-21) Phase-I,Providing and Laying 30 mm thick Bitumen Concrete with Paver finisher in Km 0/000 to 1/000,Please refer Tender documents. ,NA ,"9,38,570",Civil Works - Roads,NA ,Tender,120.0,60.0,Palampur,176061.0,NA ,NA ,NA ,Palampur,No ,No,"18,800",No,fixed,,EE Palampur,EE Palampur,1.0,Fee/PreQual/Technical,.pdf,Cost of tender document in shape of D.D. as per SBD.,PWD,16332-382 HPPWD Palampur,2020_PWD_34589_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,AOC
,,,,,,,,,,,,,,,,2.0,149434.0,Sanjeev,14-Feb-2020 03:47 PM,Rejected-Finance,L2,19-Aug-2020 12:26 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest money/Bid Security in shape of F.D.R. as per SBD,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate as per SBD,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that the information submitted with the bid are true,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding near relative working in the PWD,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of machinery and Equipment as per SBD,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form 7/8 duly signed by the Contractor,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Employee Provident Fund( EPF) registration number,,,,,,,,,,,,,,,AOC
