S.No,Instrument Type,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Tender Stage,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage
1.0,DD - Demand Draft,"1,54,300",Yes,fixed,,EEHPPWD Bhoranj Division,Bhoranj,07-Feb-2020 12:50 PM,17-Feb-2020 11:30 AM,07-Feb-2020 12:50 PM,17-Feb-2020 10:30 AM,NA ,NA ,07-Feb-2020 12:55 PM,17-Feb-2020 10:30 AM,13-Mar-2020 11:30 AM,"5,000",EEHPPWD Bhoranj Division,Bhoranj,Yes,PWD,Periodical renewal on Una Barsar Aghar Bhota Jahu,2020_PWD_34671_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender form DD must be payable at Bhoranj,Periodical renewal on Una Barsar Aghar Bhota Jahu Kalkhar road,Providing and laying 30mm thick bitumen concrete in km. 67.0 to 72.0 for the year 2020-21 AMP MDR,Please refer Tender documents. ,NA ,"1,21,77,093",Civil Works - Roads,NA ,Tender,120.0,30.0,Bhoranj,176045.0,NA ,NA ,NA ,HPPWD Bhoranj Division,No ,No,"Executive Engineer, Bhoranj Division, HP.PWD., Bho","ExecutiveEngineer, Bhoranj Division, HP.PWD., Bhoranj",AOC,1.0,149437.0,S.S.Chauhans Construction Private Limted,INR,"14,484,450",Finance,Summary attached,Amar Singh Bhatia,16-Mar-2020 04:25 PM,finance_50786.pdf,BOQ Comparative Chart,1.0,149492.0,DEEPAK JOSHI,16-Feb-2020 11:10 AM,Rejected-AOC,Accept,22-Aug-2020 02:48 PM,Technical,Summary attached,Amar Singh Bhatia,12-Mar-2020 12:58 PM,technical_50786.pdf,"E.E.PWD.,Divison Bhoranj",Internal,"Supdt. HDM, DAO, A.E.",Amar Singh Bhatia,12-Mar-2020 01:21 PM,13-Mar-2020 11:30 AM,techsummary_50786.pdf (930.64 KB),PWD,2020_PWD_34671_1,Periodical renewal on Una Barsar Aghar Bhota Jahu,Periodical renewal on Una Barsar Aghar Bhota Jahu Kalkhar road,22-Aug-2020,"INR 14,484,450",30.0,Amar Singh Bhatia,22-Aug-2020 02:48 PM,AwardletterUAM.PDF (1590.00 KB),Award letter attached,"E.E.HPPWD.,Bhoranj Division",Internal,"Supdt.HDM, DAO, A.E.Bhoranj Sub Division",Amar Singh Bhatia,22-Aug-2020 02:42 PM,finsummary_50786.pdf (1590.50 KB),AOC
2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Earnest Money-Indicated in Schedule F (FDR duly pledged in favour of Executive Engineer, HPPWD., Bh",,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,2.0,149437.0,S.S.Chauhans Construction Private Limted,16-Feb-2020 12:12 PM,Accepted-AOC,Accept,22-Aug-2020 02:48 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration- Gen. Rules Sr. No 23 and 26.3,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration -Refer Gen. Rules Sr. No 21 and 26.4,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Labour License,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Permanent Account Number (PAN No.),,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Employees Provident Fund Number.,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Proof of, Mandatory Machinery Tool and Plant as per Gen Rules 25 and Schedule F Sr. No.6.19",,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Similar nature Work Done Certificate on prescribed format given in Bidding Document without liquidat,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in hand certificate on prescribed format given in Bidding Document as per General Rule 19,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
