Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Instrument Type,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
Er. Executive Engineer,Internal,HDM AO Supdt,Sanjiv Kumar Agnihotri,29-Jun-2020 11:54 AM,finsummary_54481.pdf (596.08 KB),26-Aug-2020,"INR 41,925,343",365.0,Sanjiv Kumar Agnihotri,26-Aug-2020 07:12 PM,AOC.pdf (1205.00 KB),Work Awarded,PWD,2020_PWD_36922_1,PW/BGN//T-I/2019-20-15946-70 dt.4.3.20,Construction MT of road from TMBD road to village Bhattian via Lower Dobar Kushyala km 00 to 5085 under NABARD RIDFXXVSH Co 5/7 mtr wide Formation cutting Retaining wall Cross Drainage work GSBWMMMTUshape drain Parapetscrash barrier road stud with,Er. Sanjive Kumar,Internal,Supdt HDM AO,Sanjiv Kumar Agnihotri,18-Jun-2020 01:03 PM,18-Jun-2020 04:30 PM,techsummary_54481.pdf (131.90 KB),1.0,157806.0,Shiv Kumar Govt Contractor,INR,"41,925,343",Finance,Fin bid opened,Sanjiv Kumar Agnihotri,29-Jun-2020 11:49 AM,finance_54481.pdf,BOQ Comparative Chart,Technical,Tech bid opened,Sanjiv Kumar Agnihotri,18-Jun-2020 12:57 PM,technical_54481.pdf,1.0,157799.0,Ashwani Kumar Govt Contractor,08-May-2020 02:03 PM,Rejected-Technical,Non-responsive,18-Jun-2020 01:03 PM,AOC,02-May-2020 05:00 PM,11-May-2020 11:30 AM,02-May-2020 05:00 PM,08-May-2020 05:00 PM,NA ,NA ,02-May-2020 05:00 PM,08-May-2020 05:00 PM,18-Jun-2020 04:30 PM,1.0,DD - Demand Draft,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender ( Indicated in Schedule F),Construction MT of road from TMBD road to village Bhattian via Lower Dobar Kushyala km 00 to 5085 under NABARD RIDFXXVSH Co 5/7 mtr wide Formation cutting Retaining wall Cross Drainage work GSBWMMMTUshape drain Parapetscrash barrier road stud with,Construction MT of road from TMBD road to village Bhattian via Lower Dobar Kushyala km 00 to 5085 under NABARD RIDFXXVSH Co 5/7 mtr wide Formation cutting Retaining wall Cross Drainage work GSBWMMMTUshape drain Parapetscrash barrier road stud with,Please refer Tender documents. ,NA ,,Civil Works - Roads,NA ,Tender,120.0,365.0,Bangana,174307.0,NA ,NA ,NA ,Executive Engineer,No ,No,Executive Engineer,Executive Engineer HPPWD Division Bangana,"3,18,400",No,fixed,,Executive Engineer,Executive Engineer,"5,000",Executive Engineer,Executive Engineer,No,PWD,PW/BGN//T-I/2019-20-15946-70 dt.4.3.20,2020_PWD_36922_1,Yes,Open Tender,Item Wise,Works,2.0,No,No,Offline,No,No,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,157775.0,R.D. DUVEDI,08-May-2020 01:34 PM,Rejected-Technical,Non-responsive,18-Jun-2020 01:03 PM,AOC,,,,,,,,,,2.0,FDR - Fixed Deposit,,,.pdf,Earnest Money ( Indicated In Schedule F),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,157806.0,Shiv Kumar Govt Contractor,07-May-2020 06:45 PM,Accepted-AOC,OK,26-Aug-2020 07:13 PM,AOC,,,,,,,,,,,,,,.pdf,Contractors Registration ( Refer General Rule No.23 ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,157832.0,SS CONSTRUCTION COMPANY,08-May-2020 12:36 PM,Rejected-AOC,higher side,26-Aug-2020 07:13 PM,AOC,,,,,,,,,,,,,,.pdf,G.S.T. No. and latest assessment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,.pdf,Similar nature Work Done Certificate on prescribed format given in Bidding Document without liquidat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,.pdf,Work in hand certificate on prescribed format given in Bidding Document as per General Rule 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,.pdf,List of Machinery Tool Plant with proof of ownership or legal tie-up and list of laboratory equipmen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,.pdf,List of Both Gazetted and non Gazetted officer HPPWD employees related to him ( General Rule No.16 ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,.pdf,An affidavit that information furnished with the bid (Name of works is correct in all respect).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,.pdf,Affidavit regarding no litigation with the department,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
