Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Cover No,Cover,Document Type,Description,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Instrument Type,Tender Stage
03-Aug-2020,"INR 6,032,735",180.0,Rakesh Chander Negi,03-Aug-2020 03:38 PM,1286-93.PDF (999.00 KB),XEN Rahul Sood,Internal,HDM DAO Supdt. Gr-II,Pramod Kumar,13-Mar-2020 04:21 PM,finsummary_50433.pdf (718.71 KB),XEN Rahul Sood,Internal,HDM DAO Supdt. Gr-II,Pramod Kumar,13-Mar-2020 03:43 PM,13-Mar-2020 04:00 PM,techsummary_50433.pdf (718.71 KB),PWD,2020_PWD_34463_1,BHNR -EA-Tender/2019- 9806-11 dated 27.01.2020,Construction of parking at Sangla Distt. Kinnaur HP,Technical,opening summary,Pramod Kumar,13-Mar-2020 03:39 PM,technical_50433.pdf,1.0,148360.0,DARJE SUKH NEGI,14-Feb-2020 06:31 PM,Rejected-AOC,due to not lowest,03-Aug-2020 03:38 PM,1.0,149288.0,HAKEEM CHAND CONTRCATOR,INR,"9,277,936",Finance,summary,Pramod Kumar,13-Mar-2020 04:16 PM,finance_50433.pdf,BOQ Comparative Chart,AOC,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form,Executive Engineer,Karchham Division HP.PWD Bhabanagar,PWD,BHNR -EA-Tender/2019- 9806-11 dated 27.01.2020,2020_PWD_34463_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,03-Feb-2020 10:00 AM,17-Feb-2020 11:00 AM,03-Feb-2020 10:30 AM,15-Feb-2020 05:00 PM,NA ,NA ,03-Feb-2020 10:30 AM,15-Feb-2020 05:00 PM,13-Mar-2020 04:00 PM,Construction of parking at Sangla Distt. Kinnaur HP,Construction of parking at Sangla Distt. Kinnaur HP,Please refer Tender documents. ,NA ,"60,32,735",Civil Works,NA ,Tender,120.0,180.0,Sangla,172115.0,NA ,NA ,NA ,Bhabanagar,No ,No,"2,000",EE Bhabanagar,Sungra/Bhabangar,Yes,"93,000",No,fixed,,EE Bhabanagar,Bhabanagar,1.0,DD - Demand Draft,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,149450.0,DEEPAK MEHTA GOVT.CONTRACTOR,14-Feb-2020 05:50 PM,Rejected-AOC,due to not lowest,03-Aug-2020 03:38 PM,,,,,,,,,,,,AOC,,,.pdf,Earnest Money Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,BC - Bankers Cheque,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,149288.0,HAKEEM CHAND CONTRCATOR,13-Feb-2020 02:37 PM,Accepted-AOC,awarded,03-Aug-2020 03:38 PM,,,,,,,,,,,,AOC,,,.pdf,Contractors Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,FDR - Fixed Deposit,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,149373.0,JAGAT SINGH MEHTA,15-Feb-2020 02:10 PM,Rejected-AOC,due to not lowest,03-Aug-2020 03:38 PM,,,,,,,,,,,,AOC,,,.pdf,GST Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,149606.0,Kailash Negi,15-Feb-2020 01:54 PM,Rejected-AOC,due to not lowest,03-Aug-2020 03:38 PM,,,,,,,,,,,,AOC,,,.pdf,Permanent Account Number (PAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,149613.0,NISHANT CHAARAS CONT.,15-Feb-2020 11:29 AM,Rejected-Technical,Non Responsive,13-Mar-2020 03:43 PM,,,,,,,,,,,,AOC,,,.pdf,Work Done Certificate of similar nature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,149219.0,PYARE LAL,12-Feb-2020 06:58 PM,Rejected-AOC,due to not lowest,03-Aug-2020 03:38 PM,,,,,,,,,,,,AOC,,,.pdf,work in hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,149416.0,SHAKTI SINGH CONTRCATOR,15-Feb-2020 02:32 PM,Rejected-AOC,due to not lowest,03-Aug-2020 03:38 PM,,,,,,,,,,,,AOC,,,.pdf,Financial reports for the last five years balance sheet profit and loss statement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,EPF Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,Finance,.xls,Bill of Quantities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
