Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,S.No,Instrument Type,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No.1,Category,Sub Category,Sub Category Description,Format/File,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Name,Address,Tender Stage
Er Dalip Singh Patial EE,Internal,Sh Jai Ram HDM Sh Ram Singh JDM Sh Manish Kumar clerk,Dalip singh Patial,28-Apr-2020 02:08 PM,finsummary_53997.pdf (290.96 KB),18-Jun-2020,"INR 2,240,000",180.0,Dalip singh Patial,18-Aug-2020 11:21 AM,AOC.pdf (624.00 KB),work awarded to Sharma Electrical and Electronics Company being L1 firm,PWD,2020_PWD_36569_1,PW/MED/TA/NIT/ e-notice/19-20-9653-58 dt 21.03.20,"Providing and fixing One No. Electric Traction Lift elevator for 8 Passenger with machine room in 50 Bedded Hospital at Bagsaid, District Mandi HP",Er Dalip Singh Patial EE,Internal,Sh Jai Ram HDM Sh Ram Singh JDM Sh Manish Kumar clerk,Dalip singh Patial,28-Apr-2020 12:01 PM,28-Apr-2020 12:05 PM,techsummary_53997.pdf (405.05 KB),Finance,Financial bid summary,Dalip singh Patial,28-Apr-2020 01:58 PM,finance_53997.pdf,BOQ Comparative Chart,1.0,156778.0,SHARMA ELECTRICAL AND ELECTRONIC CO.,INR,"2,240,000",Technical,technical bid summary,Dalip singh Patial,28-Apr-2020 11:54 AM,technical_53997.pdf,1.0,156778.0,SHARMA ELECTRICAL AND ELECTRONIC CO.,11-Apr-2020 08:42 AM,Accepted-AOC,work awarded being L1 firm,18-Aug-2020 11:21 AM,AOC,1.0,DD - Demand Draft,PWD,PW/MED/TA/NIT/ e-notice/19-20-9653-58 dt 21.03.20,2020_PWD_36569_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,"Providing and fixing One No. Electric Traction Lift elevator for 8 Passenger with machine room in 50 Bedded Hospital at Bagsaid, District Mandi HP","Providing and fixing One No. Electric Traction Lift elevator for 8 Passenger with machine room in 50 Bedded Hospital at Bagsaid, District Mandi HP",Please refer to bid document ,NA ,"22,50,000",Electrical Works,NA ,Tender,120.0,180.0,Bagsaid,175035.0,NA ,NA ,NA ,"Electrical Division, HP.PWD Mandi H.P",No ,No,08-Apr-2020 10:00 AM,18-Apr-2020 11:00 AM,08-Apr-2020 10:00 AM,17-Apr-2020 05:00 PM,NA ,NA ,08-Apr-2020 10:00 AM,17-Apr-2020 05:00 PM,28-Apr-2020 12:05 PM,500.0,"Executive Engineer, Electrical Division, HP.PWD Ma",Mandi HP,No,1.0,Certificate Details ,Permanent Account Number ,Permanent Account Number Details ,,"41,250",No,fixed,,"Executive Engineer, Electrical Division, HP.PWD Ma",Mandi HP,1.0,Fee/PreQual/Technical,.pdf,"COST OF TENDER INDICATED IN SCHEDULE F,","Executive Engineer, Electrical Division, HP.PWD Ma","Executive Engineer, Electrical Division, HP.PWD Mandi",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,156779.0,SHARMA ELECTRICAL CO.,11-Apr-2020 09:01 AM,Rejected-Finance,Rejected being L2 firm,28-Apr-2020 02:08 PM,AOC,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Certificate Details ,Sales Tax/VAT ,Sales Tax/VAT ,,,,,,,,,,.pdf,EARNEST MONEY INDICATED IN SHEDULE F,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,Certificate Details ,Bidders Address Format ,Bidders Address Format Details ,,,,,,,,,,.pdf,Approved OEM (Lift) or auth. agency of approved OEM (Lift),,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,Certificate Details ,Affidavit regarding correctness of bid ,Required in tender document in bidder file 1 ,,,,,,,,,,.pdf,Income Tax (PAN) and GST and EPF REGITRATION GENERAL RULES NO. 21,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,Work Details ,Work Completed Certificate Copies ,Work Completed Certificate Copies ,,,,,,,,,,.pdf,"FORM NO 8 duly signed REFER GENERAL RULES NO 26.7,",,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Attested copies of work done certificates as per Technical qualification criteria,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Average financial turnover of last three years as per Technical qualification criteria,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding No gazetted and non-gazetted HPPWD. Employees related to him GENERAL RULES,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that information furnished with the bid is true and correct in all respect.,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Any other documents as specified by the State in performa of schedule,,,AOC
