Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Instrument Type,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
Finance,FBOS,Chaman Singh,27-May-2020 04:00 PM,finance_54666.pdf,BOQ Comparative Chart,1.0,159016.0,Parveen Construction,INR,"11,971,171",Technical,BOS,Chaman Singh,22-May-2020 06:02 PM,technical_54666.pdf,1.0,159017.0,Naresh Kumar,20-May-2020 12:10 PM,Rejected-AOC,Not Found Lowest,12-Oct-2020 01:14 PM,12-Oct-2020,"INR 11,971,171",365.0,Chaman Singh,12-Oct-2020 01:13 PM,AOCCivilHosp.pdf (6935.00 KB),AOC Issued to the lowest contractor,Chief Engineer(MZ) HPPWD,Internal,SE (D and W) MZ SE 1st Circle HPPWD Mandi EE(D) Building MZ EE Sundernagar Divn. Deputy Controller (F and A) MZ Planning Officer (Building MZ),Chaman Singh,12-Oct-2020 01:08 PM,finsummary_54666.pdf (6934.85 KB),Er D R Chauhan Executive Engineer,Internal,Sushil Kumar DAO GrI NR Chandel AE Suket Amar Singh HDM Girja Sharma Supdt PMGSY,Chaman Singh,26-May-2020 03:48 PM,27-May-2020 10:30 AM,techsummary_54666.pdf (1933.58 KB),PWD,2020_PWD_37051_1,PW-SNR-CB-E-Tender/19-291-303 dt 23.04.2020,"Construction of Civil Hospital Building at Sundernagar, Distt. Mandi (HP)",AOC,"2,000",EE Sundernagar,Sundernagar,No,1.0,DD - Demand Draft,"1,30,000",No,fixed,,EE Sundernagar,Sundernagar,"Construction of Civil Hospital Building at Sundernagar, Distt. Mandi (HP)",SH Construction of 2nd Floor over Block-D with WS and SI,AS per Bid Document ,NA ,"97,48,752",Civil Works - Buildings,Building ,Tender,120.0,365.0,Sundernagar,175018.0,NA ,NA ,NA ,O/O Executive Engineer HPPWD Division Sunder Nagar,No ,No,PWD,PW-SNR-CB-E-Tender/19-291-303 dt 23.04.2020,2020_PWD_37051_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,Executive Engineer,HPPWD Division Sunder Nagar,1.0,Fee/PreQual/Technical,.pdf,Cost of tender indicated in schedule F,09-May-2020 03:00 PM,21-May-2020 11:00 AM,09-May-2020 03:00 PM,20-May-2020 06:00 PM,NA ,NA ,09-May-2020 03:15 PM,20-May-2020 06:00 PM,27-May-2020 10:30 AM,AOC
,,,,,,,,,,,,,,,,2.0,159016.0,Parveen Construction,20-May-2020 11:59 AM,Accepted-AOC,Being lowest,12-Oct-2020 01:14 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The earnest money indicated in schedule F,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors registration refer general rules No.23,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration general rules No. 21,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bidding Capacity as per general rules No. 28.2a and work done / in hand as per General Rule No. 19,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List of machinery, tool, plant refer schedule F with reference to clause 18",,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No. 7/8 prefer General Rules No. 26.7,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of both gazetted and non-gazetted HPPWD Employees related to him General Rule No. 16,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that information furnished with the bid is correct in all respect,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Other important documents as specified in the proforma of Schedule,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of EPF Registration,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,AOC
