Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Instrument Type,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,S.No.1,Corrigendum Title,Corrigendum Type,View,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage
350.0,EE HPPWD Baijnath,Baijnath,No,"12,480",No,fixed,,EE HPPWD Baijnath,Baijnath,1.0,DD - Demand Draft,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form as Indicated Schedule F.,02-Jun-2020 02:00 PM,01-Jul-2020 11:00 AM,02-Jun-2020 02:00 PM,01-Jul-2020 10:30 AM,NA ,NA ,02-Jun-2020 05:00 PM,01-Jul-2020 10:30 AM,17-Jul-2020 11:00 AM,PWD,PWD-BD-NIT-2019-20-2741-90,2020_PWD_37735_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,Executive Engineer HPPWD Division Baijnath,Executive Engineer HPPWD Division Baijnath,1.0,Extend of bid open date,Date,,Construction of Dharamshala Yol Dadh Palampur Holta Chadhiar Sandhol Road Km 0/0 to 90/0.,"Providing and Laying CC Pavement at Km 65/124 to 65/180, 65/415 to 65/472, 67/645 to 67/673, 69/180 to 69/205, 69/680 to 69/719 and 69/840 to 69/870.",Please refer Tender documents. ,NA ,"6,18,780",Civil Works - Roads,NA ,Tender,120.0,90.0,Baijnath,176125.0,NA ,NA ,NA ,Executive Engineer HPPWD Division Baijnath,No ,No,AOC,PWD,2020_PWD_37735_1,PWD-BD-NIT-2019-20-2741-90,Construction of Dharamshala Yol Dadh Palampur Holta Chadhiar Sandhol Road Km 0/0 to 90/0.,Er S K Sood,Internal,Sr. Divisional Account Officer Head Draughtsman SupdtGII AE Baijnath,Sanjiv Kumar,10-Jul-2020 07:01 PM,17-Jul-2020 11:00 AM,techsummary_55580.pdf (349.44 KB),Er SK Sood,Internal,HDM Sr DAO SupdtGII AE Baijanth,Sanjiv Kumar,29-Oct-2020 03:18 PM,finsummary_55580.pdf (137.77 KB),29-Oct-2020,"INR 618,780",90.0,Sanjiv Kumar,29-Oct-2020 03:19 PM,Award_37735.pdf (154.00 KB),1.0,165512.0,GOURAV SHARMA,30-Jun-2020 07:15 PM,Rejected-Finance,Higher Side,29-Oct-2020 03:20 PM,Technical,5 bidders participated in this work and 4 bidders found responsive. Hence tender recommended by committee to open the financial bid.,Sanjiv Kumar,10-Jul-2020 06:57 PM,technical_55580.pdf,1.0,163011.0,ROHIT RANA,INR,"789,677",Finance,Financial bid open successfully,Sanjiv Kumar,29-Oct-2020 03:02 PM,finance_55580.pdf,BOQ Comparative Chart,AOC
,,,,,,,,,,2.0,FDR - Fixed Deposit,,,.pdf,Cost of Earnest Money as Indicated Schedule F.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,2.0,163333.0,Ramesh Chand,30-Jun-2020 04:21 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,10-Jul-2020 06:58 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,.pdf,Contractor Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,3.0,163011.0,ROHIT RANA,30-Jun-2020 04:18 PM,Accepted-AOC,Lower Side,29-Oct-2020 03:21 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,.pdf,Valid GST and PAN No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,4.0,163234.0,Shalabh Awasthi,19-Jun-2020 06:02 PM,Rejected-Finance,Higher Side,29-Oct-2020 03:20 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,.pdf,Form No 8 duly signed on Judicial Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,5.0,163295.0,S S RANA,30-Jun-2020 07:32 PM,Rejected-Finance,Higher Side,29-Oct-2020 03:20 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,.pdf,Affidavit that no Both Gazatted Non Gazetted officer employee in HPPWD Division Baijnath related him,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,.pdf,Undertaking that - arbitration / litigation case with PWD is pending in any court of law.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,.pdf,Affidavit regarding information furnished with the bid Name of work is correct in all respect.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,.pdf,Machinery with proof of ownership required as per SBD if hiring affidavit of consent required from o,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,.pdf,Minimum civil work done amount not less than 40 percent of the estimated cost (without LD) in last 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
