Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Instrument Type,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
Er D.R. Chauhan Execuitve Engineer,Internal,Er Chaman Singh A.E Sh. Sushil Kumar DAO Gr-I Sh. Amar Singh HDM Sh. Lalit Kumar Supdt. PMGSY,Chaman Singh,12-Oct-2020 01:44 PM,finsummary_55482.pdf (5548.57 KB),12-Oct-2020,"INR 2,164,270",60.0,Chaman Singh,12-Oct-2020 01:46 PM,AOCJachPresi1to3.pdf (5549.00 KB),AOC issued after negotiation,PWD,2020_PWD_37655_1,PW-SNR-CB-E-Tender/19-992-1001 dt 18.05.2020,Annual Surfacing on Jachh Pressi Pangna (Rohara) road KM 1/0 to 3/0,ER. D R Chauhan E.E.,Internal,N. R. Chandel A E Suket Sushil Kumar DAO Gr-I Amar Singh HDM Girja Sharma Supdt PMGSY,Chaman Singh,15-Jun-2020 03:13 PM,15-Jun-2020 04:00 PM,techsummary_55482.pdf (1303.14 KB),Finance,FBOS,Chaman Singh,17-Jun-2020 02:36 PM,finance_55482.pdf,BOQ Comparative Chart,1.0,162103.0,Puran Mal Mahajan,INR,"2,164,270",Technical,BOS,Chaman Singh,15-Jun-2020 02:49 PM,technical_55482.pdf,1.0,162087.0,CHAMAN LAL GOVT CONT.,10-Jun-2020 03:13 PM,Rejected-AOC,Not Found Lowest,12-Oct-2020 01:48 PM,AOC,1.0,Fee/PreQual/Technical,.pdf,Cost of tender indicated in schedule F,30-May-2020 03:00 PM,11-Jun-2020 11:00 AM,30-May-2020 03:00 PM,10-Jun-2020 06:00 PM,NA ,NA ,30-May-2020 03:30 PM,10-Jun-2020 06:00 PM,15-Jun-2020 04:00 PM,1.0,DD - Demand Draft,PWD,PW-SNR-CB-E-Tender/19-992-1001 dt 18.05.2020,2020_PWD_37655_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,"26,500",No,fixed,,EE Sundernagar,Sundernagar,Executive Engineer,HPPWD Division Sunder Nagar,500.0,EE Sundernagar,Sundernagar,No,Annual Surfacing on Jachh Pressi Pangna (Rohara) road KM 1/0 to 3/0,SH Providing and laying 20mm thick premix carpet including profile correction and V-shape drain in Km 1/0 to 3/0.,As per bid document ,NA ,"13,19,230",Civil Works,Tarring ,Tender,120.0,60.0,In Sundernagar Division,175018.0,NA ,NA ,NA ,O/O Executive Engineer Sunder Nagar Division HPPWD,No ,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,162103.0,Puran Mal Mahajan,10-Jun-2020 04:48 PM,Accepted-AOC,Found Lowest,12-Oct-2020 01:48 PM,AOC,,,.pdf,The earnest money indicated in schedule F,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Contractors registration refer general rules No.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,GST registration general rules No. 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Bidding Capacity as per general rules No. 28.2a and work done / in hand as per General Rule No. 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,"List of machinery, tool, plant refer schedule F with reference to clause 18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Form No. 7/8 prefer General Rules No. 26.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,List of both gazetted and non-gazetted HPPWD Employees related to him General Rule No. 16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Affidavit that information furnished with the bid is correct in all respect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Other important documents as specified by the State in proforma of Schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Copy of EPF Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
