Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,S.No,Instrument Type,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage
1.0,Fee/PreQual/Technical,.pdf,COST OF TENDER,350.0,"Executive Engineer, HPPWD Division Sangrah",UCO Bank Sangrah,No,05-Jun-2018 02:00 PM,26-Jun-2018 02:30 PM,05-Jun-2018 02:00 PM,25-Jun-2018 05:00 PM,NA ,NA ,05-Jun-2018 02:00 PM,25-Jun-2018 05:00 PM,03-Jul-2018 02:30 PM,"8,700",No,fixed,,"Executive Engineer, HPPWD Division Sangrah",UCO Bank Sangrah,PWD,1451-1511 dated 23.05.2018,2018_PWD_21478_3,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,"Repair and maintenance of various road under PIU Sub-Division HP.PWD., Sangrah","SH Removal of slips, C/O unlined drain, cleaning of Pucca drain and cleaning of catchpit etc.",Please refer Tender documents. ,NA ,"4,35,008",Civil Works,NA ,Tender,90.0,90.0,Sangrah,173023.0,NA ,NA ,NA ,"Executive Engineer, HPPWD Division Sangrah",No ,No,"Executive Engineer, HPPWD Division Sangrah","Executive Engineer, HPPWD Division Sangrah",1.0,DD - Demand Draft,AOC,Executive Engineer,Internal,Tender Assistant HDM Superintendent,Kishan Lal Chaudhary,03-Jul-2018 10:35 AM,03-Jul-2018 02:30 PM,techsummary_30310.pdf (397.48 KB),PWD,2018_PWD_21478_3,1451-1511 dated 23.05.2018,"Repair and maintenance of various road under PIU Sub-Division HP.PWD., Sangrah",23-Oct-2020,"INR 340,850",90.0,Rattan Kumar Sharma,23-Oct-2020 10:17 AM,17.pdf (1168.00 KB),AOC,Executive Engineer,Internal,Tender Assistant HDM Superintendent G-II,Kishan Lal Chaudhary,28-Aug-2018 02:31 PM,finsummary_30310.pdf (280.81 KB),Finance,Summary,Kishan Lal Chaudhary,05-Jul-2018 04:32 PM,finance_30310.pdf,BOQ Comparative Chart,1.0,87291.0,HARI CHAND THAKUR,INR,"340,850",1.0,87291.0,HARI CHAND THAKUR,24-Jun-2018 02:50 PM,Accepted-AOC,AOC,23-Oct-2020 10:19 AM,Technical,Summary,Kishan Lal Chaudhary,02-Jul-2018 04:19 PM,technical_30310.pdf,AOC
,,.pdf,EARNEST MONEY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,86237.0,MAHENDER SHARMA,12-Jun-2018 08:06 PM,Rejected-Technical,Not qualified,03-Jul-2018 10:35 AM,,,,,,AOC
,,.pdf,CONTRACTORS REGISTRATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,87244.0,Vijender Singh,25-Jun-2018 04:47 PM,Rejected-Finance,NOT THE LOWEST BIDDER,28-Aug-2018 02:31 PM,,,,,,AOC
,,.pdf,GST REGISTRATION NUMBER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,"LIST OF MACHINERY, TOOL, PLANT AS PER SBD CONDITIONS .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,FORM NO 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,ANY ADDITIONAL INFORMATION MENTIONED IN SCHEDULE D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Proof to registration under Employees Provident Funds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,AFFIDAVIT REGARDING CORRECTNESS OF BID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
2.0,Finance,.xls,BILL OF QUANTITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
