Name,Address,Cover No,Cover,Document Type,Description,S.No,Instrument Type,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage
EE HPPWD Division Baijnath,EE HPPWD Division Baijnath,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form as Indicated Schedule F.,1.0,DD - Demand Draft,Construction of Chobin Sansai Road Km 0/0 to 12/405,"Construction of R/Wall, at Km 8/497 to 8/510 8/510 to 8/530 8/544 to 8/553 and 8/702 to 8/722",Please refer Tender documents. ,NA ,"18,69,929",Civil Works - Roads,NA ,Tender,120.0,60.0,Baijnath,176125.0,NA ,NA ,NA ,HPPWD Division Baijnath,No ,No,05-Sep-2020 12:00 PM,21-Sep-2020 11:00 AM,05-Sep-2020 12:00 PM,21-Sep-2020 10:30 AM,NA ,NA ,05-Sep-2020 05:00 PM,21-Sep-2020 10:30 AM,29-Sep-2020 11:00 AM,PWD,PWD-BD-NIT-2019-20-8758-8807,2020_PWD_40355_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,"37,400",No,fixed,,EE HPPWD Baijnath,Baijnath,500.0,EE HPPWD Baijnath,Baijnath,No,AOC,1.0,178461.0,Parvinder Rana,19-Sep-2020 05:05 PM,Accepted-AOC,Lower Side,29-Oct-2020 12:29 PM,Technical,2 Bidders participated in this work and found responsive.,Sanjiv Kumar,25-Sep-2020 04:29 PM,technical_59585.pdf,Finance,Financial bid open successfully,Sanjiv Kumar,29-Oct-2020 12:22 PM,finance_59585.pdf,BOQ Comparative Chart,1.0,178461.0,Parvinder Rana,INR,"2,961,720",Er S K Sood,Internal,HDM SupdtGII Sr DAO AE Baijnath,Sanjiv Kumar,25-Sep-2020 04:30 PM,29-Sep-2020 11:00 AM,techsummary_59585.pdf (282.32 KB),PWD,2020_PWD_40355_1,PWD-BD-NIT-2019-20-8758-8807,Construction of Chobin Sansai Road Km 0/0 to 12/405,29-Oct-2020,"INR 1,869,929",60.0,Sanjiv Kumar,29-Oct-2020 12:26 PM,AwardChobinsansai.pdf (242.00 KB),Er S K Sood,Internal,HDM SupdtGII Sr DAO AE Baijanth,Sanjiv Kumar,29-Oct-2020 12:24 PM,finsummary_59585.pdf (242.23 KB),AOC
,,,,.pdf,Cost of Earnest Money as Indicated Schedule F,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,178465.0,Shalabh Awasthi,19-Sep-2020 05:16 PM,Rejected-Finance,Higher Side,29-Oct-2020 12:27 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,.pdf,Valid Contractor Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,.pdf,Upload GST Registration Clearance Copy and PAN Card,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,.pdf,Form No 8 duly signed on Judicial Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,.pdf,Affidavit that no Both Gazatted Non Gazetted officer employee in HPPWD Division Baijnath related him,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,.pdf,Undertaking that - arbitration / litigation case with PWD is pending in any court of law.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,.pdf,Affidavit regarding information furnished with the bid Name of work is correct in all respect.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,.pdf,Machinery with proof of ownership required as per SBD if hiring affidavit of consent required from o,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,.pdf,Minimum similar work done amount not less than 40 percent of the estimated cost (without LD) in last,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
