S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.1,Corrigendum Title,Corrigendum Type,View,Name,Address,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
1.0,184097.0,Rahul Chuhan,INR,"2,609,686.81",Finance,Summary,Anil Kumar Sharma,30-Oct-2020 02:48 PM,finance_61271.pdf,BOQ Comparative Chart,Technical,Summary,Anil Kumar Sharma,28-Oct-2020 03:05 PM,technical_61271.pdf,1.0,183867.0,ISHAN AGGARWAL,26-Oct-2020 12:17 PM,Rejected-AOC,4th lowest,30-Oct-2020 03:04 PM,Er Anil Sharma,Internal,TA Supttd DHD DAO,Anil Kumar Sharma,30-Oct-2020 02:54 PM,finsummary_61271.pdf (458.56 KB),30-Oct-2020,"INR 2,609,686",60.0,Anil Kumar Sharma,30-Oct-2020 03:02 PM,KalaAmbaward.pdf (1077.00 KB),Award,PWD,2020_PWD_41525_2,NIT No. 7918-58 dated 17.09.2020,Regarding proposal to erect Install thematic wall and gate on NH 07 at Kala Amb (SH Construction of Entrance Gate),Er Anil Sharma,Internal,TA Supttd DHD DAO,Anil Kumar Sharma,28-Oct-2020 03:09 PM,28-Oct-2020 03:15 PM,techsummary_61271.pdf (1737.92 KB),AOC,1.0,ICICI BANK,"56,000",No,fixed,,EE NH Division HPPWD Nahan,Nahan,Regarding proposal to erect Install thematic wall and gate on NH 07 at Kala Amb (SH Construction of Entrance Gate),Regarding proposal to erect Install thematic wall and gate on NH 07 at Kala Amb (SH Construction of Entrance Gate),refer tender document ,NA ,"32,30,879",Civil Works - Highways,NA ,Tender,120.0,60.0,Nahan,173001.0,NA ,NA ,NA ,Nahan,No ,No,1.0,Corrigendum,Financial Bid,,Executive Engineer,Executive Engineer NH Division HPPWD nahan,1.0,Fee/PreQual/Technical,.pdf,Cost of tender form(Indicated in schedule F),09-Oct-2020 05:00 PM,28-Oct-2020 11:00 AM,09-Oct-2020 05:30 PM,27-Oct-2020 05:00 PM,NA ,NA ,09-Oct-2020 05:30 PM,27-Oct-2020 05:00 PM,28-Oct-2020 03:15 PM,PWD,NIT No. 7918-58 dated 17.09.2020,2020_PWD_41525_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"1,500",EE NH Division HPPWD nahan,Nahan,No,AOC
,,,,,,,,,,,,,,,,2.0,184065.0,mohdjaseem,26-Oct-2020 10:28 PM,Rejected-AOC,5th lowest,30-Oct-2020 03:04 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money(Indicate in Schedule F),,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,3.0,183851.0,Pratap Singh,26-Oct-2020 06:00 PM,Rejected-AOC,2nd lowest,30-Oct-2020 03:04 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors registration(Refer General Rule NO.23),,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,4.0,184097.0,Rahul Chuhan,27-Oct-2020 04:17 PM,Accepted-AOC,1st lowest,30-Oct-2020 03:04 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,5.0,183937.0,suman kumar sharma,26-Oct-2020 06:51 PM,Rejected-AOC,3rd lowest,30-Oct-2020 03:04 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List of Machinery, Tools, Plant(Refer Schedule",,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No.8(Refer General Rule No.26.7),,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Labour license and EPF allotment numbers,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done of similar work not less than Forty Percent of the estimated cost,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Any additional information bidder likes to provide mentioned in Schdule D,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
