S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,S.No.1,Corrigendum Title,Corrigendum Type,View,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Stage
1.0,155163.0,GVM ENGINEERS,INR,"723,300",Technical,Tender opening Summary,Thakur Singh Negi,09-Jul-2020 11:10 AM,technical_52656.pdf,Additional Controller of Stores,Internal,TS Negi (JDI) Rakesh Sharma (AE PWD) Ravinder Chauhan (AE IPH) MR Sharma (AE Forest) Karam Chand (Supdt. SP) Navneet gupta (SIO Textiles) Vinay Jaryal (SO FA SP),Thakur Singh Negi,09-Jul-2020 11:35 AM,09-Jul-2020 12:00 PM,techsummary_52656.pdf (2287.62 KB),Industries Department||Directorate of Industries,2020_HPInd_35828_16,No.Ind.SP/F/(NIT)148/94-Vol-II,M-30(02),Additional Controller of Stores,Internal,T S Negi (JDI SP) Karam Chand (Supdt. SP) Navneet Gupta (SIO Textiles SP) Vinay Jaryal (S O FA SP),Thakur Singh Negi,20-Aug-2020 12:03 PM,finsummary_52656.pdf (3174.86 KB),Finance,Financial bid opening summary.,Thakur Singh Negi,20-Aug-2020 11:50 AM,finance_52656.pdf,BOQ Comparative Chart,11-Sep-2020,"INR 40,819,341",365.0,Navneet Gupta,01-Oct-2020 12:06 PM,RATE_CONTRACT_M30-02.pdf (1774.00 KB),1,159267,AMAR PROMOTERS PRIVATE LIMITED,23-May-2020 04:34 PM,Accepted-AOC,Rates approved for item codes M3002001004 to M3002001028,01-Oct-2020 12:08 PM,AOC,Industries Department||Directorate of Industries,No.Ind.SP/F/(NIT)148/94-Vol-II,2020_HPInd_35828_16,Yes,Open Tender,Item Wise,Goods,2.0,No,Yes,Online,No,No,No,1.0,ICICI BANK,1.0,CORRIGENDUM,Date,,500.0,Additional Controller of Store,Shimla,Yes,03-Mar-2020 05:00 PM,26-May-2020 11:00 AM,03-Mar-2020 05:00 PM,26-May-2020 10:30 AM,NA ,NA ,03-Mar-2020 05:00 PM,26-May-2020 10:30 AM,09-Jul-2020 12:00 PM,Director of Industries,Directorate of Industries Shimla,"5,00,000",Yes,fixed,,Additional Controller of Store,Shimla,M-30(02),Interlink Chain (ISI Marked),Please refer Tender documents. ,NA ,"4,08,19,341",Miscellaneous Goods,NA ,Rate Contract,120.0,365.0,Directorate of Industries Shimla,171001.0,NA ,NA ,NA ,Shimla,No ,No,1.0,Fee/PreQual/Technical,.pdf,All Documents as per terms and conditions of tender Enclosed.,AOC
2.0,156224.0,Shark steels,INR,"868,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,156239,Brijsons Hetreat,21-Apr-2020 10:01 AM,Accepted-AOC,"Rates approved for item codes M3002001006 , M3002001007 and M3002001009 to M3002001018",01-Oct-2020 12:08 PM,AOC,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,2.0,Corrigendum,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Price schedule,AOC
3.0,156239.0,Brijsons Hetreat,INR,"799,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,157070,Decora Industries,22-Apr-2020 08:46 AM,Accepted-AOC,Rates approved for item codes M3002001001 to M3002001018,01-Oct-2020 12:08 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
4.0,156325.0,Shiv Enterprises,INR,"1,253,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,155163,GVM ENGINEERS,20-Apr-2020 12:11 PM,Accepted-AOC,Rates approved for item codes M3002001008 to M3002001018,01-Oct-2020 12:08 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
5.0,157057.0,Partap Wires (India)Pvt.Ltd.,INR,"1,253,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,157112,Himachal Steels and Wires,25-May-2020 12:20 PM,Accepted-AOC,Rates approved for item codes M3002001006 to M3002001018,01-Oct-2020 12:08 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
6.0,157070.0,Decora Industries,INR,"1,253,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,157115,Himachal Wire Industries Pvt Ltd,22-Apr-2020 02:45 PM,Rejected-Technical,Rejected but eligible for parallel rate contract.,09-Jul-2020 11:35 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
7.0,157112.0,Himachal Steels and Wires,INR,"868,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,153472,JAIN WIRE NETTING STORES,12-Mar-2020 01:38 PM,Rejected-Technical,Rejected,09-Jul-2020 11:35 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
8.0,159267.0,AMAR PROMOTERS PRIVATE LIMITED,INR,"1,611,540",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,157244,J J Wirecloth Industries,29-Apr-2020 06:29 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,09-Jul-2020 11:10 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
9.0,159367.0,K.B. Enterprises,INR,"420,700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,159367,K.B. Enterprises,25-May-2020 06:51 PM,Accepted-AOC,Rates approved for item codes M3002001006 to M3002001011,01-Oct-2020 12:08 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,157057,Partap Wires (India)Pvt.Ltd.,20-Apr-2020 04:51 PM,Accepted-AOC,Rates approved for item codes M3002001001 to M3002001018,01-Oct-2020 12:08 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
