Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Instrument Type,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Stage,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage
20-Feb-2020 06:00 PM,07-Mar-2020 11:30 AM,20-Feb-2020 06:00 PM,07-Mar-2020 11:00 AM,NA ,NA ,20-Feb-2020 06:00 PM,07-Mar-2020 11:00 AM,16-Mar-2020 12:00 PM,1.0,DD - Demand Draft,Restoration of rain damages on Chakki- Banikhet Chamba- Bharmour road NH-154-A Km 106/0 to 172/0 C/o of PCC R/walls at Km 147/158 to 147/171 and 155/240 to 155/253 ) for the year 2019-20 in the State of HP Under FDR ( New).,Restoration of rain damages on Chakki- Banikhet Chamba- Bharmour road NH-154-A Km 106/0 to 172/0 C/o of PCC R/walls at Km 147/158 to 147/171 and 155/240 to 155/253 ) for the year 2019-20 in the State of HP Under FDR ( New).,Please refer Tender documents. ,NA ,"37,22,098",Civil Works,NA ,Tender,90.0,180.0,Chamba,176310.0,NA ,NA ,NA ,Executive Engineer NH Division HPPWD Chamba,No ,No,"1,500",Executive Engineer NH Division HPPWD Chamba,Chamba,No,PWD,No.-NHC-NIT/2019-20-6375-6464 dt 3.2.20,2020_PWD_35342_3,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,Executive Engineer NH Division HPPWD Chamba,Executive Engineer NH Division HPPWD Chamba,"63,300",No,fixed,,Executive Engineer NH Division HPPWD Chamba,Chamba,1.0,Fee/PreQual/Technical,.pdf,Cost of tender Form (indicated in schedule F),AOC,1.0,153161.0,SANJAY KUMAR,INR,"3,971,196",Finance,BOS,Jeet Singh Thakur,22-Oct-2020 11:59 AM,finance_51925.pdf,BOQ Comparative Chart,1.0,153260.0,Narain Singh Thakur,06-Mar-2020 07:02 PM,Rejected-AOC,l-2,22-Oct-2020 01:15 PM,Technical,Bid opening Summary,Jeet Singh Thakur,12-Mar-2020 02:45 PM,technical_51925.pdf,EE,Internal,Tender Assistant Senior Assistant Superintendent HDM Assistant Engineer,Jeet Singh Thakur,12-Mar-2020 02:47 PM,16-Mar-2020 12:00 PM,techsummary_51925.pdf (262.93 KB),PWD,2020_PWD_35342_3,No.-NHC-NIT/2019-20-6375-6464 dt 3.2.20,Restoration of rain damages on Chakki- Banikhet Chamba- Bharmour road NH-154-A Km 106/0 to 172/0 C/o of PCC R/walls at Km 147/158 to 147/171 and 155/240 to 155/253 ) for the year 2019-20 in the State of HP Under FDR ( New).,22-Oct-2020,"INR 3,722,098",180.0,Rajeev Kumar,22-Oct-2020 01:13 PM,AOCsanhjay.pdf (897.00 KB),Restoration of rain damages on Chakki- Banikhet Chamba- Bharmour road NH-154-A Km 106/0 to 172/0 C/o of PCC R/walls at Km 147/158 to 147/171 and 155/240 to 155/253 ) for the year 2019-20 in the State,Executive Engineer,Internal,Assistant Engineer Superintendent HDM and Dealing Assistant,Rajeev Kumar,22-Oct-2020 12:56 PM,finsummary_51925.pdf (226.85 KB),AOC
,,,,,,,,,2.0,BC - Bankers Cheque,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money (indicated in schedule F),AOC,,,,,,,,,,,,2.0,153161.0,SANJAY KUMAR,06-Mar-2020 03:57 PM,Accepted-AOC,l-1,22-Oct-2020 01:15 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,3.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration (Refer General Rule No 23 and as per invitation of bid),AOC,,,,,,,,,,,,3.0,153339.0,Vinod Kumar,07-Mar-2020 10:53 AM,Rejected-AOC,l-3,22-Oct-2020 01:15 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of GST Number,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit/undertaking that information furnished with the bid is correct in all respect,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of Pan Number,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work experience as per clause 28.2 b of General Rules and Direction and as per Schedule F,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding not having two works in hand at time of bid.,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No. 8 duly signed by the contractor,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
