Type :,Summary :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Instrument Type,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Stage
Technical,TechnicalBidOpeningSummary,Gurcharan Singh Rana,25-Jul-2020 06:43 PM,technical_57578.pdf,1.0,169656.0,Arun Kumar,25-Jul-2020 12:27 AM,Rejected-AOC,ok,03-Oct-2020 01:44 PM,Finance,Proceedingregardingopeningoffinancialbids,Gurcharan Singh Rana,07-Aug-2020 11:48 AM,finance_57578.pdf,BOQ Comparative Chart,1.0,169589.0,Yog raj,INR,"1,508,058",Er.G.S. Rana E.E.,Internal,"Er. Kuldeep Singh AE to EE Arvind Choudhary AE Harish Chander Sharma Head Draughtsman , Jagpal Singh Supdt. Gr-II Tara Singh Supdt. Gr-II, Prem Chand, Sr. Assistant",Gurcharan Singh Rana,07-Aug-2020 12:18 PM,finsummary_57578.pdf (533.79 KB),30-Sep-2020,"INR 1,617,650",60.0,Gurcharan Singh Rana,03-Oct-2020 01:42 PM,Awardletter.pdf (1007.00 KB),Awardletter,PWD,2020_PWD_39020_1,Job 1 Construction of link road Village Bhadouri,"Job 1 Construction of link road Village Bhadouri to Lower Bhadouri via Harijan basti km. 0-0 to 2-0 Sub Head Construction of 2 mtr. RCC slab culvert at RD. 0-450, Construction of 900mm dia Hume pipe culvert at RD.0-390,0-640 and 0-900 and Retainin",Er.G.S. Rana E.E.,Internal,"Er. Kuldeep Singh AE to EE R.D. Sharma AE Harish Chander Sharma Head Draughtsman , Jagpal Singh Supdt. Gr-II Tara Singh Supdt. Gr-II, Prem Chand, Sr. Assistant",Gurcharan Singh Rana,30-Jul-2020 04:35 PM,04-Aug-2020 10:00 AM,techsummary_57578.pdf (593.63 KB),AOC,18-Jul-2020 10:00 AM,25-Jul-2020 11:00 AM,18-Jul-2020 10:30 AM,25-Jul-2020 09:00 AM,NA ,NA ,18-Jul-2020 10:30 AM,25-Jul-2020 09:00 AM,04-Aug-2020 10:00 AM,1.0,FDR - Fixed Deposit,"32,000",No,fixed,,"Executive Engineer, Una Division, HPPWD, Una",Una,"Executive Engineer, Una Division, HPPWD, Una","Executive Engineer, Una Division, HPPWD, Una",PWD,Job 1 Construction of link road Village Bhadouri,2020_PWD_39020_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,500.0,"Executive Engineer, Una Division, HPPWD, Una",Una,No,"Job 1 Construction of link road Village Bhadouri to Lower Bhadouri via Harijan basti km. 0-0 to 2-0 Sub Head Construction of 2 mtr. RCC slab culvert at RD. 0-450, Construction of 900mm dia Hume pipe culvert at RD.0-390,0-640 and 0-900 and Retainin","Job 1 Construction of link road Village Bhadouri to Lower Bhadouri via Harijan basti km. 0-0 to 2-0 Sub Head Construction of 2 mtr. RCC slab culvert at RD. 0-450, Construction of 900mm dia Hume pipe culvert at RD.0-390,0-640 and 0-900 and Retainin",Please refer to Bidding Documents ,NA ,"16,17,650",Civil Works - Roads,NA ,Tender,120.0,60.0,Una,174303.0,NA ,NA ,NA ,"Executive Engineer, Una Division, HPPWD, Una",No ,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender ( Indicated in Schedule F),AOC
,,,,,2.0,169479.0,Balbir Singh Govt Contractor,24-Jul-2020 02:18 PM,Rejected-AOC,ok,03-Oct-2020 01:44 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money ( Indicated In Schedule F),AOC
,,,,,3.0,169625.0,Gagandeep Singh,24-Jul-2020 06:01 PM,Rejected-AOC,ok,03-Oct-2020 01:44 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration (Refer General Rule No.23 ),AOC
,,,,,4.0,169659.0,M/S OM PARKASH DHIMAN AND SONS,25-Jul-2020 06:16 AM,Rejected-AOC,ok,03-Oct-2020 01:44 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,G.S.T. No. and copy of the latest return filed.,AOC
,,,,,5.0,169302.0,Ram Sahore Govt Contractor,23-Jul-2020 11:01 AM,Rejected-Technical,As per Technical Bid Evaluation Proceeding,30-Jul-2020 04:35 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,E.P.F. No. and copy of latest return filed,AOC
,,,,,6.0,169575.0,Satnam Singh Govt Contractor,24-Jul-2020 05:12 PM,Rejected-Technical,As per technical Evaluation proceeding,30-Jul-2020 04:35 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Work Done Certificate duly issued by the Engineer-in-Charge, not below the rank of an E.E or equival",AOC
,,,,,7.0,169667.0,Tilak Raj Govt Contractor,25-Jul-2020 08:14 AM,Rejected-AOC,ok,03-Oct-2020 01:44 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Work in hand certificate duly issued by the Engineer-in-Charge, not below the rank of an E.E or equi",AOC
,,,,,8.0,169589.0,Yog raj,24-Jul-2020 04:34 PM,Accepted-AOC,ok,03-Oct-2020 01:44 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An Affidavit of Machinery Tool Plant as per bid documents along with documentary proof.,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An Affidavit of Both Gazetted and non-Gazetted officer HPPWD employees related to him (General Rule,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit that information furnished with the bid (Name of works is correct in all respect).,AOC
