Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
"Chief Engineer (I),Irrigation,Assam",Internal,,KRISHNAV JYOTI SARMA,01-Oct-2020 03:16 PM,finsummary_28297.pdf (2149.35 KB),Finance,Financial evaluation is under process,Amit Singha,31-Aug-2020 04:53 PM,,BOQ Comparative Chart,01-Oct-2020,INR 5958400.0,180.0,KRISHNAV JYOTI SARMA,01-Oct-2020 03:20 PM,AOC.PDF (2149.00 KB),AOC.,1.0,86180.0,BIPUL MEDHI,INR,2681280.0,"Chief Engineer (I),Irrigation,Assam",Internal,,KRISHNAV JYOTI SARMA,31-Aug-2020 04:34 PM,31-Aug-2020 04:40 PM,techsummary_28297.pdf (684.31 KB),1,86775,ARUN KUMAR AGARWALA,26-Aug-2020 01:46 PM,Rejected-Finance,Not Admitted,01-Oct-2020 03:16 PM,Technical,Technical evaluation is under process,KRISHNAV JYOTI SARMA,28-Aug-2020 11:34 AM,,Irrigation Department||Chief Engineer(Minor Irrigation)-Irrigation Dept,2020_ID_18311_1,17 _RIDF_XXV_NABARD_ 2020_21 Date 03.08.20,Constn of 4_Four_ Nos. of MDTW I_Schemes_4 Pts_under RIDF_XXV_NABARD_Under Morigaon Div_I_ Morigaon_Basanaghat Pathar 1 Point and Nowkata Pathar_1 point Package 1,AOC,Constn of 4_Four_ Nos. of MDTW I_Schemes_4 Pts_under RIDF_XXV_NABARD_Under Morigaon Div_I_ Morigaon_Basanaghat Pathar 1 Point and Nowkata Pathar_1 point Package 1,"Constn of Approach road, Boring and Installation of Tube well, Installation and Commissioning Solar PV Modules including Mounting structures, Constn of Control Room, Underground PVC distribution system, Spout chambers, Boundary wall, supporting pill",Please refer Tender documents. ,NA ,"59,58,400",Civil Works,NA ,Rate Contract,180.0,180.0,Morigaon,782105.0,NA ,NA ,NA ,"O/o Chief Engineer (I),Irrigation,Assam, Ghy-03",No ,No,1.0,Fee/PreQual/Technical,.pdf,NIT,"Chief Engineer (MI),Irrigation,Assam","O/o Chief Engineer (I),Irrigation,Assam, Ghy-03",Irrigation Department||Chief Engineer(Minor Irrigation)-Irrigation Dept,17 _RIDF_XXV_NABARD_ 2020_21 Date 03.08.20,2020_ID_18311_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"1,19,168",Yes,percentage,2.0%,"EE,Morigaon Division(I), Morigaon",Morigaon,1.0,SBI Bank,06-Aug-2020 06:00 PM,27-Aug-2020 03:00 PM,06-Aug-2020 06:30 PM,27-Aug-2020 02:00 PM,NA ,NA ,07-Aug-2020 10:00 AM,27-Aug-2020 02:00 PM,31-Aug-2020 04:40 PM,"1,500","EE,Morigaon Division(I), Morigaon",Morigaon,Yes,AOC
,,,,,,,,,,,,,,,,,,,2.0,87140.0,JAKIR HUSSAIN,INR,2681280.0,,,,,,,,2,86180,BIPUL MEDHI,24-Aug-2020 03:48 PM,Accepted-AOC,Awarded,01-Oct-2020 03:20 PM,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,Bid Documents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,87289,Deraj Saikia,26-Aug-2020 09:25 PM,Rejected-Finance,Not Admitted,01-Oct-2020 03:16 PM,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,Cost of Bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,87291,Halim Khan Choudhury,27-Aug-2020 08:19 AM,Rejected-Finance,Not Admitted,01-Oct-2020 03:16 PM,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,EMD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,87140,JAKIR HUSSAIN,27-Aug-2020 11:48 AM,Accepted-AOC,Awarded,01-Oct-2020 03:20 PM,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,Drawings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,87238,krishna kanta Biswas,27-Aug-2020 12:25 PM,Rejected-Finance,Not Admitted,01-Oct-2020 03:16 PM,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,Pre-Qualification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,87092,PARBATI ASSOCIATES,25-Aug-2020 02:54 PM,Rejected-Finance,Not Admitted,01-Oct-2020 03:16 PM,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,87252,Rafizul Hoque,27-Aug-2020 11:41 AM,Rejected-Finance,Not Admitted,01-Oct-2020 03:16 PM,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,86804,Ramen Medhi,26-Aug-2020 07:30 PM,Rejected-Finance,Not Admitted,01-Oct-2020 03:16 PM,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,87257,SRI JITEN CH.DAS,26-Aug-2020 04:25 PM,Rejected-Finance,Not Admitted,01-Oct-2020 03:16 PM,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
