S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,S.No,Corrigendum Title,Corrigendum Type,View,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.1,Instrument Type,Tender Stage
1.0,145244.0,m/s sharma construction,INR,"82,546,236",Finance,SUMMARY,Kishan Lal Chaudhary,04-Mar-2020 12:39 PM,finance_48393.pdf,BOQ Comparative Chart,Technical,SUMMARY,Kishan Lal Chaudhary,26-Feb-2020 12:07 PM,technical_48393.pdf,1.0,145655.0,Inder Singh Chauhan Construction Co.,20-Jan-2020 04:09 PM,Rejected-Finance,L6,23-Oct-2020 12:42 PM,Er. Narender Kumar Verma,Internal,"Er. D.S Kaundal AE, Sh. Ghanshyam Dass Supdt. G-II, Sh. Krishan Singh Supdt. G-II Smt. Asha Kamal HDM, Sh. Ghan Shyam Jr. Asstt.",Narender verma,23-Oct-2020 12:40 PM,finsummary_48393.pdf (648.29 KB),23-Oct-2020,"INR 82,546,236",545.0,Narender verma,23-Oct-2020 12:43 PM,AOC.pdf (870.00 KB),WORK AWARDED TO M/S SHARMA CONSTRUCTION,PWD,2019_PWD_33578_1,PW-CTR-29-Divi/2019-209-16350 dt.12.12.2012,"Construction of Khanotiyo Bassali road km 0/0 to 13/0 (SH Metalling Tarring Formation cutting Retaining wall, Breast wall CD works, RCC slab culvert, CC V-shape drain parapets in km 0/0 to 13/0) under NABARD RIDF- XXV",Er. Narender Kumar EE,Internal,"Er. D.S Kaundal AE, Sh. Paramjeet Grover Sr. DAO, Sh. Ghanshyam Dass Supdt. G-II, G-II, Smt. Asha Kamal HDM, Sh. Ghan Shyam Jr. Asstt.",Kishan Lal Chaudhary,26-Feb-2020 12:32 PM,26-Feb-2020 12:40 PM,techsummary_48393.pdf (1856.64 KB),AOC,21-Dec-2019 06:00 PM,21-Jan-2020 11:00 AM,21-Dec-2019 06:00 PM,20-Jan-2020 05:00 PM,NA ,NA ,21-Dec-2019 06:00 PM,20-Jan-2020 05:00 PM,26-Feb-2020 12:40 PM,PWD,PW-CTR-29-Divi/2019-209-16350 dt.12.12.2012,2019_PWD_33578_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,"5,00,000",No,fixed,,EE RAJGARH,RAJGARH,1.0,Fee/PreQual/Technical,.pdf,COST OF TENDER- Indicated in Schedule F at Sr.No.6.3,1.0,CORRIGENDUM,Other,,"5,000",EE RAJGARH,RAJGARH,No,EXECUTIVE ENGINEER,RAJGARH DIVISION HPPWD RAJGARH,"Construction of Khanotiyo Bassali road km 0/0 to 13/0 (SH Metalling Tarring Formation cutting Retaining wall, Breast wall CD works, RCC slab culvert, CC V-shape drain parapets in km 0/0 to 13/0) under NABARD RIDF- XXV","Construction of Khanotiyo Bassali road km 0/0 to 13/0 (SH Metalling Tarring Formation cutting Retaining wall, Breast wall CD works, RCC slab culvert, CC V-shape drain parapets in km 0/0 to 13/0) under NABARD RIDF- XXV",Please refer Tender documents. ,NA ,"6,95,77,946",Civil Works - Roads,NA ,Tender,120.0,545.0,RAJGARH DIVISION HPPWD RAJGARH,173101.0,NA ,NA ,NA ,RAJGARH DIVISION HPPWD RAJGARH,No ,No,1.0,DD - Demand Draft,AOC
,,,,,,,,,,,,,,,,2.0,146057.0,Mahinder Singh Verma,20-Jan-2020 11:16 AM,Rejected-Finance,L2,23-Oct-2020 12:42 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EARNEST MONEY-Indicated in Schedule F at Sr. No.6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,AOC
,,,,,,,,,,,,,,,,3.0,145433.0,MOHINDER SINGH AND SONS,18-Jan-2020 04:03 PM,Rejected-Technical,Original DD and Bid security not deposited,26-Feb-2020 12:31 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,CONTRACTORS REGISTRATION- Refer General Rule Sr. No 23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,4.0,145429.0,M/s Chauhan Construction,17-Jan-2020 09:02 PM,Rejected-Finance,L5,23-Oct-2020 12:42 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST REGISTRATION-Refer General Rule Sr. No 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,5.0,146060.0,M/s Prem Chauhan Govt. Contractor.,20-Jan-2020 03:34 PM,Rejected-Finance,L3,23-Oct-2020 12:42 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of work completed and in Hand As per Gen. Rule and Direction Sr.No.19 of bid document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,6.0,145244.0,m/s sharma construction,20-Jan-2020 01:42 PM,Accepted-AOC,L1,23-Oct-2020 12:45 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Eligibility criteria Biding Capacity as per Gen. Rule and Direction Sr.No.28.2(a),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,7.0,146083.0,naresh vij govt contractor,20-Jan-2020 02:26 PM,Rejected-Finance,L4,23-Oct-2020 12:42 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Minimum Work Done Certificate as per Gen. Rule Sr.No.28.2(b) and Schedule F Sr.No.6.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,8.0,146190.0,SATISH THAKUR,20-Jan-2020 04:21 PM,Rejected-Technical,Original DD and Bid security not deposited,26-Feb-2020 12:31 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,ROOF OF MANDATORY MACHINERY TOOL AND PLANTS as per Gen. Rules 25 and Schedule F Sr. No.6.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of Equipment detail Schedule F Sr.No.6.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8 duly signed Gen. Rule Sr. No 26.7.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
