S.No,Corrigendum Title,Corrigendum Type,View,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.1,Category,Sub Category,Sub Category Description,Format/File,Cover No,Cover,Document Type,Description,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No.2,Instrument Type,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,S.No.3,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value
1.0,corrigendum II,Other,,Improvement of zero point junction at Tutikandi on NH-05 against Smart City Project (SH- C/O Retaining walls) (Phase-I),Improvement of zero point junction at Tutikandi on NH-05 against Smart City Project (SH- C/O Retaining walls) (Phase-I),As per tender documents ,NA ,"2,55,31,794",Civil Works,NA ,Tender,120.0,180.0,Shimla,171001.0,NA ,NA ,NA ,Solan,No ,No,1.0,Certificate Details ,Permanent Account Number ,Permanent Account Number Details ,,1.0,Fee/PreQual/Technical,.pdf,Cost of tender form and earnest money deposit,Executive Engineer NH Division HPPWD Solan,Executive Engineer NH Division HPPWD Solan,25-Jul-2020 05:00 PM,10-Aug-2020 11:00 AM,25-Jul-2020 05:00 PM,10-Aug-2020 10:30 AM,NA ,NA ,25-Jul-2020 05:00 PM,10-Aug-2020 10:30 AM,22-Aug-2020 03:30 PM,1.0,DD - Demand Draft,"5,000",Executive Engineer NH Division HPPWD Solan,Solan,No,PWD,1822-55,2020_PWD_39302_9,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,"2,88,000",No,fixed,,Executive Engineer NH Division HPPWD Solan,Solan,Er Kulbir Singh Thakur EE,Internal,Miss Akriti Aggrawal DAO Sh Ghanshyam Mehta HDM Sh Rajender Singh Supdtt GrII Smt Samriti Verma TA,Kulbir Singh Thakur,22-Aug-2020 03:07 PM,22-Aug-2020 03:30 PM,techsummary_58045.pdf (1998.14 KB),PWD,2020_PWD_39302_9,1822-55,Improvement of zero point junction at Tutikandi on NH-05 against Smart City Project (SH- C/O Retaining walls) (Phase-I),19-Oct-2020,"INR 18,865,215",180.0,Kulbir Singh Thakur,08-Aug-2023 03:23 PM,rajindernegiLOA.pdf (524.00 KB),LOA,Er Kulbir Singh Thakur EE,Internal,Miss Akriti Aggrawal DAO Sh Ghanshyam Mehta HDM Sh Rajender Singh Supdtt Gr II Smt Samriti Verma TA,Kulbir Singh Thakur,26-Aug-2020 01:37 PM,finsummary_58045.pdf (648.31 KB),1.0,172115.0,CHANDAN SWAROOP,08-Aug-2020 11:16 AM,Rejected-AOC,Being L3,08-Aug-2023,Technical,BOS,Kulbir Singh Thakur,22-Aug-2020 02:58 PM,technical_58045.pdf,Finance,BOS,Kulbir Singh Thakur,26-Aug-2020 01:32 PM,finance_58045.pdf,BOQ Comparative Chart,1.0,172066.0,rajender,INR,"18,865,215"
,,,,,,,,,,,,,,,,,,,,,,2.0,Certificate Details ,Sales Tax/VAT ,Sales Tax/VAT ,,,,.pdf,Contractor registration,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,172147.0,kapoor sanjee,08-Aug-2020 02:38 PM,Rejected-AOC,Being L2,08-Aug-2023,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,3.0,Certificate Details ,Bidders Address Format ,Bidders Address Format Details ,,,,.pdf,Sales tax / GST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,172066.0,rajender,08-Aug-2020 03:52 PM,Accepted-AOC,being L1,08-Aug-2023,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,4.0,Certificate Details ,Affidavit regarding correctness of bid ,Required in tender document in bidder file 1 ,,,,.pdf,"List of Machinery, tools and plants",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,5.0,Machinery Details ,Machinery Details ,Machinery Details ,HP_Machinery.xls,,,.pdf,Affidavit of correctness of all the documents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,6.0,Miscellaneous ,Laboratory Equipment Details ,Laboratory Equipment Details ,,,,.pdf,Form No.8 of SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,7.0,Miscellaneous ,Existing Work Order Commitment ,Ongoing Work Order Details with percentage of work completed ,,,,.pdf,EPF Number as mentioned in SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,8.0,Work Details ,Work Completed Certificate Copies ,Work Completed Certificate Copies ,,,,.pdf,Work in hand certificate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,work done certificate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Report of Chartered Accountant showing total annual volume in last five years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
