Type :,Summary :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Instrument Type,Tender Stage
Technical,Sum,Suresh Kumar Walia,19-Sep-2020 02:56 PM,technical_59097.pdf,1.0,177986.0,Navneet Thakur,16-Sep-2020 05:58 PM,Rejected-AOC,L2,08-Oct-2020 12:04 PM,Finance,Sum,Suresh Kumar Walia,22-Sep-2020 02:52 PM,finance_59097.pdf,BOQ Comparative Chart,1.0,178014.0,Rohit,INR,"1,417,489",Dr Suresh Kumar walia,Internal,Er Surinder AE Ajit Kumar Supdt Gr II Ajay Mahajan HDM Suraj Parkash DAO Ashok Kumar TA,Suresh Kumar Walia,22-Sep-2020 02:54 PM,finsummary_59097.pdf (196.75 KB),28-Sep-2020,"INR 1,417,489",90.0,Suresh Kumar Walia,08-Oct-2020 12:02 PM,Award.pdf (227.00 KB),Award,PWD,2020_PWD_40031_1,PWD Civil Work-5323-50- Tanda,Repair and maintenance of Yol to Palli road Km 0/000 to 10/500 in Distt Kangra (HP) (SH-Providing and laying 30mm thick bituminous macadam with paver finisher complete in Km 0/500 to 2/000).,Dr Suresh Kumar walia,Internal,Er Surinder AE Ajit Kumar Supdt Gr II Ajay Mahajan HDM Suraj Parkash DAO Ashok Kumar TA,Suresh Kumar Walia,19-Sep-2020 02:59 PM,21-Sep-2020 02:00 PM,techsummary_59097.pdf (657.84 KB),AOC,22-Aug-2020 05:00 PM,18-Sep-2020 11:30 AM,22-Aug-2020 05:00 PM,17-Sep-2020 05:00 PM,NA ,NA ,22-Aug-2020 05:00 PM,17-Sep-2020 05:00 PM,21-Sep-2020 02:00 PM,PWD,PWD Civil Work-5323-50- Tanda,2020_PWD_40031_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Cost of tender form,500.0,Executive Engineer HP PWD Tanda,Kangra,No,Repair and maintenance of Yol to Palli road Km 0/000 to 10/500 in Distt Kangra (HP) (SH-Providing and laying 30mm thick bituminous macadam with paver finisher complete in Km 0/500 to 2/000).,Repair and maintenance of Yol to Palli road Km 0/000 to 10/500 in Distt Kangra (HP) (SH-Providing and laying 30mm thick bituminous macadam with paver finisher complete in Km 0/500 to 2/000).,Please refer Tender documents. ,NA ,"12,39,019",Civil Works - Roads,NA ,Tender,120.0,90.0,Tanda,176002.0,NA ,NA ,NA ,EE HP PWD Division Tanda at Nagrota Bagwan,No ,No,Executive Engineer,EE HP PWD Division Tanda at Nagrota Bagwan,"24,800",No,fixed,,Executive Engineer HP PWD Tanda,Tanda at Nagrota Bagwan,1.0,DD - Demand Draft,AOC
,,,,,2.0,178129.0,Prashanti Surya Const. Co.,17-Sep-2020 03:23 PM,Rejected-AOC,L4,08-Oct-2020 12:04 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money in shape of FDR as per SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,AOC
,,,,,3.0,177485.0,pritam singh thkur,17-Sep-2020 01:43 PM,Rejected-AOC,L3,08-Oct-2020 12:04 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,4.0,178014.0,Rohit,17-Sep-2020 02:57 PM,Accepted-AOC,L1,08-Oct-2020 12:04 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,PAN No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that the information submitted with bid namely ( ) are true and correct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Under taking that no arbitration/litigation with PWD is pending in any court of Law,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8 duly signed on Judicial Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding near relative working in the PWD and no relation gazetted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of Machinery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
