Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Revocation Title,Revocation Description,Published Date,Document Name,Document Size(in KB),Revocated To,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No.1,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.2,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Instrument Type,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
07-Aug-2020,"INR 2,029,040",120.0,Vijay Kumar Aggarwal,06-Oct-2020 01:51 PM,AOC_35662_5.pdf (1857.00 KB),Awarded to Sh. Mohan Singh,VIJAY KUMAR AGGARWAL,Internal,SUTD DAO HDM,Niteesh Sharma,12-Mar-2020 03:01 PM,finsummary_52348.pdf (344.96 KB),VIJAY KUMAR AGGARWAL,Internal,SUPTD DAO HDM,Vijay Kumar Aggarwal,12-Mar-2020 12:20 PM,12-Mar-2020 12:30 PM,techsummary_52348.pdf (598.53 KB),PWD,2020_PWD_35662_5,NAHAN-11861-90,"C/o Additional Accommodation at GSSS Banethi, Tehsil Nahan, Sirmaur (HP)",1.0,REVOKE,Error in Financial Evaluation Details,12-Mar-2020 02:57 PM,REVOKE.pdf ,173.04,Financial Opening,Technical,TECHNICAL SUMMARY,Vijay Kumar Aggarwal,05-Mar-2020 03:33 PM,technical_52348.pdf,1,152211,Amit Kumar Contractor,03-Mar-2020 02:07 PM,Rejected-Technical,did not submit the documents physically,12-Mar-2020 12:20 PM,Finance,FINANCIAL SUMMARY,Niteesh Sharma,12-Mar-2020 03:00 PM,finance_52348.pdf,BOQ Comparative Chart,1.0,152669.0,Mohan Singh,INR,"3,100,440",AOC,"38,000",No,fixed,,EE Nahan,Nahan,Executive Engineer,"Executive Engineer, HPPWD Division Nahan",PWD,NAHAN-11861-90,2020_PWD_35662_5,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,27-Feb-2020 05:00 PM,05-Mar-2020 11:00 AM,27-Feb-2020 05:00 PM,05-Mar-2020 10:00 AM,NA ,NA ,27-Feb-2020 05:00 PM,05-Mar-2020 10:00 AM,12-Mar-2020 12:30 PM,"C/o Additional Accommodation at GSSS Banethi, Tehsil Nahan, Sirmaur (HP)","C/o Two Rooms with Verandah, Stair Case, Mumty and Site Development",As Per Bidding Document ,NA ,"20,29,040",Civil Works - Buildings,NA ,Tender,120.0,120.0,Nahan,173001.0,NA ,NA ,NA ,HPPWD Division Nahan,No ,No,1.0,DD - Demand Draft,1.0,Fee/PreQual/Technical,.pdf,COST OF TENDER (INDICATED IN SCHEDULE F),500.0,EE Nahan,Nahan,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,152577,Balinder Dutt,04-Mar-2020 05:24 PM,Rejected-Technical,did not submit the documents physically,12-Mar-2020 12:20 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,.pdf,EARNEST MONEY (INDICATED IN SCHEDULE F),,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,152644,Gian Singh Chauhan,04-Mar-2020 08:40 PM,Rejected-Technical,did not submit the documents physically,12-Mar-2020 12:20 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,CONTRACTORS REGISTRATION (GENERAL RULES NO. 23),,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,152546,kuldeep singh,04-Mar-2020 04:16 PM,Rejected-Technical,did not submit the documents physically,12-Mar-2020 12:20 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST REGISTRATION (GENERAL RULE NO. 21),,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,152629,MANISH CHAUHAN,04-Mar-2020 09:07 PM,Rejected-AOC,L2,06-Oct-2020 01:53 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,LIST OF MACHINERY (GENERAL RULE NO. 26.6),,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,152669,Mohan Singh,04-Mar-2020 09:48 PM,Accepted-AOC,L1,06-Oct-2020 01:53 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,UNDERTAKING (GENERAL RULE NO. 28.1),,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,152316,Pratap Singh,04-Mar-2020 12:30 PM,Rejected-Technical,did not submit the documents physically,12-Mar-2020 12:20 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BILL OF QUANTITY IN XLS FORMAT,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,152702,pushpender,05-Mar-2020 08:56 AM,Rejected-Technical,did not submit the documents physically,12-Mar-2020 12:20 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,152572,RAGHUBEER,04-Mar-2020 05:14 PM,Rejected-Technical,did not submit the documents physically,12-Mar-2020 12:20 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,152694,Rahul Chuhan,05-Mar-2020 07:36 AM,Rejected-Technical,did not submit the documents physically,12-Mar-2020 12:20 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
