Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage,S.No,Instrument Type,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,S.No.1,Corrigendum Title,Corrigendum Type,View,Tender Stage
Directorate of Medical Education and Research||Dr Rajendra Prasad Govt Medical College Tanda Kangra,2019_DMER5_33156_1,e-tender/trauma,Machinery and equipment,1.0,142276.0,POCT Services,INR,"3,163,329",Principal,Internal,"Joint Director Assistant Controller, Section Officer, DA purchase",Bhanu Awasthi,09-Oct-2020 12:54 PM,finsummary_47769.pdf (1135.60 KB),"Nodal Officer, Trauma Center",Internal,"Prof Anaesthesia, HOD Neurosurgery, HOD CTVS, Asstt Prof Anaesthesia, Asstt Prof Surgery",Anil Shukla,17-Jul-2020 03:57 PM,20-Jul-2020 12:00 PM,techsummary_47769.pdf (2048.79 KB),1,142686,ACE SURGICALS,28-Dec-2019 11:31 AM,Rejected-Finance,"L-3 for craniotomy set, L-3 General orthopaedics instrument, L-5 for General Surgical Instrument, L-6 for Spine set",09-Oct-2020 12:55 PM,Finance,comparativetrauma,Bhanu Awasthi,09-Oct-2020 12:03 PM,finance_47769.pdf,BOQ Comparative Chart,Technical,Summarytrauma,Vishal Sharma,01-Jan-2020 11:18 AM,technical_47769.pdf,09-Oct-2020,"INR 8,174,541",90.0,Bhanu Awasthi,09-Oct-2020 01:09 PM,supplyorderofallitemstrauma.pdf (1661.00 KB),Supply order for trauma Centre,AOC,1.0,DD - Demand Draft,1.0,Fee/PreQual/Technical,.pdf,Scanned copy of EMD and Tender Fee/MSME and NSCI Certificate,"5,00,000",Yes,fixed,,"Principal, Dr.RPGMCGMC",Tanda,Machinery and equipment,Please refer to tender document,Please refer to tender document ,NA ,"4,00,00,000",Medical Equipments/Waste,NA ,Tender,180.0,90.0,"Dr.RPGMC, Kangra at Tanda",176002.0,"Dr.RPGMC, Kangra at Tanda ","Dr.RPGMC, Kangra at Tanda ",11-Dec-2019 11:30 AM ,"Dr.RPGMC, Kangra at Tanda",No ,No,Directorate of Medical Education and Research||Dr Rajendra Prasad Govt Medical College Tanda Kangra,e-tender/trauma,2019_DMER5_33156_1,Yes,Open Tender,Item Wise,Goods,2.0,No,Yes,Offline,No,No,No,05-Dec-2019 06:00 PM,28-Dec-2019 03:00 PM,05-Dec-2019 06:15 PM,28-Dec-2019 01:00 PM,NA ,NA ,16-Dec-2019 04:00 PM,28-Dec-2019 01:00 PM,20-Jul-2020 12:00 PM,500.0,"Principal, Dr.RPGMC",Tanda,Yes,Joint Director(Admn.),"Dr.RPGMC, Kangra at Tanda",1.0,deletion of item,Other,,AOC
,,,,2.0,142488.0,Chamunda Scientific and Medical Co,INR,"2,860,972",,,,,,,,,,,,,,2,142746,Allengers Medical Systems Ltd.,28-Dec-2019 11:44 AM,Accepted-AOC,L-I Bidder,09-Oct-2020 01:10 PM,,,,,,,,,,,,,,,,,,,AOC,2.0,FDR - Fixed Deposit,,,.pdf,Scanned copy of all documents mentioned in the tender docuemnt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,amended specifications,Technical Bid,,AOC
,,,,3.0,142673.0,Surgitek,INR,"283,332",,,,,,,,,,,,,,3,142780,An.K.Services,28-Dec-2019 11:58 AM,Rejected-Finance,"L-4 for craniotomy set, L-4 General Orthopedics, L-7 for General surgical instruments, L-5 for Spine set neurosurgery",09-Oct-2020 12:55 PM,,,,,,,,,,,,,,,,,,,AOC,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,4.0,142746.0,Allengers Medical Systems Ltd.,INR,"1,756,908",,,,,,,,,,,,,,4,142792,BPL Medical Technologies Pvt Ltd,28-Dec-2019 12:31 PM,Rejected-Finance,"L-2 for C-arm, L-2 for monitor large screen",09-Oct-2020 12:55 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,5.0,142800.0,LIFE CARE,INR,"110,000",,,,,,,,,,,,,,5,142488,Chamunda Scientific and Medical Co,28-Dec-2019 12:47 PM,Accepted-AOC,L-I Bidder,09-Oct-2020 01:10 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,6,142128,Instromedix India Pvt. Ltd,27-Dec-2019 03:39 PM,Rejected-Finance,L-3 bidder for monitor,09-Oct-2020 12:55 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,7,142800,LIFE CARE,28-Dec-2019 12:31 PM,Accepted-AOC,L-I Bidder,09-Oct-2020 01:10 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,8,142784,MBS INDIA,28-Dec-2019 10:23 AM,Rejected-Technical,Minimum bids mot received,17-Jul-2020 03:57 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,9,142802,METLER MEDICA ORTHOPEDICS PVT. LTD.,28-Dec-2019 12:39 PM,Rejected-Finance,"L-2 for Craniotomy set, L-2 for General orthopaedics, L-2 for General surgical instruments, L-2 for Spine set",09-Oct-2020 12:55 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,10,142276,POCT Services,28-Dec-2019 12:20 PM,Accepted-AOC,L-I Bidder,09-Oct-2020 01:10 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
