Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,S.No,Instrument Type,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage
C/O link road from Tipari to Dhinguli via Chiya Khaltu Harabag Shantibag SH Formation Cutting 5/7 mtrs wide road in Km 3/015 to 3/510 C/O R/Wall at Rd3/190 to 3/215 and B/Wall at Rd 3/460 to 3/485,C/O link road from Tipari to Dhinguli via Chiya Khaltu Harabag Shantibag SH Formation Cutting 5/7 mtrs wide road in Km 3/015 to 3/510 C/O R/Wall at Rd3/190 to 3/215 and B/Wall at Rd 3/460 to 3/485,Please refer Tender documents. ,NA ,"12,73,961",Civil Works,NA ,Rate Contract,90.0,180.0,Kumarsain,172029.0,NA ,NA ,NA ,Kumarsain,No ,No,20-May-2020 05:00 PM,04-Jun-2020 11:00 AM,20-May-2020 05:30 PM,03-Jun-2020 06:00 PM,NA ,NA ,20-May-2020 05:30 PM,03-Jun-2020 06:00 PM,08-Jun-2020 01:10 PM,500.0,EE Kumarsain,Kumarsain,No,Executive Engineer,Kumarsain Division HPPWD Kumarsain,1.0,DD - Demand Draft,PWD,PW-KMS-AB-NIT/2020-385-86 dt.11.5.2020,2020_PWD_37313_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form (indicated in Schedule F),"25,500",No,fixed,,EE Kumarsain,Kumarsain,AOC,Finance,Technical Bid evalution summary,Manoj Kumar Sehgal,08-Jun-2020 02:44 PM,finance_54982.pdf,BOQ Comparative Chart,1.0,160023.0,parveen,INR,"1,163,845",1,160810,ANKUSH,03-Jun-2020 03:27 PM,Rejected-AOC,Reject,01-Oct-2020 10:02 AM,Technical,Technical bid opening summary,Manoj Kumar Sehgal,04-Jun-2020 01:31 PM,technical_54982.pdf,Er Manoj Sehgal,Internal,Supdt Accounts HDM and Senior Assistant,Manoj Kumar Sehgal,08-Jun-2020 12:52 PM,08-Jun-2020 01:10 PM,techsummary_54982.pdf (269.32 KB),PWD,2020_PWD_37313_1,PW-KMS-AB-NIT/2020-385-86 dt.11.5.2020,C/O link road from Tipari to Dhinguli via Chiya Khaltu Harabag Shantibag SH Formation Cutting 5/7 mtrs wide road in Km 3/015 to 3/510 C/O R/Wall at Rd3/190 to 3/215 and B/Wall at Rd 3/460 to 3/485,01-Oct-2020,"INR 1,163,845",180.0,Manoj Kumar Sehgal,01-Oct-2020 10:00 AM,s.pdf (350.00 KB),AOC,Er.Manoj Sehgal,Internal,"Supdt. Gr-II,HDM,DA",Manoj Kumar Sehgal,01-Oct-2020 09:56 AM,finsummary_54982.pdf (269.43 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,BC - Bankers Cheque,,,,,,,,,,,,,,,,,.pdf,Earnest Money Deposit (indicated in Schedule F),,,,,,,AOC,,,,,,,,,,,,2,160712,BEER SINGH,03-Jun-2020 03:49 PM,Rejected-AOC,Reject,01-Oct-2020 10:02 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,.pdf,Contractors Registration (Refer General Rule No 23),,,,,,,AOC,,,,,,,,,,,,3,160427,MITLESH BISHT,02-Jun-2020 12:44 PM,Rejected-AOC,Reject,01-Oct-2020 10:02 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,G.S.T Registration Number (Refer General Rule No 21),,,,,,,AOC,,,,,,,,,,,,4,159977,Naveen Verma,02-Jun-2020 12:30 PM,Rejected-AOC,Reject,01-Oct-2020 10:02 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Permanent Account Number (PAN),,,,,,,AOC,,,,,,,,,,,,5,160023,parveen,03-Jun-2020 09:54 AM,Accepted-AOC,Accept,01-Oct-2020 10:02 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EPF Registration Number Refer General Rule 25-A,,,,,,,AOC,,,,,,,,,,,,6,160686,RAKESH KHACHI,03-Jun-2020 04:47 PM,Rejected-AOC,Reject,01-Oct-2020 10:02 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List of Machinery, Tool, Plant along with documentary proof of ownership (Refer Schedule F with ref",,,,,,,AOC,,,,,,,,,,,,7,160375,Shashi Bhushan,03-Jun-2020 05:47 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,04-Jun-2020 01:31 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No. 8 (Refer General Rule No 26.7),,,,,,,AOC,,,,,,,,,,,,8,160658,SUBHASH GAUTAM,03-Jun-2020 05:56 PM,Rejected-AOC,Reject,01-Oct-2020 10:02 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,,,,,,,AOC,,,,,,,,,,,,9,160801,SUNDER LAL,03-Jun-2020 03:23 PM,Rejected-AOC,Reject,01-Oct-2020 10:02 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,10,160053,Surjeet Kumar,03-Jun-2020 12:18 PM,Rejected-AOC,Reject,01-Oct-2020 10:02 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
